county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,other_pa,other_na,other_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot
California,4036.0,20922.0,24958.0,11397.0,100613.0,112010.0,909.0,5598.0,6507.0,1208.0,6204.0,7412.0,1272.0,15791.0,17063.0,166.0,1536.0,1702.0,2480.0,21279.0,23759.0,347.0,4163.0,4510.0,921.0,5420.0,6341.0,2046.0,27731.0,29777.0,1900.0,11821.0,13721.0,148.0,1070.0,1218.0,45664.0,253662.0,299326.0,3391.0,21998.0,25389.0,456.0,2662.0,3118.0,673.0,3919.0,4592.0,793.0,5162.0,5955.0,1449.0,10099.0,11548.0,20.0,156.0,176.0,136426.0,841537.0,977963.0,993.0,5498.0,6491.0,490.0,2658.0,3148.0,1217.0,5620.0,6837.0,158.0,909.0,1067.0,29941.0,163462.0,193403.0,73788.0,335750.0,409538.0,307501.0,1752629.0,2060130.0,1900.0,8181.0,10081.0,666.0,3155.0,3821.0,196.0,615.0,811.0,73.0,314.0,387.0,20.0,91.0,111.0,21.0,130.0,151.0,131.0,821.0,952.0,8.0,50.0,58.0,88.0,423.0,511.0,14.0,89.0,103.0,84.0,484.0,568.0,31.0,138.0,169.0,1129.0,4166.0,5295.0,1211.0,7332.0,8543.0,132.0,470.0,602.0,564.0,3064.0,3628.0,284.0,2000.0,2284.0,216.0,1701.0,1917.0,15.0,97.0,112.0,74743.0,364664.0,439407.0,531.0,1972.0,2503.0,249.0,921.0,1170.0,327.0,1211.0,1538.0,57.0,235.0,292.0,22049.0,117315.0,139364.0,71527.0,316574.0,388101.0,174389.0,825726.0,1000115.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Alameda,50.0,276.0,326.0,1360.0,7477.0,8837.0,95.0,522.0,617.0,53.0,293.0,346.0,423.0,2327.0,2750.0,9.0,51.0,60.0,215.0,1180.0,1395.0,23.0,126.0,149.0,18.0,100.0,118.0,266.0,1459.0,1725.0,258.0,1419.0,1677.0,0.0,0.0,0.0,3491.0,19186.0,22677.0,122.0,667.0,789.0,19.0,105.0,124.0,6.0,31.0,37.0,27.0,146.0,173.0,70.0,385.0,455.0,0.0,0.0,0.0,2137.0,11748.0,13885.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,14365.0,16979.0,1.0,8.0,9.0,9775.0,53730.0,63505.0,0.0,2.0,2.0,3.0,12.0,15.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,16.0,21.0,4.0,11.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,18.0,114.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,14365.0,16979.0,0.0,0.0,0.0,2641.0,14513.0,17154.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Alpine,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,109.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Amador,4.0,38.0,42.0,1.0,11.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,13.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,150.0,1396.0,1546.0,2.0,24.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,25.0,31.0,9.0,85.0,94.0,174.0,1596.0,1770.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,70.0,80.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,21.0,5.0,39.0,44.0,19.0,133.0,152.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Butte,38.0,354.0,392.0,98.0,628.0,726.0,1.0,22.0,23.0,0.0,4.0,4.0,1.0,15.0,16.0,1.0,7.0,8.0,3.0,39.0,42.0,1.0,3.0,4.0,36.0,248.0,284.0,0.0,15.0,15.0,50.0,247.0,297.0,5.0,28.0,33.0,98.0,494.0,592.0,6.0,85.0,91.0,0.0,15.0,15.0,0.0,3.0,3.0,0.0,10.0,10.0,6.0,57.0,63.0,0.0,0.0,0.0,1599.0,10289.0,11888.0,29.0,227.0,256.0,2.0,13.0,15.0,12.0,63.0,75.0,3.0,8.0,11.0,48.0,365.0,413.0,143.0,945.0,1088.0,2076.0,13471.0,15547.0,3.0,51.0,54.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,16.0,19.0,3.0,35.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,37.0,0.0,0.0,0.0,136.0,536.0,672.0,1.0,26.0,27.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,37.0,294.0,331.0,132.0,752.0,884.0,318.0,1722.0,2040.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Calaveras,1.0,60.0,61.0,5.0,24.0,29.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,11.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,11.0,15.0,1.0,8.0,9.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,250.0,2213.0,2463.0,2.0,18.0,20.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,40.0,42.0,16.0,104.0,120.0,282.0,2483.0,2765.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,14.0,84.0,98.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,22.0,15.0,90.0,105.0,31.0,210.0,241.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Colusa,1.0,18.0,19.0,1.0,8.0,9.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,407.0,490.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,64.0,15.0,106.0,121.0,112.0,612.0,724.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,157.0,197.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,58.0,13.0,84.0,97.0,61.0,299.0,360.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Contra Costa,28.0,205.0,233.0,221.0,1692.0,1913.0,27.0,159.0,186.0,5.0,19.0,24.0,12.0,191.0,203.0,4.0,28.0,32.0,81.0,677.0,758.0,6.0,43.0,49.0,20.0,116.0,136.0,20.0,203.0,223.0,44.0,243.0,287.0,2.0,13.0,15.0,1782.0,8841.0,10623.0,60.0,273.0,333.0,16.0,46.0,62.0,3.0,16.0,19.0,12.0,67.0,79.0,28.0,143.0,171.0,1.0,1.0,2.0,1111.0,8596.0,9707.0,15.0,82.0,97.0,10.0,74.0,84.0,20.0,82.0,102.0,10.0,37.0,47.0,121.0,765.0,886.0,2120.0,9011.0,11131.0,5498.0,29658.0,35156.0,2.0,18.0,20.0,4.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,13.0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,17.0,32.0,49.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,107.0,126.0,7.0,17.0,24.0,4.0,14.0,18.0,2.0,8.0,10.0,0.0,3.0,3.0,5.0,44.0,49.0,2014.0,8128.0,10142.0,2076.0,8390.0,10466.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
Del Norte,49.0,278.0,327.0,29.0,97.0,126.0,1.0,9.0,10.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,4.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,9.0,24.0,33.0,0.0,0.0,0.0,14.0,50.0,64.0,3.0,2.0,5.0,3.0,12.0,15.0,1.0,10.0,11.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,315.0,1522.0,1837.0,6.0,52.0,58.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,7.0,48.0,55.0,22.0,87.0,109.0,433.0,2109.0,2542.0,1.0,11.0,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,16.0,92.0,108.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,42.0,18.0,57.0,75.0,42.0,203.0,245.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
El Dorado,8.0,73.0,81.0,11.0,87.0,98.0,3.0,15.0,18.0,0.0,5.0,5.0,0.0,10.0,10.0,0.0,7.0,7.0,5.0,30.0,35.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,5.0,7.0,0.0,6.0,6.0,6.0,69.0,75.0,2.0,29.0,31.0,0.0,7.0,7.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,19.0,20.0,0.0,0.0,0.0,445.0,4901.0,5346.0,4.0,45.0,49.0,0.0,2.0,2.0,4.0,5.0,9.0,0.0,0.0,0.0,20.0,131.0,151.0,111.0,909.0,1020.0,611.0,6251.0,6862.0,0.0,5.0,5.0,4.0,8.0,12.0,3.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,26.0,190.0,216.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,103.0,120.0,80.0,390.0,470.0,129.0,701.0,830.0,2014,JUL,3.0,2014-07-01,,,,,,,,,,,,,,,
