county,fulldate,year,quarter,month,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,quarter,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,other_pa,other_na,other_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot
Alameda,2002-07-01,2002,3.0,JUL,52.0,26.0,78.0,,,,84.0,43.0,127.0,157.0,80.0,237.0,814.0,414.0,1228.0,8.0,4.0,12.0,196.0,99.0,295.0,49.0,25.0,74.0,27.0,14.0,41.0,579.0,295.0,874.0,,,,,,,6991.0,3556.0,10547.0,,,,4.0,2.0,6.0,16.0,8.0,24.0,10.0,5.0,15.0,,,,,,,2573.0,1308.0,3881.0,,,,,,,,,,,,,,,,,,,13715.0,6975.0,20690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,6.0,1973.0,1004.0,2977.0,1907.0,971.0,2878.0,23.0,11.0,34.0,159.0,81.0,240.0,1907.0,971.0,2878.0
Alameda,2003-07-01,2003,3.0,JUL,47.0,33.0,80.0,,,,89.0,62.0,151.0,210.0,146.0,356.0,786.0,548.0,1334.0,8.0,6.0,14.0,265.0,185.0,450.0,34.0,24.0,58.0,35.0,25.0,60.0,633.0,441.0,1074.0,,,,,,,6507.0,4538.0,11045.0,,,,6.0,4.0,10.0,11.0,8.0,19.0,19.0,14.0,33.0,,,,,,,2607.0,1818.0,4425.0,,,,,,,,,,,,,,,,,,,13599.0,9485.0,23084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006,6.0,2138.0,1491.0,3629.0,2004.0,1398.0,3402.0,31.0,22.0,53.0,173.0,120.0,293.0,2004.0,1398.0,3402.0
Alameda,2004-07-01,2004,3.0,JUL,69.0,46.0,115.0,,,,116.0,76.0,192.0,267.0,175.0,442.0,872.0,572.0,1444.0,6.0,4.0,10.0,333.0,218.0,551.0,29.0,19.0,48.0,68.0,45.0,113.0,706.0,463.0,1169.0,,,,,,,7373.0,4836.0,12209.0,,,,5.0,3.0,8.0,11.0,7.0,18.0,23.0,16.0,39.0,,,,,,,3017.0,1979.0,4996.0,,,,,,,,,,,,,,,,,,,15756.0,10336.0,26092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008,6.0,2590.0,1699.0,4289.0,2334.0,1531.0,3865.0,40.0,27.0,67.0,231.0,151.0,382.0,2334.0,1531.0,3865.0
Alameda,2005-07-01,2005,3.0,JUL,37.0,27.0,64.0,,,,119.0,87.0,206.0,239.0,176.0,415.0,904.0,665.0,1569.0,9.0,6.0,15.0,304.0,224.0,528.0,31.0,24.0,55.0,57.0,42.0,99.0,598.0,441.0,1039.0,,,,,,,7426.0,5466.0,12892.0,,,,7.0,5.0,12.0,11.0,8.0,19.0,31.0,23.0,54.0,,,,,,,3073.0,2263.0,5336.0,,,,,,,,,,,,,,,,,,,15818.0,11644.0,27462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010,6.0,2729.0,2009.0,4738.0,2232.0,1643.0,3875.0,17.0,12.0,29.0,226.0,166.0,392.0,2232.0,1643.0,3875.0
Alameda,2006-07-01,2006,3.0,JUL,88.0,55.0,143.0,,,,140.0,86.0,226.0,255.0,159.0,414.0,639.0,396.0,1035.0,13.0,8.0,21.0,320.0,198.0,518.0,28.0,17.0,45.0,100.0,62.0,162.0,901.0,558.0,1459.0,,,,,,,10049.0,6222.0,16271.0,,,,14.0,8.0,22.0,11.0,7.0,18.0,52.0,32.0,84.0,,,,,,,3291.0,2038.0,5329.0,,,,,,,,,,,,,,,,,,,20036.0,12406.0,32442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012,6.0,3841.0,2378.0,6219.0,2429.0,1504.0,3933.0,18.0,11.0,29.0,276.0,171.0,447.0,2429.0,1504.0,3933.0
Alameda,2007-07-01,2007,3.0,JUL,53.0,99.0,152.0,1547.0,2902.0,4449.0,87.0,163.0,250.0,122.0,229.0,351.0,373.0,700.0,1073.0,7.0,13.0,20.0,186.0,349.0,535.0,19.0,34.0,53.0,38.0,72.0,110.0,458.0,859.0,1317.0,256.0,481.0,737.0,1.0,2.0,3.0,5720.0,10732.0,16452.0,121.0,229.0,350.0,14.0,26.0,40.0,6.0,12.0,18.0,41.0,78.0,119.0,60.0,113.0,173.0,0.0,0.0,0.0,1686.0,3163.0,4849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,216.0,332.0,2145.0,4026.0,6171.0,11388.0,21367.0,32755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,216.0,332.0,2114.0,3968.0,6082.0,2230.0,4184.0,6414.0,4014,6.0,,,,,,,,,,,,,,,
Alameda,2008-07-01,2008,3.0,JUL,57.0,125.0,182.0,1492.0,3293.0,4785.0,87.0,193.0,280.0,104.0,229.0,333.0,374.0,826.0,1200.0,7.0,16.0,23.0,188.0,414.0,602.0,23.0,51.0,74.0,35.0,78.0,113.0,401.0,885.0,1286.0,272.0,600.0,872.0,1.0,1.0,2.0,5425.0,11967.0,17392.0,167.0,370.0,537.0,19.0,42.0,61.0,5.0,12.0,17.0,35.0,78.0,113.0,108.0,238.0,346.0,0.0,0.0,0.0,1702.0,3755.0,5457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,315.0,459.0,2214.0,4881.0,7095.0,11201.0,24706.0,35907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,315.0,459.0,2213.0,4880.0,7093.0,2357.0,5195.0,7552.0,4016,6.0,,,,,,,,,,,,,,,
Alameda,2009-07-01,2009,3.0,JUL,56.0,150.0,206.0,1505.0,4012.0,5517.0,100.0,266.0,366.0,94.0,251.0,345.0,369.0,983.0,1352.0,9.0,23.0,32.0,212.0,566.0,778.0,20.0,54.0,74.0,31.0,82.0,113.0,376.0,1002.0,1378.0,294.0,784.0,1078.0,0.0,1.0,1.0,5291.0,14105.0,19396.0,168.0,446.0,614.0,21.0,54.0,75.0,4.0,11.0,15.0,35.0,94.0,129.0,108.0,287.0,395.0,0.0,0.0,0.0,1823.0,4859.0,6682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,598.0,822.0,2509.0,6685.0,9194.0,11576.0,30855.0,42431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,598.0,822.0,2508.0,6683.0,9191.0,2732.0,7281.0,10013.0,4018,6.0,,,,,,,,,,,,,,,
Alameda,2010-07-01,2010,3.0,JUL,64.0,192.0,256.0,1404.0,4204.0,5608.0,113.0,338.0,451.0,90.0,270.0,360.0,399.0,1196.0,1595.0,9.0,26.0,35.0,228.0,683.0,911.0,22.0,68.0,90.0,28.0,84.0,112.0,387.0,1158.0,1545.0,128.0,381.0,509.0,0.0,0.0,0.0,5272.0,15778.0,21050.0,171.0,513.0,684.0,23.0,69.0,92.0,5.0,16.0,21.0,39.0,117.0,156.0,104.0,311.0,415.0,0.0,0.0,0.0,2127.0,6365.0,8492.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,9438.0,12593.0,0.0,1.0,1.0,12194.0,36493.0,48687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,9438.0,12593.0,0.0,0.0,0.0,3155.0,9438.0,12593.0,4020,6.0,,,,,,,,,,,,,,,
Alameda,2011-07-01,2011,3.0,JUL,57.0,222.0,279.0,1339.0,5176.0,6515.0,106.0,410.0,516.0,78.0,302.0,380.0,403.0,1555.0,1958.0,8.0,32.0,40.0,230.0,890.0,1120.0,22.0,87.0,109.0,24.0,93.0,117.0,345.0,1334.0,1679.0,123.0,473.0,596.0,0.0,0.0,0.0,4789.0,18495.0,23284.0,163.0,631.0,794.0,24.0,94.0,118.0,6.0,21.0,27.0,34.0,132.0,166.0,99.0,384.0,483.0,0.0,0.0,0.0,2123.0,8195.0,10318.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,12006.0,15115.0,1.0,2.0,3.0,11582.0,44730.0,56312.0,0.0,0.0,0.0,1.0,13.0,14.0,0.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,15.0,20.0,5.0,13.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,12006.0,15115.0,0.0,0.0,0.0,3121.0,12053.0,15174.0,4022,6.0,,,,,,,,,,,,,,,
