county,fulldate,year,quarter,month,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,quarter
Alameda,2017-07-01,2017,3.0,JUL,49.0,209.0,258.0,379.0,8059.0,8438.0,34.0,604.0,638.0,24.0,225.0,249.0,54.0,2867.0,2921.0,3.0,55.0,58.0,51.0,1230.0,1281.0,10.0,163.0,173.0,7.0,80.0,87.0,38.0,1464.0,1502.0,158.0,1371.0,1529.0,0.0,0.0,0.0,2050.0,17495.0,19545.0,43.0,475.0,518.0,3.0,57.0,60.0,2.0,23.0,25.0,14.0,100.0,114.0,24.0,295.0,319.0,0.0,0.0,0.0,795.0,13400.0,14195.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.0,12467.0,14280.0,0.0,0.0,0.0,5129.0,52111.0,57240.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,11.0,12.0,0.0,6.0,6.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,385.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,7334.0,8534.0,0.0,0.0,0.0,1225.0,7747.0,8972.0,4034,6.0
Alpine,2017-07-01,2017,3.0,JUL,1.0,43.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,75.0,76.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,4034,6.0
Amador,2017-07-01,2017,3.0,JUL,3.0,25.0,28.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1343.0,1430.0,6.0,23.0,29.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,58.0,72.0,5.0,49.0,54.0,118.0,1531.0,1649.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,47.0,54.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,49.0,60.0,2.0,17.0,19.0,21.0,122.0,143.0,4034,6.0
Butte,2017-07-01,2017,3.0,JUL,38.0,325.0,363.0,57.0,655.0,712.0,1.0,27.0,28.0,1.0,6.0,7.0,0.0,17.0,17.0,1.0,5.0,6.0,3.0,55.0,58.0,0.0,7.0,7.0,11.0,159.0,170.0,0.0,20.0,20.0,33.0,308.0,341.0,7.0,51.0,58.0,65.0,584.0,649.0,5.0,34.0,39.0,0.0,14.0,14.0,2.0,2.0,4.0,3.0,13.0,16.0,0.0,4.0,4.0,0.0,1.0,1.0,1106.0,10604.0,11710.0,42.0,325.0,367.0,4.0,73.0,77.0,15.0,75.0,90.0,2.0,16.0,18.0,119.0,1616.0,1735.0,80.0,811.0,891.0,1533.0,15118.0,16651.0,3.0,58.0,61.0,1.0,13.0,14.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,26.0,27.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0,596.0,673.0,4.0,38.0,42.0,2.0,12.0,14.0,1.0,7.0,8.0,0.0,0.0,0.0,103.0,1434.0,1537.0,61.0,323.0,384.0,254.0,2509.0,2763.0,4034,6.0
Calaveras,2017-07-01,2017,3.0,JUL,4.0,58.0,62.0,0.0,27.0,27.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,12.0,12.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,29.0,31.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,165.0,2246.0,2411.0,2.0,30.0,32.0,0.0,7.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,13.0,111.0,124.0,5.0,75.0,80.0,192.0,2593.0,2785.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,87.0,91.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,100.0,113.0,4.0,38.0,42.0,22.0,241.0,263.0,4034,6.0
California,2017-07-01,2017,3.0,JUL,2079.0,15458.0,17537.0,6598.0,106683.0,113281.0,569.0,6538.0,7107.0,696.0,5387.0,6083.0,541.0,17178.0,17719.0,119.0,1653.0,1772.0,1518.0,24025.0,25543.0,277.0,4945.0,5222.0,468.0,4655.0,5123.0,962.0,28073.0,29035.0,1317.0,12924.0,14241.0,131.0,1305.0,1436.0,36829.0,238522.0,275351.0,1348.0,11611.0,12959.0,172.0,1794.0,1966.0,90.0,922.0,1012.0,379.0,2672.0,3051.0,693.0,6131.0,6824.0,14.0,92.0,106.0,90005.0,744114.0,834119.0,1022.0,6556.0,7578.0,481.0,3493.0,3974.0,970.0,4945.0,5915.0,157.0,919.0,1076.0,69736.0,365929.0,435665.0,31571.0,232659.0,264230.0,240796.0,1730889.0,1971685.0,632.0,3851.0,4483.0,271.0,2018.0,2289.0,70.0,387.0,457.0,15.0,84.0,99.0,11.0,64.0,75.0,12.0,118.0,130.0,98.0,822.0,920.0,4.0,46.0,50.0,25.0,188.0,213.0,6.0,71.0,77.0,28.0,204.0,232.0,2.0,34.0,36.0,694.0,3506.0,4200.0,92.0,724.0,816.0,27.0,252.0,279.0,19.0,142.0,161.0,17.0,127.0,144.0,28.0,194.0,222.0,1.0,9.0,10.0,41459.0,239494.0,280953.0,484.0,1940.0,2424.0,164.0,916.0,1080.0,249.0,1143.0,1392.0,27.0,89.0,116.0,65410.0,334416.0,399826.0,25798.0,177017.0,202815.0,135280.0,765114.0,900394.0,4034,6.0
Colusa,2017-07-01,2017,3.0,JUL,2.0,7.0,9.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,13.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,352.0,403.0,1.0,10.0,11.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,21.0,150.0,171.0,3.0,61.0,64.0,81.0,606.0,687.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,92.0,116.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,146.0,167.0,2.0,32.0,34.0,48.0,279.0,327.0,4034,6.0
Contra Costa,2017-07-01,2017,3.0,JUL,24.0,128.0,152.0,117.0,1671.0,1788.0,14.0,183.0,197.0,2.0,27.0,29.0,9.0,200.0,209.0,0.0,32.0,32.0,41.0,689.0,730.0,7.0,47.0,54.0,9.0,97.0,106.0,9.0,164.0,173.0,25.0,219.0,244.0,1.0,13.0,14.0,1123.0,7600.0,8723.0,4.0,103.0,107.0,2.0,63.0,65.0,1.0,23.0,24.0,0.0,4.0,4.0,0.0,8.0,8.0,1.0,5.0,6.0,632.0,7425.0,8057.0,5.0,48.0,53.0,4.0,39.0,43.0,7.0,61.0,68.0,8.0,31.0,39.0,153.0,809.0,962.0,1634.0,9616.0,11250.0,3711.0,27531.0,31242.0,8.0,27.0,35.0,1.0,24.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,12.0,83.0,95.0,0.0,13.0,13.0,0.0,10.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,3.0,3.0,3.0,1.0,4.0,115.0,588.0,703.0,1372.0,6828.0,8200.0,1514.0,7574.0,9088.0,4034,6.0
Del Norte,2017-07-01,2017,3.0,JUL,39.0,236.0,275.0,26.0,82.0,108.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,6.0,18.0,24.0,0.0,1.0,1.0,15.0,44.0,59.0,1.0,3.0,4.0,5.0,13.0,18.0,0.0,8.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,243.0,1633.0,1876.0,14.0,69.0,83.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,14.0,69.0,83.0,17.0,87.0,104.0,358.0,2206.0,2564.0,1.0,13.0,14.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,79.0,87.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,63.0,7.0,28.0,35.0,30.0,180.0,210.0,4034,6.0
El Dorado,2017-07-01,2017,3.0,JUL,7.0,65.0,72.0,6.0,98.0,104.0,2.0,11.0,13.0,0.0,3.0,3.0,0.0,7.0,7.0,0.0,5.0,5.0,4.0,50.0,54.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,6.0,6.0,0.0,4.0,4.0,10.0,81.0,91.0,1.0,11.0,12.0,1.0,7.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,385.0,4861.0,5246.0,8.0,66.0,74.0,0.0,28.0,28.0,2.0,13.0,15.0,0.0,0.0,0.0,40.0,379.0,419.0,45.0,711.0,756.0,504.0,6313.0,6817.0,1.0,9.0,10.0,3.0,5.0,8.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,196.0,216.0,1.0,6.0,7.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,32.0,307.0,339.0,22.0,222.0,244.0,79.0,755.0,834.0,4034,6.0
