county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
California,505637.0,268493.0,50468.0,26509.0,20164.0,140003.0,14.9,344722.0,269375.0,75347.0,42989.0,32884.0,6096.0,4009.0,40.1,0.1921,0.0998,0.085,0.065,2011,DEC,1.0,1.0,4.0,2011-12-01
Alameda,15455.0,8665.0,1852.0,731.0,459.0,3748.0,13.7,12285.0,10362.0,1923.0,958.0,471.0,278.0,209.0,46.3,0.1968,0.1198,0.062,0.0305,2011,DEC,0.03056540561707312,0.035637412175608174,4.0,2011-12-01
Alpine,25.0,18.0,0.0,0.0,1.0,6.0,4.0,12.0,9.0,3.0,3.0,3.0,0.0,0.0,30.3,0.04,0.0,0.12,0.12,2011,DEC,4.94425843045505e-05,3.4810659023793084e-05,4.0,2011-12-01
Amador,487.0,337.0,14.0,15.0,22.0,99.0,15.7,252.0,161.0,91.0,84.0,82.0,1.0,1.0,39.0,0.1047,0.0287,0.1725,0.1684,2011,DEC,0.0009631415422526435,0.0007310238394996548,4.0,2011-12-01
Butte,3970.0,2483.0,139.0,179.0,177.0,992.0,19.7,1831.0,707.0,1124.0,1071.0,1051.0,13.0,7.0,48.3,0.1247,0.035,0.2698,0.2647,2011,DEC,0.007851482387562619,0.0053115263893804285,4.0,2011-12-01
Calaveras,645.0,412.0,21.0,38.0,33.0,141.0,14.7,302.0,184.0,118.0,113.0,106.0,4.0,3.0,37.7,0.1426,0.0326,0.1752,0.1643,2011,DEC,0.0012756186750574028,0.0008760682520987926,4.0,2011-12-01
Colusa,316.0,142.0,23.0,15.0,20.0,116.0,24.7,92.0,58.0,34.0,32.0,30.0,2.0,0.0,43.3,0.1835,0.0728,0.1013,0.0949,2011,DEC,0.0006249542656095183,0.00026688171918241366,4.0,2011-12-01
Contra Costa,9909.0,5900.0,1116.0,467.0,260.0,2166.0,15.7,6982.0,5643.0,1339.0,883.0,540.0,226.0,117.0,50.3,0.18600000000000005,0.1126,0.0891,0.0545,2011,DEC,0.019597062714951638,0.02025400177534361,4.0,2011-12-01
Del Norte,764.0,360.0,51.0,58.0,70.0,225.0,7.3,277.0,168.0,109.0,100.0,96.0,3.0,1.0,39.7,0.2343,0.0668,0.1309,0.1257,2011,DEC,0.0015109653763470633,0.0008035460457992237,4.0,2011-12-01
El Dorado,2318.0,1467.0,65.0,101.0,96.0,589.0,12.7,611.0,306.0,305.0,283.0,273.0,6.0,4.0,44.0,0.113,0.028,0.1221,0.1178,2011,DEC,0.004584316416717922,0.0017724427219614645,4.0,2011-12-01
