county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate,issuances_mail,issuances_ebt,issuances_ebt_conv_coupon
California,307388,9566,998,358867,12557,6947,666255,22123,7945,837586,851710,1689296,24483,11879,34729,16338,59212,28217,2910,10048,12958,148485,489590,105201,743276,146290398,5536459,1561841,1445048,151826857,3006889,154833746,2003,APR,696323,2,4/1/03,,,
Alameda,13242,183,0,8512,121,215,21754,304,215,33900,21791,55691,326,187,293,142,619,329,0,273,273,0,22273,0,22273,4397083,40122,21325,43457,4437205,64782,4501987,2003,APR,22273,2,4/1/03,,,
Alpine,10,0,0,27,0,0,37,0,0,30,64,94,0,0,0,0,0,0,0,0,0,37,0,0,37,8027,0,0,0,8027,0,8027,2003,APR,37,2,4/1/03,,,
Amador,121,2,0,300,1,1,421,3,1,320,625,945,5,2,2,1,7,3,0,1,1,403,0,74,477,83383,0,0,0,83383,0,83383,2003,APR,425,2,4/1/03,,,
Butte,2091,26,0,2948,29,3,5039,55,3,6219,7149,13368,123,31,147,42,270,73,0,3,3,6878,0,0,6878,1123243,18549,5305,417,1141792,5722,1147514,2003,APR,5097,2,4/1/03,,,
Calaveras,218,0,0,427,0,0,645,0,0,587,864,1451,0,0,0,0,0,0,0,0,0,589,0,128,717,123903,0,0,0,123903,0,123903,2003,APR,645,2,4/1/03,,,
Colusa,84,0,0,326,14,3,410,14,3,223,860,1083,0,0,41,20,41,20,0,6,6,454,0,0,454,81780,2786,893,421,84566,1314,85880,2003,APR,427,2,4/1/03,,,
Contra Costa,5779,220,11,2719,122,74,8498,342,85,15613,5321,20934,647,301,264,233,911,534,24,101,125,10024,0,0,10024,1780718,66295,20169,9639,1847013,29808,1876821,2003,APR,8925,2,4/1/03,,,
Del Norte,502,4,0,689,2,2,1191,6,2,1517,1411,2928,13,4,14,2,27,6,0,2,2,141,0,1058,1199,235725,2463,381,278,238188,659,238847,2003,APR,1199,2,4/1/03,,,
El Dorado,588,11,0,1039,14,9,1627,25,9,1564,1996,3560,21,11,39,15,60,26,0,9,9,1771,47,0,1818,299035,5283,906,1182,304318,2088,306406,2003,APR,1661,2,4/1/03,,,
Fresno,19007,788,8,10784,494,100,29791,1282,108,63292,28190,91482,2497,924,1303,655,3800,1579,21,196,217,614,31216,0,31830,7388901,333542,82627,20239,7722443,102866,7825309,2003,APR,31181,2,4/1/03,,,
Glenn,229,0,0,532,2,3,761,2,3,682,1415,2097,0,0,6,2,6,2,0,4,4,826,0,0,826,161669,442,148,534,162111,682,162793,2003,APR,766,2,4/1/03,,,
