county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,273915.0,4719.0,178.0,1843226.0,22103.0,11237.0,2117141.0,26822.0,11415.0,691075.0,3699298.0,4390373.0,10055.0,6335.0,52764.0,26863.0,62819.0,33198.0,274.0,14386.0,14660.0,0.0,0.0,0.0,2558645.0,2558645.0,0.0,626061148.23,6146981.28,632208129.51,2015,OCT,2155378.0,False,4.0,2015-10-01
California,275480.0,4718.0,175.0,1839880.0,21749.0,11296.0,2115360.0,26467.0,11471.0,695152.0,3696789.0,4391941.0,10073.0,6318.0,51719.0,26433.0,61792.0,32751.0,275.0,14599.0,14874.0,0.0,0.0,0.0,2380154.0,2380154.0,0.0,625117732.23,6133249.8,631250982.03,2015,SEP,2153298.0,True,3.0,2015-09-01
California,272567.0,4803.0,170.0,1839260.0,21745.0,11290.0,2111827.0,26548.0,11460.0,688076.0,3685464.0,4373540.0,10231.0,6438.0,51971.0,26575.0,62202.0,33013.0,260.0,14497.0,14757.0,0.0,0.0,0.0,2343161.0,2343161.0,0.0,620232739.4,6101626.87,626334366.27,2015,NOV,2149835.0,True,4.0,2015-11-01
California,276207.0,4731.0,157.0,1835364.0,21822.0,11446.0,2111571.0,26553.0,11603.0,697640.0,3694215.0,4391855.0,10022.0,6310.0,51810.0,26667.0,61832.0,32977.0,248.0,14734.0,14982.0,0.0,0.0,0.0,2376376.0,2376376.0,0.0,627492787.0,6210421.0,633703208.0,2015,AUG,2149727.0,True,3.0,2015-08-01
California,272038.0,4925.0,177.0,1838246.0,21832.0,11530.0,2110284.0,26757.0,11707.0,686901.0,3679439.0,4366340.0,10611.0,6603.0,51981.0,26705.0,62592.0,33308.0,279.0,14778.0,15057.0,0.0,0.0,0.0,2357951.0,2357951.0,0.0,620924188.35,6195464.0,627119652.35,2015,DEC,2148748.0,True,4.0,2015-12-01
California,277461.0,4728.0,156.0,1830349.0,21820.0,11446.0,2107810.0,26548.0,11602.0,700871.0,3682131.0,4383002.0,10014.0,6278.0,51944.0,26515.0,61958.0,32793.0,250.0,14723.0,14973.0,0.0,0.0,0.0,2375105.0,2375105.0,0.0,628547288.41,6365846.51,634913134.92,2015,JUL,2145960.0,True,3.0,2015-07-01
California,267876.0,5035.0,183.0,1832110.0,22057.0,11847.0,2099986.0,27092.0,12030.0,677112.0,3640297.0,4317409.0,10950.0,6791.0,52603.0,26927.0,63553.0,33718.0,290.0,15163.0,15453.0,0.0,0.0,0.0,2349005.0,2349005.0,0.0,613986694.87,6158319.0,620145013.87,2016,MAR,2139108.0,True,1.0,2016-03-01
California,269725.0,4943.0,178.0,1826137.0,21835.0,11528.0,2095862.0,26778.0,11706.0,681169.0,3653043.0,4334212.0,10633.0,6644.0,52112.0,26725.0,62745.0,33369.0,271.0,14763.0,15034.0,0.0,0.0,0.0,2332154.0,2332154.0,0.0,614401356.48,6166516.16,620567872.64,2016,JAN,2134346.0,False,1.0,2016-01-01
California,265015.0,4947.0,178.0,1825201.0,21943.0,11671.0,2090216.0,26890.0,11849.0,668784.0,3645914.0,4314698.0,10710.0,6679.0,52275.0,26832.0,62985.0,33511.0,286.0,14999.0,15285.0,0.0,0.0,0.0,2333121.0,2333121.0,0.0,613831878.18,6244466.11,620076344.29,2016,FEB,2128955.0,False,1.0,2016-02-01
California,265411.0,5084.0,199.0,1810382.0,21788.0,11717.0,2075793.0,26872.0,11916.0,672778.0,3598124.0,4270902.0,11062.0,6871.0,52203.0,26690.0,63265.0,33561.0,312.0,15078.0,15390.0,0.0,0.0,0.0,2317302.0,2317302.0,0.0,605345291.21,6088283.0,611433574.21,2016,APR,2114581.0,False,2.0,2016-04-01
California,263198.0,5053.0,177.0,1810934.0,21586.0,11804.0,2074132.0,26639.0,11981.0,668025.0,3586415.0,4254440.0,11031.0,6829.0,51853.0,26409.0,62884.0,33238.0,293.0,15120.0,15413.0,0.0,0.0,0.0,2296229.0,2296229.0,0.0,602606275.88,5993681.02,608599956.9,2016,MAY,2112752.0,False,2.0,2016-05-01
California,260765.0,5065.0,171.0,1806801.0,21433.0,11524.0,2067566.0,26498.0,11695.0,663622.0,3576634.0,4240256.0,11134.0,6862.0,51386.0,26185.0,62520.0,33047.0,275.0,14803.0,15078.0,0.0,0.0,0.0,2278712.0,2278712.0,0.0,599103503.0,5847471.0,604950974.0,2016,JUN,2105759.0,False,2.0,2016-06-01
Los Angeles,76271.0,2073.0,66.0,499709.0,6184.0,3772.0,575980.0,8257.0,3838.0,173779.0,975487.0,1149266.0,4004.0,2890.0,14221.0,7748.0,18225.0,10638.0,125.0,4853.0,4978.0,0.0,0.0,0.0,694633.0,694633.0,0.0,173961772.0,2443196.0,176404968.0,2015,JUL,588075.0,False,3.0,2015-07-01
Los Angeles,76544.0,2091.0,69.0,499279.0,6124.0,3782.0,575823.0,8215.0,3851.0,174254.0,972034.0,1146288.0,4006.0,2945.0,14144.0,7675.0,18150.0,10620.0,125.0,4849.0,4974.0,0.0,0.0,0.0,690014.0,690014.0,0.0,172485219.0,2418458.0,174903677.0,2015,SEP,587889.0,False,3.0,2015-09-01
Los Angeles,76156.0,2097.0,63.0,498581.0,6106.0,3745.0,574737.0,8203.0,3808.0,173341.0,972317.0,1145658.0,4045.0,2941.0,14032.0,7671.0,18077.0,10612.0,117.0,4802.0,4919.0,0.0,0.0,0.0,690959.0,690959.0,0.0,173035755.0,2416475.0,175452230.0,2015,AUG,586748.0,False,3.0,2015-08-01
Los Angeles,77326.0,2131.0,67.0,496999.0,6067.0,3792.0,574325.0,8198.0,3859.0,177081.0,966089.0,1143170.0,4094.0,3008.0,13984.0,7630.0,18078.0,10638.0,125.0,4859.0,4984.0,0.0,0.0,0.0,670026.0,670026.0,0.0,171467358.0,2371775.0,173839133.0,2015,OCT,586382.0,False,4.0,2015-10-01
Los Angeles,77315.0,2103.0,70.0,493660.0,6004.0,3768.0,570975.0,8107.0,3838.0,177883.0,955108.0,1132991.0,4035.0,2977.0,13898.0,7589.0,17933.0,10566.0,132.0,4813.0,4945.0,0.0,0.0,0.0,660653.0,660653.0,0.0,170109896.0,2357668.0,172467564.0,2015,NOV,582920.0,False,4.0,2015-11-01
