county,consortium,month,year,federal_fiscal_year,state_fiscal_year,qtr_medical_rcv_calfresh_pct,qtr_calfresh_persons_rcv_medical,qtr_calfresh_persons_rcv_medical_pct,quarter,fulldate,ann_calfresh_hh_sfy_avg,ann_calfresh_hh_cy_avg,ann_calfresh_persons_sfy_avg,ann_calfresh_persons_cy_avg,ann_elderly,ann_children,ann_child_only_hh,ann_esl,ann_wic_calfresh_reachable,ann_calfresh_in_wic,ann_tot_pop,ann_elderly_over60,ann_children_under18,ann_tot_esl_over5,ann_tot_ssi_recipients,unemployment_pct,ann_calfresh_eligibles,mth_calfresh_hh,mth_calfresh_persons,mth_medical_enrollment,mth_timeliness_30d_pct,mth_timeliness_exp_pct,mth_negative_error_completed_cases,mth_negative_error_pct,mth_active_error_rate_pct,pri_est_frequency,calfresh_persons_cy_avg,calfresh_eligibles,five_yr_est_range,pri_us_census_est_pct,qtr_timeliness_exp_pct,qtr_30d_churn_reapps_pct,qtr_90d_churn_reapps_pct,qtr_30d_churn_recerts_pct,qtr_90d_churn_recerts_pct
California,n/a,JAN,2012,2012.0,2012.0,0.39101443183,3127204.0,0.7803672702330001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,n/a,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,1767003.0,3956654.0,\N,0.9605,\N,\N,\N,0.0342,,,,,,,,,,
Alameda,CalWIN,JAN,2012,2012.0,2012.0,0.36371400957500005,97092.0,0.765070209446,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,60025.0,122112.0,\N,0.9093,\N,\N,\N,0.0109,,,,,,,,,,
Alpine,C-IV,JAN,2012,2012.0,2012.0,0.5054945054950001,138.0,0.913907284768,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,82.0,152.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Amador,C-IV,JAN,2012,2012.0,2012.0,0.465451230629,2553.0,0.8318670576739999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,1605.0,3081.0,\N,0.8707,\N,\N,\N,0.0536,,,,,,,,,,
Butte,C-IV,JAN,2012,2012.0,2012.0,0.417395537798,24863.0,0.874810879279,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,13440.0,28228.0,\N,0.886,\N,\N,\N,0.0536,,,,,,,,,,
Calaveras,C-IV,JAN,2012,2012.0,2012.0,0.49428114623,4019.0,0.814057119708,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,2418.0,4875.0,\N,0.9595,\N,\N,\N,0.0536,,,,,,,,,,
Colusa,C-IV,JAN,2012,2012.0,2012.0,0.299131077833,1618.0,0.8899889989,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,692.0,1707.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Contra Costa,CalWIN,JAN,2012,2012.0,2012.0,0.35186323780999995,52650.0,0.762568254566,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,31591.0,67029.0,\N,0.9637,\N,\N,\N,0.0386,,,,,,,,,,
Del Norte,C-IV,JAN,2012,2012.0,2012.0,0.48398205155,4638.0,0.8841021730840001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,2575.0,5366.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
El Dorado,C-IV,JAN,2012,2012.0,2012.0,0.416470588235,9558.0,0.806990881459,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,5834.0,11341.0,\N,0.9981,\N,\N,\N,0.0536,,,,,,,,,,
Fresno,CalWIN,JAN,2012,2012.0,2012.0,0.534988692538,174348.0,0.8030806222050001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,87032.0,211602.0,\N,1.0,\N,\N,\N,0.0175,,,,,,,,,,
Glenn,C-IV,JAN,2012,2012.0,2012.0,0.389544269216,3137.0,0.901177822465,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,1345.0,3384.0,\N,0.0,\N,\N,\N,0.0536,,,,,,,,,,
Humboldt,C-IV,JAN,2012,2012.0,2012.0,0.392506377551,12309.0,0.8166257546610001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,7904.0,15105.0,\N,0.9551,\N,\N,\N,0.0536,,,,,,,,,,
Imperial,C-IV,JAN,2012,2012.0,2012.0,0.492514093836,31975.0,0.894355560528,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,13695.0,35317.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Inyo,C-IV,JAN,2012,2012.0,2012.0,0.387148410702,1693.0,0.868650590046,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,950.0,1954.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Kern,C-IV,JAN,2012,2012.0,2012.0,0.464715562583,115216.0,0.8322450158910001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,55265.0,136622.0,\N,0.9879,\N,\N,\N,0.033,,,,,,,,,,
Kings,C-IV,JAN,2012,2012.0,2012.0,0.490058910162,19965.0,0.8920512935079999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,9461.0,22772.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Lake,C-IV,JAN,2012,2012.0,2012.0,0.414119008583,8588.0,0.853593082199,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,4888.0,9935.0,\N,0.9466,\N,\N,\N,0.0536,,,,,,,,,,
Lassen,C-IV,JAN,2012,2012.0,2012.0,0.448937628513,2620.0,0.896646132786,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,1373.0,2931.0,\N,0.943,\N,\N,\N,0.0536,,,,,,,,,,
Los Angeles,LRS,JAN,2012,2012.0,2012.0,0.337046141668,848151.0,0.789294126296,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,LRS,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,495012.0,1058962.0,\N,0.9623,\N,\N,\N,0.0334,,,,,,,,,,
Madera,C-IV,JAN,2012,2012.0,2012.0,0.489690410573,24343.0,0.907305255311,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,10284.0,26172.0,\N,0.976,\N,\N,\N,0.0536,,,,,,,,,,
Marin,C-IV,JAN,2012,2012.0,2012.0,0.303600214938,7910.0,0.866659362332,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,5325.0,8957.0,\N,0.9749,\N,\N,\N,0.0536,,,,,,,,,,
Mariposa,C-IV,JAN,2012,2012.0,2012.0,0.459860648288,1518.0,0.8699140401150001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,826.0,1730.0,\N,0.9403,\N,\N,\N,0.0536,,,,,,,,,,
Mendocino,C-IV,JAN,2012,2012.0,2012.0,0.38590155646200003,10686.0,0.824600663631,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,6872.0,13454.0,\N,0.992,\N,\N,\N,0.0536,,,,,,,,,,
Merced,C-IV,JAN,2012,2012.0,2012.0,0.49642416487700003,43453.0,0.8282441293080001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,21252.0,52771.0,\N,0.9742,\N,\N,\N,0.0252,,,,,,,,,,
Modoc,C-IV,JAN,2012,2012.0,2012.0,0.384064080944,911.0,0.895771878073,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,425.0,1021.0,\N,0.9783,\N,\N,\N,0.0536,,,,,,,,,,
Mono,C-IV,JAN,2012,2012.0,2012.0,0.291250733999,496.0,0.659574468085,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,426.0,698.0,\N,0.9778,\N,\N,\N,0.0536,,,,,,,,,,
Monterey,C-IV,JAN,2012,2012.0,2012.0,0.384035831875,38841.0,0.8526925863320001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,19293.0,44819.0,\N,0.9995,\N,\N,\N,0.0108,,,,,,,,,,
Napa,C-IV,JAN,2012,2012.0,2012.0,0.323879137283,6292.0,0.8430925901109999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,3286.0,7073.0,\N,1.0,\N,\N,\N,0.0536,,,,,,,,,,
Nevada,C-IV,JAN,2012,2012.0,2012.0,0.38840685380999995,5327.0,0.817275237803,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,3327.0,6509.0,\N,0.9748,\N,\N,\N,0.0536,,,,,,,,,,
Orange,CalWIN,JAN,2012,2012.0,2012.0,0.349045572833,168063.0,0.782004811249,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,92898.0,209924.0,\N,0.9961,\N,\N,\N,0.0206,,,,,,,,,,
Placer,CalWIN,JAN,2012,2012.0,2012.0,0.370800485143,12229.0,0.680068957847,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,7989.0,17900.0,\N,0.9536,\N,\N,\N,0.0536,,,,,,,,,,
Plumas,C-IV,JAN,2012,2012.0,2012.0,0.359881209503,1333.0,0.8572347266879999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,688.0,1564.0,\N,0.7736,\N,\N,\N,0.0536,,,,,,,,,,
Riverside,C-IV,JAN,2012,2012.0,2012.0,0.42222353720899997,178381.0,0.705769010117,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,104465.0,259798.0,\N,0.9989,\N,\N,\N,0.04,,,,,,,,,,
Sacramento,CalWIN,JAN,2012,2012.0,2012.0,0.472082747839,158236.0,0.772987733688,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,87602.0,200011.0,\N,0.9097,\N,\N,\N,0.0466,,,,,,,,,,
San Benito,C-IV,JAN,2012,2012.0,2012.0,0.458891515629,5241.0,0.8395002402689999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,2644.0,6211.0,\N,0.9904,\N,\N,\N,0.0536,,,,,,,,,,
San Bernardino,C-IV,JAN,2012,2012.0,2012.0,0.47929065538500004,238137.0,0.7228517397650001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,143021.0,346744.0,\N,0.9993,\N,\N,\N,0.0098,,,,,,,,,,
San Diego,CalWIN,JAN,2012,2012.0,2012.0,0.39724150827699994,182687.0,0.732030517467,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,108079.0,240771.0,\N,0.9767,\N,\N,\N,0.0726,,,,,,,,,,
San Francisco,CalWIN,JAN,2012,2012.0,2012.0,0.232659273755,33170.0,0.6306323434350001,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,32799.0,50905.0,\N,0.9876,\N,\N,\N,0.0326,,,,,,,,,,
San Joaquin,C-IV,JAN,2012,2012.0,2012.0,0.47890033776600005,89608.0,0.835685042014,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,C-IV,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,41919.0,104725.0,\N,0.9853,\N,\N,\N,0.0299,,,,,,,,,,
San Luis Obispo,CalWIN,JAN,2012,2012.0,2012.0,0.37414435973099996,13446.0,0.73187459177,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,9003.0,17679.0,\N,0.9555,\N,\N,\N,0.0536,,,,,,,,,,
San Mateo,CalWIN,JAN,2012,2012.0,2012.0,0.259223719013,21071.0,0.7742136978249999,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,CalWIN,JAN,2012,2012.0,2011/12,,,,1.0,2012-01-01,,,,,,,,,,,,,,,,,,12556.0,26275.0,\N,0.9467,\N,\N,\N,0.0536,,,,,,,,,,
Santa Barbara,CalWIN,JAN,2012,2012.0,2012.0,0.32847201918,28086.0,0.834824480575,1.0,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
