county,consortium,month,year,federal_fiscal_year,state_fiscal_year,qtr_medical_rcv_calfresh_pct,qtr_calfresh_persons_rcv_medical,qtr_calfresh_persons_rcv_medical_pct,quarter,fulldate
California,n/a,JAN,2012,2012.0,2012.0,0.39101443183,3127204.0,0.780367270233,1.0,2012-01-01
Alameda,CalWIN,JAN,2012,2012.0,2012.0,0.363714009575,97092.0,0.765070209446,1.0,2012-01-01
Alpine,C-IV,JAN,2012,2012.0,2012.0,0.505494505495,138.0,0.913907284768,1.0,2012-01-01
Amador,C-IV,JAN,2012,2012.0,2012.0,0.465451230629,2553.0,0.831867057674,1.0,2012-01-01
Butte,C-IV,JAN,2012,2012.0,2012.0,0.417395537798,24863.0,0.874810879279,1.0,2012-01-01
Calaveras,C-IV,JAN,2012,2012.0,2012.0,0.49428114623,4019.0,0.814057119708,1.0,2012-01-01
Colusa,C-IV,JAN,2012,2012.0,2012.0,0.299131077833,1618.0,0.8899889989,1.0,2012-01-01
Contra Costa,CalWIN,JAN,2012,2012.0,2012.0,0.35186323781,52650.0,0.762568254566,1.0,2012-01-01
Del Norte,C-IV,JAN,2012,2012.0,2012.0,0.48398205155,4638.0,0.884102173084,1.0,2012-01-01
El Dorado,C-IV,JAN,2012,2012.0,2012.0,0.416470588235,9558.0,0.806990881459,1.0,2012-01-01
Fresno,CalWIN,JAN,2012,2012.0,2012.0,0.534988692538,174348.0,0.803080622205,1.0,2012-01-01
Glenn,C-IV,JAN,2012,2012.0,2012.0,0.389544269216,3137.0,0.901177822465,1.0,2012-01-01
Humboldt,C-IV,JAN,2012,2012.0,2012.0,0.392506377551,12309.0,0.816625754661,1.0,2012-01-01
Imperial,C-IV,JAN,2012,2012.0,2012.0,0.492514093836,31975.0,0.894355560528,1.0,2012-01-01
Inyo,C-IV,JAN,2012,2012.0,2012.0,0.387148410702,1693.0,0.868650590046,1.0,2012-01-01
Kern,C-IV,JAN,2012,2012.0,2012.0,0.464715562583,115216.0,0.832245015891,1.0,2012-01-01
Kings,C-IV,JAN,2012,2012.0,2012.0,0.490058910162,19965.0,0.892051293508,1.0,2012-01-01
Lake,C-IV,JAN,2012,2012.0,2012.0,0.414119008583,8588.0,0.853593082199,1.0,2012-01-01
Lassen,C-IV,JAN,2012,2012.0,2012.0,0.448937628513,2620.0,0.896646132786,1.0,2012-01-01
