August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,Part B,,Part B,,,,,,Part B,,,,,,Part B,,,,PART C,,PART C,,,,,,PART C,,,,,,PART C,,,,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,,PART D,,,,PART D,,,,,,,,PART D,,,PART D,,,,,,,,PART D,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,
,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)","3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)","3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,CDSS Use Only:
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,26867669.0
Statewide,157584.0,39265.0,147670.0,97153.0,323.0,2283.0,2606.0,53.0,44275.0,44328.0,35.0,25072.0,25107.0,18.0,19203.0,19221.0,8.0,2268.0,2276.0,0.0,6189.0,6189.0,5173.0,126869.0,132042.0,3311.0,53236.0,56547.0,2670.0,48733.0,51403.0,192.0,2026.0,2218.0,449.0,2477.0,2926.0,1862.0,73633.0,75495.0,244387.0,1668063.0,1912450.0,245503.0,1659002.0,1904505.0,-1116.0,9061.0,7945.0,12840.0,143433.0,156273.0,6534.0,121.0,7.0,88697.0,1047.0,747.0,6662.0,90491.0,97153.0,-1370.0,1370.0,0.0,530.0,1924.0,2454.0,935.0,9077.0,10012.0,6083.0,40571.0,46654.0,257227.0,1811496.0,2068723.0,252394.0,1780575.0,2032969.0,4239982.0,3005.0,30116.0,4709.0,20409.0,25118.0,12941.0,1164.0,124.0,10512.0,10636.0,15403.0,169165.0,184568.0,96.0,644.0,740.0,241824.0,1642331.0,1884155.0,17580.0,84826.0,102406.0,16841.0,358.0,7.0,78303.0,1126.0,320.0,17206.0,79749.0,96955.0,368.0,6.0,0.0,4938.0,112.0,27.0,374.0,5077.0,5451.0,17.0,73.0,90.0,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,91.0,91.0,0.0,91.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,92.0,1.0,91.0,92.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,87.0,88.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,30.0,0.0,122.0,73.0,0.0,1.0,1.0,1.0,39.0,40.0,1.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1515.0,1647.0,132.0,1515.0,1647.0,0.0,0.0,0.0,17.0,115.0,132.0,3.0,0.0,0.0,70.0,0.0,0.0,3.0,70.0,73.0,4.0,-4.0,0.0,1.0,5.0,6.0,1.0,16.0,17.0,8.0,28.0,36.0,149.0,1630.0,1779.0,149.0,1629.0,1778.0,3330.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,135.0,140.0,0.0,0.0,0.0,144.0,1495.0,1639.0,27.0,139.0,166.0,27.0,0.0,0.0,138.0,0.0,0.0,27.0,138.0,165.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Butte,1964.0,847.0,1498.0,862.0,5.0,79.0,84.0,0.0,566.0,566.0,0.0,240.0,240.0,0.0,326.0,326.0,0.0,60.0,60.0,0.0,70.0,70.0,36.0,1462.0,1498.0,17.0,607.0,624.0,17.0,568.0,585.0,0.0,31.0,31.0,0.0,8.0,8.0,19.0,855.0,874.0,1642.0,14015.0,15657.0,1642.0,14015.0,15657.0,0.0,0.0,0.0,117.0,1456.0,1573.0,37.0,0.0,0.0,820.0,2.0,3.0,37.0,825.0,862.0,2.0,-2.0,0.0,4.0,59.0,63.0,7.0,112.0,119.0,67.0,462.0,529.0,1759.0,15471.0,17230.0,1750.0,15395.0,17145.0,32431.0,4.0,50.0,8.0,44.0,52.0,35.0,4.0,1.0,32.0,33.0,88.0,1530.0,1618.0,0.0,0.0,0.0,1671.0,13941.0,15612.0,145.0,717.0,862.0,145.0,0.0,0.0,691.0,7.0,3.0,145.0,701.0,846.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,
Calaveras,204.0,44.0,213.0,155.0,0.0,3.0,3.0,0.0,52.0,52.0,0.0,20.0,20.0,0.0,32.0,32.0,0.0,2.0,2.0,0.0,6.0,6.0,5.0,208.0,213.0,3.0,106.0,109.0,2.0,96.0,98.0,0.0,4.0,4.0,1.0,6.0,7.0,2.0,102.0,104.0,195.0,2415.0,2610.0,195.0,2415.0,2610.0,0.0,0.0,0.0,4.0,261.0,265.0,7.0,0.0,0.0,147.0,1.0,0.0,7.0,148.0,155.0,-12.0,12.0,0.0,1.0,7.0,8.0,2.0,27.0,29.0,6.0,67.0,73.0,199.0,2676.0,2875.0,199.0,2665.0,2864.0,5292.0,0.0,10.0,0.0,7.0,7.0,6.0,0.0,0.0,4.0,4.0,11.0,212.0,223.0,0.0,0.0,0.0,188.0,2464.0,2652.0,25.0,218.0,243.0,25.0,0.0,0.0,213.0,1.0,0.0,25.0,214.0,239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
Colusa,73.0,13.0,79.0,35.0,0.0,6.0,6.0,0.0,41.0,41.0,0.0,13.0,13.0,0.0,28.0,28.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,76.0,79.0,2.0,20.0,22.0,2.0,19.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,57.0,70.0,516.0,586.0,70.0,516.0,586.0,0.0,0.0,0.0,2.0,73.0,75.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,34.0,35.0,-2.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,32.0,34.0,72.0,589.0,661.0,71.0,587.0,658.0,1474.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0,64.0,0.0,0.0,0.0,65.0,532.0,597.0,4.0,20.0,24.0,4.0,0.0,0.0,20.0,0.0,0.0,4.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
