February 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,Part B,,Part B,,,,,,Part B,,,,,,Part B,,,,PART C,,PART C,,,,,,PART C,,,,,,PART C,,,,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,,PART D,,,,PART D,,,,,,,,PART D,,,PART D,,,,,,,,PART D,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,
,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)","3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)","3. Of the applications from Item 1, applications processed under ES disposed of during the month (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,CDSS Use Only:
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,25534124.0
Statewide,118565.0,29591.0,126206.0,84240.0,178.0,1592.0,1770.0,53.0,37002.0,37055.0,37.0,18001.0,18038.0,16.0,19001.0,19017.0,2.0,1959.0,1961.0,0.0,4911.0,4911.0,3916.0,105339.0,109255.0,2428.0,46040.0,48468.0,2072.0,42991.0,45063.0,122.0,1545.0,1667.0,234.0,1504.0,1738.0,1488.0,59299.0,60787.0,241094.0,1588586.0,1829680.0,242282.0,1598226.0,1840508.0,-1188.0,-9640.0,-10828.0,12349.0,139669.0,152018.0,5350.0,106.0,6.0,77299.0,912.0,567.0,5462.0,78778.0,84240.0,-1644.0,1644.0,0.0,349.0,1748.0,2097.0,1063.0,12368.0,13431.0,7119.0,45131.0,52250.0,253453.0,1728585.0,1982038.0,248368.0,1698542.0,1946910.0,4084930.0,2619.0,29856.0,4756.0,20260.0,25016.0,12297.0,1112.0,329.0,9783.0,10112.0,13601.0,141857.0,155458.0,128.0,826.0,954.0,239852.0,1586728.0,1826580.0,14742.0,73202.0,87944.0,14163.0,312.0,7.0,67439.0,981.0,273.0,14482.0,68693.0,83175.0,257.0,3.0,0.0,4379.0,103.0,27.0,260.0,4509.0,4769.0,14.0,166.0,180.0,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,85.0,85.0,0.0,85.0,85.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,113.0,15.0,131.0,90.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,17.0,17.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,129.0,131.0,1.0,64.0,65.0,1.0,63.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,65.0,66.0,123.0,1446.0,1569.0,123.0,1447.0,1570.0,0.0,-1.0,-1.0,9.0,146.0,155.0,2.0,0.0,0.0,88.0,0.0,0.0,2.0,88.0,90.0,3.0,-3.0,0.0,0.0,5.0,5.0,2.0,22.0,24.0,2.0,34.0,36.0,132.0,1592.0,1724.0,132.0,1587.0,1719.0,3189.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,131.0,135.0,0.0,0.0,0.0,128.0,1461.0,1589.0,8.0,75.0,83.0,7.0,0.0,0.0,73.0,0.0,0.0,7.0,73.0,80.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,
Butte,1236.0,472.0,1346.0,757.0,3.0,112.0,115.0,0.0,535.0,535.0,0.0,182.0,182.0,0.0,353.0,353.0,0.0,33.0,33.0,0.0,54.0,54.0,23.0,1323.0,1346.0,16.0,533.0,549.0,16.0,488.0,504.0,0.0,29.0,29.0,0.0,16.0,16.0,7.0,790.0,797.0,1602.0,13735.0,15337.0,1602.0,13735.0,15337.0,0.0,0.0,0.0,68.0,1319.0,1387.0,26.0,0.0,0.0,729.0,0.0,2.0,26.0,731.0,757.0,-19.0,19.0,0.0,2.0,24.0,26.0,5.0,184.0,189.0,54.0,361.0,415.0,1670.0,15054.0,16724.0,1663.0,14991.0,16654.0,31182.0,4.0,43.0,7.0,37.0,44.0,27.0,3.0,0.0,26.0,26.0,115.0,1291.0,1406.0,0.0,16.0,16.0,1555.0,13763.0,15318.0,95.0,626.0,721.0,94.0,1.0,0.0,614.0,0.0,1.0,95.0,615.0,710.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,
Calaveras,186.0,29.0,228.0,165.0,0.0,9.0,9.0,0.0,55.0,55.0,0.0,35.0,35.0,0.0,20.0,20.0,0.0,2.0,2.0,0.0,8.0,8.0,3.0,224.0,227.0,2.0,103.0,105.0,2.0,87.0,89.0,0.0,10.0,10.0,0.0,6.0,6.0,1.0,121.0,122.0,178.0,2429.0,2607.0,178.0,2431.0,2609.0,0.0,-2.0,-2.0,16.0,259.0,275.0,2.0,0.0,0.0,163.0,0.0,0.0,2.0,163.0,165.0,4.0,-4.0,0.0,0.0,10.0,10.0,2.0,27.0,29.0,8.0,63.0,71.0,194.0,2688.0,2882.0,194.0,2677.0,2871.0,5159.0,2.0,6.0,0.0,7.0,7.0,5.0,0.0,0.0,4.0,4.0,14.0,234.0,248.0,0.0,0.0,0.0,180.0,2454.0,2634.0,8.0,118.0,126.0,8.0,0.0,0.0,118.0,0.0,0.0,8.0,118.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colusa,54.0,5.0,71.0,45.0,1.0,1.0,2.0,0.0,24.0,24.0,0.0,8.0,8.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,69.0,71.0,1.0,26.0,27.0,1.0,24.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,43.0,44.0,76.0,552.0,628.0,76.0,552.0,628.0,0.0,0.0,0.0,6.0,63.0,69.0,2.0,0.0,0.0,43.0,0.0,0.0,2.0,43.0,45.0,2.0,-2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,2.0,17.0,19.0,82.0,615.0,697.0,81.0,612.0,693.0,1638.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,37.0,40.0,0.0,0.0,0.0,79.0,578.0,657.0,3.0,20.0,23.0,2.0,1.0,0.0,20.0,0.0,0.0,3.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
