January 2017 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,,
January 2017,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,,
County,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110,Cell 111,Cell 112,Cell 113,Cell 114,Cell 115,Cell 116,Cell 117,Cell 118,Cell 119,Cell 120,Cell 121,Cell 122,Cell 123,,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,86.0,86.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Amador,144.0,33.0,118.0,79.0,0.0,3.0,3.0,0.0,37.0,37.0,0.0,21.0,21.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,116.0,118.0,2.0,56.0,58.0,2.0,56.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,136.0,1444.0,1580.0,136.0,1444.0,1580.0,0.0,0.0,0.0,-4.0,144.0,140.0,2.0,0.0,0.0,77.0,0.0,0.0,2.0,77.0,79.0,-11.0,11.0,0.0,0.0,7.0,7.0,2.0,18.0,20.0,3.0,31.0,34.0,132.0,1588.0,1720.0,132.0,1583.0,1715.0,3198.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,9.0,141.0,150.0,0.0,0.0,0.0,123.0,1447.0,1570.0,10.0,88.0,98.0,10.0,0.0,0.0,87.0,0.0,0.0,10.0,87.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Butte,1681.0,629.0,1316.0,779.0,2.0,74.0,76.0,0.0,478.0,478.0,0.0,157.0,157.0,0.0,321.0,321.0,0.0,28.0,28.0,0.0,59.0,59.0,29.0,1285.0,1314.0,18.0,574.0,592.0,18.0,537.0,555.0,0.0,27.0,27.0,0.0,10.0,10.0,11.0,711.0,722.0,1583.0,13899.0,15482.0,1583.0,13899.0,15482.0,0.0,0.0,0.0,104.0,1243.0,1347.0,34.0,0.0,0.0,744.0,0.0,1.0,34.0,745.0,779.0,-15.0,15.0,0.0,1.0,27.0,28.0,3.0,154.0,157.0,81.0,302.0,383.0,1687.0,15142.0,16829.0,1681.0,15073.0,16754.0,31384.0,6.0,42.0,6.0,40.0,46.0,30.0,5.0,0.0,29.0,29.0,85.0,1407.0,1492.0,0.0,16.0,16.0,1602.0,13735.0,15337.0,137.0,642.0,779.0,137.0,0.0,0.0,634.0,2.0,0.0,137.0,636.0,773.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Calaveras,247.0,58.0,189.0,136.0,1.0,4.0,5.0,0.0,45.0,45.0,0.0,27.0,27.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,184.0,189.0,1.0,98.0,99.0,0.0,93.0,93.0,1.0,4.0,5.0,0.0,1.0,1.0,4.0,86.0,90.0,170.0,2426.0,2596.0,170.0,2427.0,2597.0,0.0,-1.0,-1.0,19.0,245.0,264.0,5.0,0.0,0.0,131.0,0.0,0.0,5.0,131.0,136.0,5.0,-5.0,0.0,1.0,9.0,10.0,1.0,35.0,36.0,7.0,75.0,82.0,189.0,2671.0,2860.0,189.0,2659.0,2848.0,5120.0,4.0,6.0,0.0,8.0,8.0,5.0,0.0,0.0,4.0,4.0,11.0,240.0,251.0,0.0,0.0,0.0,178.0,2431.0,2609.0,13.0,137.0,150.0,13.0,0.0,0.0,134.0,1.0,2.0,13.0,137.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Colusa,96.0,6.0,93.0,62.0,1.0,6.0,7.0,0.0,30.0,30.0,0.0,13.0,13.0,0.0,17.0,17.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,93.0,93.0,0.0,36.0,36.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,57.0,71.0,521.0,592.0,71.0,521.0,592.0,0.0,0.0,0.0,11.0,83.0,94.0,2.0,0.0,0.0,59.0,1.0,0.0,2.0,60.0,62.0,5.0,-5.0,0.0,1.0,3.0,4.0,0.0,4.0,4.0,3.0,21.0,24.0,82.0,604.0,686.0,81.0,601.0,682.0,1601.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,52.0,58.0,0.0,0.0,0.0,76.0,552.0,628.0,7.0,25.0,32.0,7.0,0.0,0.0,25.0,0.0,0.0,7.0,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Contra Costa,2520.0,679.0,1754.0,995.0,3.0,32.0,35.0,0.0,679.0,679.0,0.0,160.0,160.0,0.0,519.0,519.0,0.0,54.0,54.0,0.0,80.0,80.0,37.0,1077.0,1114.0,20.0,533.0,553.0,19.0,516.0,535.0,1.0,16.0,17.0,0.0,1.0,1.0,17.0,544.0,561.0,3759.0,25314.0,29073.0,3757.0,25131.0,28888.0,2.0,183.0,185.0,186.0,2574.0,2760.0,95.0,5.0,0.0,874.0,13.0,8.0,100.0,895.0,995.0,-96.0,96.0,0.0,15.0,67.0,82.0,14.0,20.0,34.0,153.0,1496.0,1649.0,3945.0,27888.0,31833.0,3844.0,27364.0,31208.0,64137.0,39.0,639.0,100.0,384.0,484.0,175.0,16.0,1.0,140.0,141.0,246.0,2952.0,3198.0,0.0,0.0,0.0,3699.0,24936.0,28635.0,236.0,1373.0,1609.0,229.0,5.0,0.0,1302.0,21.0,6.0,234.0,1329.0,1563.0,2.0,0.0,0.0,44.0,0.0,0.0,2.0,44.0,46.0,1.0,2.0,3.0,,
