"This sheet contains a data dictionary and defines each cell by Report Part Description, Item Description, and when applicable, Column Description. Table Begins in next row.",,,
"
Cell",Part,Item ,Column
1.0,A.  APPLICATIONS FOR CALFRESH,1. Applications received during the month,Total
2.0,A.  APPLICATIONS FOR CALFRESH,1A. Online applications received during the month,Total
3.0,A.  APPLICATIONS FOR CALFRESH,2. Applications disposed of during the month ,Total
4.0,A.  APPLICATIONS FOR CALFRESH,2A. Applications approved ,Total
5.0,A.  APPLICATIONS FOR CALFRESH,2A.1) Applications approved in over 30 days ,A. PACF
6.0,A.  APPLICATIONS FOR CALFRESH,2A.1) Applications approved in over 30 days ,B. NACF
7.0,A.  APPLICATIONS FOR CALFRESH,2A.1) Applications approved in over 30 days,C. Total
8.0,A.  APPLICATIONS FOR CALFRESH,2B. Applications denied (Item 2B1 plus Item 2B2),A. PACF
9.0,A.  APPLICATIONS FOR CALFRESH,2B. Applications denied (Item 2B1 plus Item 2B2),B. NACF
10.0,A.  APPLICATIONS FOR CALFRESH,2B. Applications denied (Item 2B1 plus Item 2B2),C. Total
11.0,A.  APPLICATIONS FOR CALFRESH,2B.1) Applications denied because determined ineligible,A. PACF
12.0,A.  APPLICATIONS FOR CALFRESH,2B.1) Applications denied because determined ineligible,B. NACF
13.0,A.  APPLICATIONS FOR CALFRESH,2B.1) Applications denied because determined ineligible,C. Total
14.0,A.  APPLICATIONS FOR CALFRESH,2B.2) Applications denied for procedural reasons,A. PACF
15.0,A.  APPLICATIONS FOR CALFRESH,2B.2) Applications denied for procedural reasons,B. NACF
16.0,A.  APPLICATIONS FOR CALFRESH,2B.2) Applications denied for procedural reasons,C. Total
17.0,A.  APPLICATIONS FOR CALFRESH,2B.3) Applications denied in over 30 days,A. PACF
18.0,A.  APPLICATIONS FOR CALFRESH,2B.3) Applications denied in over 30 days,B. NACF
19.0,A.  APPLICATIONS FOR CALFRESH,2B.3) Applications denied in over 30 days,C. Total
20.0,A.  APPLICATIONS FOR CALFRESH,2C. Applications withdrawn,A. PACF
21.0,A.  APPLICATIONS FOR CALFRESH,2C. Applications withdrawn,B. NACF
22.0,A.  APPLICATIONS FOR CALFRESH,2C. Applications withdrawn,C. Total
23.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),"3. Of the applications disposed of during the month in Item 2, applications processed under expedited services",A. PACF
24.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),"3. Of the applications disposed of during the month in Item 2, applications processed under expedited services",B. NACF
25.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),"3. Of the applications disposed of during the month in Item 2, applications processed under expedited services",C. Total
26.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A. Found entitled to expedited services,A. PACF
27.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A. Found entitled to expedited services,B. NACF
28.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A. Found entitled to expedited services,C. Total
29.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.1) Benefits issued in 1 to 3 days,A. PACF
30.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.1) Benefits issued in 1 to 3 days,B. NACF
31.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.1) Benefits issued in 1 to 3 days,C. Total
32.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.2) Benefits issued in 4 to 7 days,A. PACF
33.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.2) Benefits issued in 4 to 7 days,B. NACF
34.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.2) Benefits issued in 4 to 7 days,C. Total
35.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.3) Benefits issued in over 7 days,A. PACF
36.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.3) Benefits issued in over 7 days,B. NACF
37.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3A.3) Benefits issued in over 7 days,C. Total
38.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3B. Found not entitled to expedited services,A. PACF
39.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3B. Found not entitled to expedited services,B. NACF
40.0,B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),3B. Found not entitled to expedited services,C. Total
41.0,C.  CERTIFIED CASELOAD MOVEMENT,4. Cases brought forward at the beginning of the month,A. PACF
42.0,C.  CERTIFIED CASELOAD MOVEMENT,4. Cases brought forward at the beginning of the month,B. NACF
43.0,C.  CERTIFIED CASELOAD MOVEMENT,4. Cases brought forward at the beginning of the month,C. Total
44.0,C.  CERTIFIED CASELOAD MOVEMENT,"4A. Item 8 from last month's report, as reported to CDSS",A. PACF
45.0,C.  CERTIFIED CASELOAD MOVEMENT,"4A. Item 8 from last month's report, as reported to CDSS",B. NACF
46.0,C.  CERTIFIED CASELOAD MOVEMENT,"4A. Item 8 from last month's report, as reported to CDSS",C. Total
47.0,C.  CERTIFIED CASELOAD MOVEMENT,4B. Adjustment,A. PACF
48.0,C.  CERTIFIED CASELOAD MOVEMENT,4B. Adjustment,B. NACF
49.0,C.  CERTIFIED CASELOAD MOVEMENT,4B. Adjustment,C. Total
50.0,C.  CERTIFIED CASELOAD MOVEMENT,5. Cases added during the month ,A. PACF
51.0,C.  CERTIFIED CASELOAD MOVEMENT,5. Cases added during the month ,B. NACF
52.0,C.  CERTIFIED CASELOAD MOVEMENT,5. Cases added during the month ,C. Total
