December 2017 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,,
December 2017,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,,
County,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110,Cell 111,Cell 112,Cell 113,Cell 114,Cell 115,Cell 116,Cell 117,Cell 118,Cell 119,Cell 120,Cell 121,Cell 122,Cell 123,,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,71.0,73.0,2.0,71.0,73.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,75.0,77.0,2.0,75.0,77.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,71.0,73.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Amador,111.0,27.0,115.0,77.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,8.0,8.0,0.0,23.0,23.0,0.0,1.0,1.0,0.0,7.0,7.0,3.0,112.0,115.0,3.0,54.0,57.0,3.0,52.0,55.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,58.0,58.0,100.0,1380.0,1480.0,100.0,1380.0,1480.0,0.0,0.0,0.0,15.0,140.0,155.0,4.0,0.0,0.0,73.0,0.0,0.0,4.0,73.0,77.0,4.0,-4.0,0.0,1.0,6.0,7.0,1.0,18.0,19.0,5.0,47.0,52.0,115.0,1520.0,1635.0,115.0,1520.0,1635.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,145.0,154.0,0.0,0.0,0.0,106.0,1375.0,1481.0,8.0,61.0,69.0,8.0,0.0,0.0,59.0,0.0,0.0,8.0,59.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Butte,1291.0,514.0,1524.0,799.0,1.0,79.0,80.0,0.0,661.0,661.0,0.0,76.0,76.0,0.0,585.0,585.0,0.0,35.0,35.0,0.0,64.0,64.0,19.0,1505.0,1524.0,7.0,577.0,584.0,6.0,542.0,548.0,1.0,18.0,19.0,0.0,17.0,17.0,12.0,928.0,940.0,1431.0,14291.0,15722.0,1431.0,14291.0,15722.0,0.0,0.0,0.0,74.0,1326.0,1400.0,23.0,0.0,0.0,775.0,1.0,0.0,23.0,776.0,799.0,-7.0,7.0,0.0,11.0,33.0,44.0,4.0,162.0,166.0,43.0,348.0,391.0,1505.0,15617.0,17122.0,1503.0,15548.0,17051.0,31215.0,5.0,46.0,2.0,46.0,48.0,21.0,8.0,0.0,23.0,23.0,82.0,1424.0,1506.0,0.0,30.0,30.0,1423.0,14193.0,15616.0,130.0,476.0,606.0,130.0,0.0,0.0,467.0,3.0,0.0,130.0,470.0,600.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Calaveras,182.0,37.0,185.0,121.0,1.0,1.0,2.0,0.0,53.0,53.0,0.0,10.0,10.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,11.0,11.0,3.0,182.0,185.0,0.0,71.0,71.0,0.0,68.0,68.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,111.0,114.0,195.0,2410.0,2605.0,195.0,2410.0,2605.0,0.0,0.0,0.0,13.0,179.0,192.0,4.0,0.0,0.0,117.0,0.0,0.0,4.0,117.0,121.0,4.0,-4.0,0.0,0.0,3.0,3.0,1.0,32.0,33.0,4.0,31.0,35.0,208.0,2589.0,2797.0,208.0,2583.0,2791.0,5042.0,2.0,3.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,17.0,214.0,231.0,0.0,0.0,0.0,191.0,2375.0,2566.0,15.0,84.0,99.0,15.0,0.0,0.0,84.0,0.0,0.0,15.0,84.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Colusa,86.0,8.0,76.0,46.0,1.0,1.0,2.0,0.0,28.0,28.0,0.0,6.0,6.0,0.0,22.0,22.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,75.0,76.0,1.0,32.0,33.0,1.0,30.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,43.0,43.0,55.0,558.0,613.0,55.0,558.0,613.0,0.0,0.0,0.0,2.0,71.0,73.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,45.0,46.0,-1.0,1.0,0.0,1.0,2.0,3.0,1.0,5.0,6.0,0.0,18.0,18.0,57.0,629.0,686.0,57.0,624.0,681.0,1475.0,0.0,5.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,5.0,64.0,69.0,0.0,0.0,0.0,52.0,565.0,617.0,1.0,24.0,25.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Contra Costa,2068.0,783.0,2010.0,972.0,3.0,17.0,20.0,0.0,967.0,967.0,0.0,234.0,234.0,0.0,733.0,733.0,0.0,64.0,64.0,0.0,71.0,71.0,22.0,873.0,895.0,14.0,405.0,419.0,14.0,396.0,410.0,0.0,6.0,6.0,0.0,3.0,3.0,8.0,468.0,476.0,3382.0,25733.0,29115.0,3367.0,25484.0,28851.0,15.0,249.0,264.0,139.0,2358.0,2497.0,70.0,3.0,0.0,884.0,11.0,4.0,73.0,899.0,972.0,-74.0,74.0,0.0,17.0,79.0,96.0,9.0,35.0,44.0,114.0,1271.0,1385.0,3521.0,28091.0,31612.0,3426.0,27548.0,30974.0,63152.0,27.0,686.0,93.0,414.0,507.0,167.0,15.0,2.0,129.0,131.0,194.0,3128.0,3322.0,0.0,0.0,0.0,3327.0,24963.0,28290.0,271.0,1172.0,1443.0,261.0,5.0,0.0,1114.0,25.0,4.0,266.0,1143.0,1409.0,5.0,0.0,0.0,27.0,2.0,0.0,5.0,29.0,34.0,0.0,4.0,4.0,,
