,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,,,,,,,,,
,,CALFRESH MONTHLY CASELOAD MOVEMENT,,,,,,,,,,,,,,,,,,,,,,
Statewide,42917.0,STATISTICAL REPORT,,,,,,,,,,,,,,,,,,,,,,
Alameda,42948.0,CF 296,,,,,,,,,,,,,,,,,,,,,,
Alpine,42979.0,,,,,,,,,,,,,,,,,,,,,,,
Amador,43009.0,Statewide,,,,,,,,,,,43160.0,,,,,,,,,,,
Butte,43040.0,PART A.  APPLICATIONS FOR CALFRESH,,,,,,,,,,,,,,,,,,,,,TOTAL,
Calaveras,43070.0,1.  ,Applications received during the month…………………………………………………………………………………..…………………………………………………………………………………………………………………………………………………………………………………………………………….,,,,,,,,,,,,,,,,,,,,1.0,138939.0
Colusa,43101.0,,a.  ,Online applications received during the month………………………………………………………………………………………………...…………..……………………………………………………………………………………….…………………………...……………………………………………………………………………..………………………………………………………………………………………....…………………………………,,,,,,,,,,,,,,,,,,,2.0,48416.0
Contra Costa,43132.0,2.  ,"Applications disposed of during the month (Sum of Items 2a, 2b and 2c)………………………..……………………………………………………………………………………….………..……………………………………………………………………………………….……………………...……………………………………………………...……………………………………",,,,,,,,,,,,,,,,,,,,3.0,143380.0
Del Norte,43160.0,,a.,Applications approved (Same as Item 5a/Cell 61) ……………………………………………………………………………………..……………………………………………………………………………………….………………………………………………………………………………………………………………...………………………………………………………………………………..,,,,,,,,,,,,,,,,,,,4.0,88459.0
El Dorado,N/A,,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Fresno,N/A,,,1),Applications approved in over 30 days (CWD caused) ………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………..……………………………………………………………………………………………………………………………………………………………………………………...…..,,,,,,,,,,,,,,5.0,107.0,6.0,1353.0,7.0,1460.0
Glenn,N/A,,b.,Applications denied (Item 2b1 plus Item 2b2) ………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………………………………………...……………..….,,,,,,,,,,,,,,,8.0,127.0,9.0,49042.0,10.0,49169.0
Humboldt,,,,1),Applications denied because determined ineligible…………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………,,,,,,,,,,,,,,11.0,57.0,12.0,18617.0,13.0,18674.0
Imperial,,,,2),Applications denied for procedural reasons………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………..,,,,,,,,,,,,,,14.0,70.0,15.0,30425.0,16.0,30495.0
Inyo,,,,3),Applications denied in over 30 days (CWD caused)……………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………………………………………....,,,,,,,,,,,,,,17.0,6.0,18.0,1881.0,19.0,1887.0
Kern,,,c.,Applications withdrawn…………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………...……,,,,,,,,,,,,,,,20.0,49.0,21.0,5703.0,22.0,5752.0
Kings,,PART B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Lake,,3.,"Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)…………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….…………….…",,,,,,,,,,,,,,,,23.0,3733.0,24.0,121410.0,25.0,125143.0
Lassen,,,a. , Found entitled to ES (Sum of Items 3a1 through 3a3)……………………………………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….……………..……………………………………………………,,,,,,,,,,,,,,,26.0,2321.0,27.0,49471.0,28.0,51792.0
Los Angeles,,,,1)  ,Benefits issued in 1-3 days……………………………………………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………..………………...…………………………,,,,,,,,,,,,,,29.0,2094.0,30.0,46094.0,31.0,48188.0
Madera,,,,2)  ,Benefits issued in 4-7 days…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...………………………………………………...………………………….…………………...…………………………,,,,,,,,,,,,,,32.0,100.0,33.0,1923.0,34.0,2023.0
Marin,,,,3)  ,Benefits issued in over 7 days…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………..…………………………..………………………………………….….…..,,,,,,,,,,,,,,35.0,127.0,36.0,1454.0,37.0,1581.0
