county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
California,116975.0,27765.0,113953.0,77567.0,107.0,1032.0,1139.0,110.0,31697.0,31807.0,58.0,15796.0,15854.0,52.0,15901.0,15953.0,5.0,1243.0,1248.0,37.0,4542.0,4579.0,3998.0,97549.0,101547.0,2666.0,44939.0,47605.0,2328.0,42438.0,44766.0,123.0,1262.0,1385.0,215.0,1239.0,1454.0,1332.0,52610.0,53942.0,238309.0,1581158.0,1819467.0,238933.0,1587318.0,1826251.0,-624.0,-6160.0,-6784.0,10141.0,129371.0,139512.0,5235.0,121.0,9.0,70937.0,722.0,543.0,5365.0,72202.0,77567.0,-3237.0,3237.0,0.0,427.0,2363.0,2790.0,976.0,12366.0,13342.0,6610.0,39203.0,45813.0,248450.0,1710529.0,1958979.0,243475.0,1680940.0,1924415.0,4022512.0,2503.0,29358.0,4653.0,19897.0,24550.0,12169.0,1123.0,322.0,9692.0,10014.0,13314.0,135595.0,148909.0,71.0,707.0,778.0,235136.0,1574934.0,1810070.0,15661.0,72337.0,87998.0,15040.0,297.0,6.0,67190.0,960.0,240.0,15343.0,68390.0,83733.0,311.0,6.0,1.0,3829.0,87.0,31.0,318.0,3947.0,4265.0,3.0,5.0,8.0,2017,APR,2.0,2017-04-01
Alameda,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2017,APR,2.0,2017-04-01
Alpine,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,82.0,83.0,1.0,82.0,83.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,85.0,86.0,1.0,85.0,86.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0,78.0,79.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Amador,112.0,20.0,89.0,56.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,17.0,17.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,88.0,89.0,1.0,35.0,36.0,1.0,34.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0,53.0,121.0,1462.0,1583.0,121.0,1463.0,1584.0,0.0,-1.0,-1.0,-2.0,113.0,111.0,1.0,0.0,0.0,55.0,0.0,0.0,1.0,55.0,56.0,-7.0,7.0,0.0,0.0,9.0,9.0,0.0,16.0,16.0,4.0,26.0,30.0,119.0,1575.0,1694.0,119.0,1570.0,1689.0,3100.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,11.0,133.0,144.0,0.0,0.0,0.0,108.0,1442.0,1550.0,4.0,63.0,67.0,4.0,0.0,0.0,61.0,0.0,0.0,4.0,61.0,65.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Butte,1339.0,449.0,1345.0,756.0,2.0,93.0,95.0,0.0,532.0,532.0,0.0,182.0,182.0,0.0,350.0,350.0,0.0,24.0,24.0,0.0,57.0,57.0,20.0,1325.0,1345.0,12.0,529.0,541.0,12.0,503.0,515.0,0.0,18.0,18.0,0.0,8.0,8.0,8.0,796.0,804.0,1499.0,14005.0,15504.0,1499.0,14005.0,15504.0,0.0,0.0,0.0,57.0,1325.0,1382.0,24.0,0.0,0.0,727.0,4.0,1.0,24.0,732.0,756.0,-31.0,31.0,0.0,4.0,65.0,69.0,6.0,163.0,169.0,54.0,334.0,388.0,1556.0,15330.0,16886.0,1548.0,15263.0,16811.0,31218.0,8.0,48.0,8.0,45.0,53.0,23.0,3.0,0.0,22.0,22.0,87.0,1192.0,1279.0,0.0,13.0,13.0,1469.0,14138.0,15607.0,111.0,633.0,744.0,108.0,0.0,0.0,619.0,1.0,0.0,108.0,620.0,728.0,3.0,0.0,0.0,12.0,1.0,0.0,3.0,13.0,16.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Calaveras,174.0,27.0,175.0,129.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,17.0,17.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,172.0,175.0,1.0,83.0,84.0,1.0,78.0,79.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,89.0,91.0,185.0,2441.0,2626.0,185.0,2442.0,2627.0,0.0,-1.0,-1.0,8.0,222.0,230.0,2.0,0.0,0.0,127.0,0.0,0.0,2.0,127.0,129.0,-3.0,3.0,0.0,4.0,12.0,16.0,1.0,27.0,28.0,4.0,53.0,57.0,193.0,2663.0,2856.0,193.0,2653.0,2846.0,5147.0,2.0,5.0,0.0,6.0,6.0,5.0,0.0,0.0,4.0,4.0,7.0,242.0,249.0,0.0,1.0,1.0,186.0,2421.0,2607.0,10.0,117.0,127.0,10.0,0.0,0.0,115.0,0.0,0.0,10.0,115.0,125.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Colusa,53.0,8.0,53.0,33.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,4.0,4.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,53.0,53.0,0.0,18.0,18.0,0.0,17.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,35.0,80.0,572.0,652.0,80.0,572.0,652.0,0.0,0.0,0.0,12.0,51.0,63.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,33.0,33.0,4.0,-4.0,0.0,4.0,5.0,9.0,0.0,4.0,4.0,4.0,13.0,17.0,92.0,623.0,715.0,89.0,619.0,708.0,1664.0,1.0,5.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,59.0,62.0,0.0,0.0,0.0,89.0,564.0,653.0,5.0,13.0,18.0,5.0,0.0,0.0,13.0,0.0,0.0,5.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Contra Costa,1893.0,500.0,1702.0,922.0,3.0,25.0,28.0,3.0,694.0,697.0,0.0,182.0,182.0,3.0,512.0,515.0,0.0,38.0,38.0,0.0,83.0,83.0,29.0,844.0,873.0,17.0,442.0,459.0,17.0,438.0,455.0,0.0,4.0,4.0,0.0,0.0,0.0,12.0,402.0,414.0,3711.0,25364.0,29075.0,3686.0,25080.0,28766.0,25.0,284.0,309.0,98.0,2278.0,2376.0,67.0,7.0,0.0,828.0,13.0,7.0,74.0,848.0,922.0,-113.0,113.0,0.0,12.0,61.0,73.0,8.0,36.0,44.0,117.0,1220.0,1337.0,3809.0,27642.0,31451.0,3701.0,27138.0,30839.0,62996.0,31.0,654.0,106.0,381.0,487.0,150.0,17.0,2.0,123.0,125.0,202.0,2693.0,2895.0,0.0,0.0,0.0,3607.0,24949.0,28556.0,249.0,1183.0,1432.0,240.0,7.0,0.0,1127.0,14.0,5.0,247.0,1146.0,1393.0,2.0,0.0,0.0,37.0,0.0,0.0,2.0,37.0,39.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
Del Norte,170.0,5.0,178.0,99.0,0.0,2.0,2.0,0.0,76.0,76.0,0.0,31.0,31.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,172.0,177.0,4.0,64.0,68.0,3.0,57.0,60.0,1.0,7.0,8.0,0.0,0.0,0.0,1.0,108.0,109.0,352.0,2005.0,2357.0,352.0,2005.0,2357.0,0.0,0.0,0.0,27.0,201.0,228.0,7.0,0.0,0.0,92.0,0.0,0.0,7.0,92.0,99.0,-2.0,2.0,0.0,1.0,11.0,12.0,1.0,15.0,16.0,20.0,81.0,101.0,379.0,2206.0,2585.0,379.0,2205.0,2584.0,5309.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,35.0,218.0,253.0,0.0,0.0,0.0,344.0,1988.0,2332.0,25.0,86.0,111.0,24.0,0.0,0.0,86.0,0.0,0.0,24.0,86.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
El Dorado,526.0,92.0,536.0,338.0,0.0,0.0,0.0,0.0,185.0,185.0,0.0,75.0,75.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,13.0,13.0,26.0,510.0,536.0,18.0,219.0,237.0,18.0,216.0,234.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,291.0,299.0,498.0,5934.0,6432.0,498.0,5934.0,6432.0,0.0,0.0,0.0,33.0,533.0,566.0,24.0,1.0,0.0,311.0,2.0,0.0,25.0,313.0,338.0,-6.0,6.0,0.0,0.0,21.0,21.0,2.0,75.0,77.0,12.0,118.0,130.0,531.0,6467.0,6998.0,529.0,6427.0,6956.0,12354.0,3.0,37.0,2.0,31.0,33.0,11.0,0.0,0.0,9.0,9.0,37.0,592.0,629.0,0.0,1.0,1.0,494.0,5875.0,6369.0,30.0,240.0,270.0,30.0,0.0,0.0,239.0,1.0,0.0,30.0,240.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,APR,2.0,2017-04-01
