county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
California,141154.0,30661.0,127692.0,84561.0,305.0,1866.0,2171.0,62.0,38357.0,38419.0,43.0,20986.0,21029.0,19.0,17371.0,17390.0,4.0,1942.0,1946.0,0.0,4712.0,4712.0,5017.0,107833.0,112850.0,3404.0,45772.0,49176.0,2762.0,41849.0,44611.0,238.0,1962.0,2200.0,404.0,1961.0,2365.0,1613.0,62061.0,63674.0,252629.0,1723777.0,1976406.0,252124.0,1708286.0,1960410.0,505.0,15491.0,15996.0,13056.0,137911.0,150967.0,6042.0,124.0,8.0,76725.0,967.0,695.0,6174.0,78387.0,84561.0,-2739.0,2739.0,0.0,519.0,1859.0,2378.0,931.0,9004.0,9935.0,8171.0,45922.0,54093.0,265685.0,1861688.0,2127373.0,260453.0,1828442.0,2088895.0,4348103.0,2954.0,32506.0,5077.0,21999.0,27076.0,14036.0,1107.0,155.0,11247.0,11402.0,13288.0,143195.0,156483.0,66.0,453.0,519.0,252397.0,1718493.0,1970890.0,16288.0,78836.0,95124.0,15670.0,315.0,6.0,72938.0,1088.0,271.0,15991.0,74297.0,90288.0,294.0,3.0,0.0,4401.0,110.0,28.0,297.0,4539.0,4836.0,21.0,136.0,157.0,2016,JUL,3.0,2016-07-01
Alameda,4285.0,1185.0,4211.0,3149.0,1.0,36.0,37.0,0.0,959.0,959.0,0.0,434.0,434.0,0.0,525.0,525.0,0.0,40.0,40.0,0.0,103.0,103.0,177.0,3815.0,3992.0,86.0,1397.0,1483.0,83.0,1330.0,1413.0,3.0,54.0,57.0,0.0,13.0,13.0,91.0,2418.0,2509.0,6523.0,54261.0,60784.0,6502.0,53924.0,60426.0,21.0,337.0,358.0,365.0,5210.0,5575.0,184.0,7.0,1.0,2839.0,74.0,44.0,192.0,2957.0,3149.0,-132.0,132.0,0.0,14.0,101.0,115.0,0.0,307.0,307.0,291.0,1713.0,2004.0,6888.0,59471.0,66359.0,6638.0,57226.0,63864.0,125531.0,174.0,2196.0,240.0,1533.0,1773.0,921.0,63.0,10.0,712.0,722.0,582.0,5911.0,6493.0,0.0,0.0,0.0,6306.0,53560.0,59866.0,445.0,2717.0,3162.0,423.0,16.0,0.0,2517.0,76.0,15.0,439.0,2608.0,3047.0,6.0,0.0,0.0,101.0,6.0,2.0,6.0,109.0,115.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Alpine,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,88.0,89.0,1.0,88.0,89.0,0.0,0.0,0.0,-1.0,6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,94.0,94.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Amador,38.0,38.0,112.0,71.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1520.0,1659.0,139.0,1520.0,1659.0,0.0,0.0,0.0,9.0,128.0,137.0,1.0,0.0,0.0,70.0,0.0,0.0,1.0,70.0,71.0,1.0,-1.0,0.0,3.0,7.0,10.0,3.0,15.0,18.0,1.0,37.0,38.0,148.0,1648.0,1796.0,148.0,1646.0,1794.0,3366.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,133.0,149.0,0.0,0.0,0.0,132.0,1515.0,1647.0,10.0,128.0,138.0,9.0,0.0,0.0,125.0,1.0,0.0,9.0,126.0,135.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Butte,1245.0,312.0,1238.0,701.0,3.0,43.0,46.0,0.0,476.0,476.0,0.0,195.0,195.0,0.0,281.0,281.0,0.0,49.0,49.0,0.0,61.0,61.0,27.0,1210.0,1237.0,16.0,476.0,492.0,14.0,448.0,462.0,0.0,19.0,19.0,2.0,9.0,11.0,11.0,734.0,745.0,1696.0,14283.0,15979.0,1696.0,14283.0,15979.0,0.0,0.0,0.0,55.0,1198.0,1253.0,33.0,0.0,0.0,665.0,0.0,3.0,33.0,668.0,701.0,-44.0,44.0,0.0,8.0,32.0,40.0,5.0,115.0,120.0,53.0,339.0,392.0,1751.0,15481.0,17232.0,1740.0,15408.0,17148.0,32455.0,3.0,50.0,10.0,41.0,51.0,33.0,5.0,1.0,32.0,33.0,109.0,1466.0,1575.0,0.0,0.0,0.0,1642.0,14015.0,15657.0,117.0,628.0,745.0,116.0,0.0,0.0,623.0,1.0,1.0,116.0,625.0,741.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Calaveras,195.0,23.0,179.0,140.0,0.0,2.0,2.0,0.0,32.0,32.0,0.0,13.0,13.0,0.0,19.0,19.0,0.0,2.0,2.0,0.0,7.0,7.0,5.0,174.0,179.0,4.0,93.0,97.0,3.0,83.0,86.0,0.0,4.0,4.0,1.0,6.0,7.0,1.0,81.0,82.0,200.0,2379.0,2579.0,200.0,2379.0,2579.0,0.0,0.0,0.0,11.0,245.0,256.0,4.0,0.0,0.0,134.0,1.0,1.0,4.0,136.0,140.0,-3.0,3.0,0.0,3.0,4.0,7.0,3.0,34.0,37.0,4.0,68.0,72.0,211.0,2624.0,2835.0,211.0,2614.0,2825.0,5210.0,0.0,8.0,0.0,6.0,6.0,6.0,0.0,0.0,4.0,4.0,16.0,209.0,225.0,0.0,0.0,0.0,195.0,2415.0,2610.0,24.0,205.0,229.0,24.0,0.0,0.0,205.0,0.0,0.0,24.0,205.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Colusa,61.0,10.0,51.0,26.0,0.0,3.0,3.0,0.0,22.0,22.0,0.0,7.0,7.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,47.0,51.0,2.0,17.0,19.0,2.0,15.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,30.0,32.0,79.0,509.0,588.0,79.0,509.0,588.0,0.0,0.0,0.0,0.0,58.0,58.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,23.0,26.0,-5.0,5.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,2.0,22.0,24.0,79.0,567.0,646.0,78.0,565.0,643.0,1439.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,51.0,60.0,0.0,0.0,0.0,70.0,516.0,586.0,1.0,16.0,17.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
Contra Costa,2162.0,599.0,1884.0,991.0,7.0,33.0,40.0,1.0,776.0,777.0,1.0,768.0,769.0,0.0,8.0,8.0,0.0,55.0,55.0,0.0,116.0,116.0,29.0,1102.0,1131.0,21.0,433.0,454.0,20.0,421.0,441.0,1.0,10.0,11.0,0.0,2.0,2.0,8.0,669.0,677.0,4004.0,27601.0,31605.0,3978.0,27422.0,31400.0,26.0,179.0,205.0,112.0,2499.0,2611.0,83.0,1.0,0.0,895.0,5.0,7.0,84.0,907.0,991.0,-119.0,119.0,0.0,11.0,71.0,82.0,12.0,45.0,57.0,124.0,1357.0,1481.0,4116.0,30100.0,34216.0,4005.0,29588.0,33593.0,68259.0,36.0,624.0,108.0,356.0,464.0,205.0,9.0,3.0,156.0,159.0,238.0,3420.0,3658.0,0.0,0.0,0.0,3878.0,26680.0,30558.0,298.0,1430.0,1728.0,292.0,4.0,0.0,1369.0,21.0,1.0,296.0,1391.0,1687.0,2.0,0.0,0.0,38.0,1.0,0.0,2.0,39.0,41.0,0.0,6.0,6.0,2016,JUL,3.0,2016-07-01
Del Norte,167.0,9.0,172.0,90.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,36.0,36.0,0.0,43.0,43.0,0.0,1.0,1.0,0.0,3.0,3.0,8.0,164.0,172.0,4.0,61.0,65.0,4.0,54.0,58.0,0.0,5.0,5.0,0.0,2.0,2.0,4.0,103.0,107.0,400.0,2050.0,2450.0,400.0,2050.0,2450.0,0.0,0.0,0.0,-5.0,188.0,183.0,7.0,0.0,0.0,83.0,0.0,0.0,7.0,83.0,90.0,-23.0,23.0,0.0,0.0,4.0,4.0,2.0,14.0,16.0,9.0,64.0,73.0,395.0,2238.0,2633.0,395.0,2237.0,2632.0,5344.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,204.0,228.0,0.0,0.0,0.0,371.0,2034.0,2405.0,29.0,103.0,132.0,29.0,0.0,0.0,102.0,0.0,0.0,29.0,102.0,131.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
El Dorado,531.0,79.0,556.0,345.0,1.0,9.0,10.0,0.0,200.0,200.0,0.0,66.0,66.0,0.0,134.0,134.0,0.0,4.0,4.0,0.0,11.0,11.0,12.0,544.0,556.0,6.0,249.0,255.0,6.0,246.0,252.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,295.0,301.0,539.0,6277.0,6816.0,539.0,6278.0,6817.0,0.0,-1.0,-1.0,31.0,550.0,581.0,13.0,0.0,0.0,331.0,0.0,1.0,13.0,332.0,345.0,1.0,-1.0,0.0,2.0,19.0,21.0,2.0,44.0,46.0,13.0,156.0,169.0,570.0,6827.0,7397.0,569.0,6787.0,7356.0,13053.0,3.0,35.0,1.0,31.0,32.0,11.0,0.0,0.0,9.0,9.0,43.0,636.0,679.0,0.0,0.0,0.0,527.0,6191.0,6718.0,32.0,260.0,292.0,32.0,0.0,0.0,258.0,1.0,0.0,32.0,259.0,291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,JUL,3.0,2016-07-01
