county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
California,149672.0,37379.0,132287.0,91288.0,202.0,1678.0,1880.0,146.0,35752.0,35898.0,82.0,17516.0,17598.0,64.0,18236.0,18300.0,6.0,1833.0,1839.0,0.0,5101.0,5101.0,4572.0,116209.0,120781.0,2994.0,53536.0,56530.0,2591.0,50012.0,52603.0,169.0,1986.0,2155.0,234.0,1538.0,1772.0,1578.0,62673.0,64251.0,241593.0,1589526.0,1831119.0,242616.0,1598512.0,1841128.0,-1023.0,-8986.0,-10009.0,13049.0,150026.0,163075.0,6001.0,93.0,24.0,83642.0,944.0,584.0,6118.0,85170.0,91288.0,-1726.0,1726.0,0.0,393.0,1836.0,2229.0,1191.0,13207.0,14398.0,7073.0,48087.0,55160.0,254661.0,1739904.0,1994565.0,249542.0,1709772.0,1959314.0,4109688.0,2644.0,29788.0,4775.0,20309.0,25084.0,12362.0,1163.0,344.0,9823.0,10167.0,12382.0,141689.0,154071.0,126.0,879.0,1005.0,242279.0,1598215.0,1840494.0,15190.0,76299.0,91489.0,14682.0,295.0,6.0,71081.0,939.0,262.0,14983.0,72282.0,87265.0,202.0,5.0,0.0,3917.0,71.0,29.0,207.0,4017.0,4224.0,6.0,19.0,25.0,2017,JAN,1.0,2017-01-01
Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,JAN,1.0,2017-01-01
Alpine,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,86.0,86.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
Amador,144.0,33.0,118.0,79.0,0.0,3.0,3.0,0.0,37.0,37.0,0.0,21.0,21.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,116.0,118.0,2.0,56.0,58.0,2.0,56.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,136.0,1444.0,1580.0,136.0,1444.0,1580.0,0.0,0.0,0.0,-4.0,144.0,140.0,2.0,0.0,0.0,77.0,0.0,0.0,2.0,77.0,79.0,-11.0,11.0,0.0,0.0,7.0,7.0,2.0,18.0,20.0,3.0,31.0,34.0,132.0,1588.0,1720.0,132.0,1583.0,1715.0,3198.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,9.0,141.0,150.0,0.0,0.0,0.0,123.0,1447.0,1570.0,10.0,88.0,98.0,10.0,0.0,0.0,87.0,0.0,0.0,10.0,87.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
Butte,1681.0,629.0,1316.0,779.0,2.0,74.0,76.0,0.0,478.0,478.0,0.0,157.0,157.0,0.0,321.0,321.0,0.0,28.0,28.0,0.0,59.0,59.0,29.0,1285.0,1314.0,18.0,574.0,592.0,18.0,537.0,555.0,0.0,27.0,27.0,0.0,10.0,10.0,11.0,711.0,722.0,1583.0,13899.0,15482.0,1583.0,13899.0,15482.0,0.0,0.0,0.0,104.0,1243.0,1347.0,34.0,0.0,0.0,744.0,0.0,1.0,34.0,745.0,779.0,-15.0,15.0,0.0,1.0,27.0,28.0,3.0,154.0,157.0,81.0,302.0,383.0,1687.0,15142.0,16829.0,1681.0,15073.0,16754.0,31384.0,6.0,42.0,6.0,40.0,46.0,30.0,5.0,0.0,29.0,29.0,85.0,1407.0,1492.0,0.0,16.0,16.0,1602.0,13735.0,15337.0,137.0,642.0,779.0,137.0,0.0,0.0,634.0,2.0,0.0,137.0,636.0,773.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
Calaveras,247.0,58.0,189.0,136.0,1.0,4.0,5.0,0.0,45.0,45.0,0.0,27.0,27.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,184.0,189.0,1.0,98.0,99.0,0.0,93.0,93.0,1.0,4.0,5.0,0.0,1.0,1.0,4.0,86.0,90.0,170.0,2426.0,2596.0,170.0,2427.0,2597.0,0.0,-1.0,-1.0,19.0,245.0,264.0,5.0,0.0,0.0,131.0,0.0,0.0,5.0,131.0,136.0,5.0,-5.0,0.0,1.0,9.0,10.0,1.0,35.0,36.0,7.0,75.0,82.0,189.0,2671.0,2860.0,189.0,2659.0,2848.0,5120.0,4.0,6.0,0.0,8.0,8.0,5.0,0.0,0.0,4.0,4.0,11.0,240.0,251.0,0.0,0.0,0.0,178.0,2431.0,2609.0,13.0,137.0,150.0,13.0,0.0,0.0,134.0,1.0,2.0,13.0,137.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
Colusa,96.0,6.0,93.0,62.0,1.0,6.0,7.0,0.0,30.0,30.0,0.0,13.0,13.0,0.0,17.0,17.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,93.0,93.0,0.0,36.0,36.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,57.0,71.0,521.0,592.0,71.0,521.0,592.0,0.0,0.0,0.0,11.0,83.0,94.0,2.0,0.0,0.0,59.0,1.0,0.0,2.0,60.0,62.0,5.0,-5.0,0.0,1.0,3.0,4.0,0.0,4.0,4.0,3.0,21.0,24.0,82.0,604.0,686.0,81.0,601.0,682.0,1601.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,52.0,58.0,0.0,0.0,0.0,76.0,552.0,628.0,7.0,25.0,32.0,7.0,0.0,0.0,25.0,0.0,0.0,7.0,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
Contra Costa,2960.0,678.0,2262.0,1430.0,6.0,54.0,60.0,0.0,752.0,752.0,0.0,233.0,233.0,0.0,519.0,519.0,0.0,54.0,54.0,0.0,80.0,80.0,41.0,1248.0,1289.0,24.0,618.0,642.0,23.0,597.0,620.0,1.0,19.0,20.0,0.0,2.0,2.0,17.0,630.0,647.0,3759.0,25316.0,29075.0,3752.0,25122.0,28874.0,7.0,194.0,201.0,183.0,2561.0,2744.0,125.0,5.0,0.0,1279.0,13.0,8.0,130.0,1300.0,1430.0,-95.0,95.0,0.0,15.0,67.0,82.0,14.0,27.0,41.0,119.0,1072.0,1191.0,3942.0,27877.0,31819.0,3841.0,27353.0,31194.0,64141.0,39.0,678.0,100.0,384.0,484.0,175.0,16.0,1.0,140.0,141.0,246.0,2952.0,3198.0,0.0,7.0,7.0,3696.0,24925.0,28621.0,236.0,1373.0,1609.0,229.0,5.0,0.0,1302.0,21.0,6.0,234.0,1329.0,1563.0,2.0,0.0,0.0,44.0,0.0,0.0,2.0,44.0,46.0,1.0,3.0,4.0,2017,JAN,1.0,2017-01-01
Del Norte,195.0,21.0,180.0,96.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,34.0,34.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,173.0,179.0,3.0,65.0,68.0,3.0,56.0,59.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,108.0,111.0,373.0,1958.0,2331.0,373.0,1957.0,2330.0,0.0,1.0,1.0,-2.0,211.0,209.0,8.0,0.0,0.0,88.0,0.0,0.0,8.0,88.0,96.0,-23.0,23.0,0.0,2.0,1.0,3.0,4.0,25.0,29.0,7.0,74.0,81.0,371.0,2169.0,2540.0,371.0,2167.0,2538.0,5235.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,187.0,201.0,0.0,0.0,0.0,357.0,1982.0,2339.0,22.0,107.0,129.0,22.0,0.0,0.0,104.0,0.0,0.0,22.0,104.0,126.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
El Dorado,568.0,124.0,535.0,336.0,0.0,8.0,8.0,0.0,181.0,181.0,0.0,76.0,76.0,0.0,105.0,105.0,0.0,4.0,4.0,0.0,18.0,18.0,12.0,523.0,535.0,6.0,232.0,238.0,6.0,228.0,234.0,0.0,2.0,2.0,0.0,2.0,2.0,6.0,291.0,297.0,500.0,5975.0,6475.0,500.0,5977.0,6477.0,0.0,-2.0,-2.0,42.0,600.0,642.0,12.0,0.0,0.0,324.0,0.0,0.0,12.0,324.0,336.0,8.0,-8.0,0.0,1.0,19.0,20.0,1.0,100.0,101.0,20.0,165.0,185.0,542.0,6575.0,7117.0,539.0,6537.0,7076.0,12544.0,2.0,34.0,3.0,28.0,31.0,13.0,0.0,0.0,10.0,10.0,41.0,628.0,669.0,0.0,2.0,2.0,501.0,5947.0,6448.0,31.0,271.0,302.0,30.0,0.0,0.0,263.0,4.0,1.0,30.0,268.0,298.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2017,JAN,1.0,2017-01-01
