county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
California,132241.0,32495.0,128878.0,87548.0,120.0,1015.0,1135.0,204.0,36101.0,36305.0,134.0,18327.0,18461.0,70.0,17774.0,17844.0,23.0,1513.0,1536.0,46.0,4979.0,5025.0,4404.0,108809.0,113213.0,2863.0,49205.0,52068.0,2527.0,46472.0,48999.0,134.0,1486.0,1620.0,202.0,1247.0,1449.0,1541.0,59604.0,61145.0,233918.0,1567242.0,1801160.0,235136.0,1574934.0,1810070.0,-1218.0,-7692.0,-8910.0,10872.0,143872.0,154744.0,5825.0,111.0,8.0,80170.0,846.0,588.0,5944.0,81604.0,87548.0,-3820.0,3820.0,0.0,451.0,2444.0,2895.0,1201.0,13769.0,14970.0,7096.0,42235.0,49331.0,244790.0,1711114.0,1955904.0,239852.0,1681517.0,1921369.0,4006235.0,2479.0,29231.0,4642.0,19921.0,24563.0,12106.0,1093.0,296.0,9676.0,9972.0,12367.0,132520.0,144887.0,75.0,728.0,803.0,232423.0,1578594.0,1811017.0,16803.0,77438.0,94241.0,16094.0,372.0,10.0,71831.0,1074.0,299.0,16476.0,73204.0,89680.0,321.0,5.0,1.0,4133.0,76.0,25.0,327.0,4234.0,4561.0,14.0,68.0,82.0,2017,MAY,2.0,2017-05-01
Alameda,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2017,MAY,2.0,2017-05-01
Alpine,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,79.0,1.0,78.0,79.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,80.0,1.0,79.0,80.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,74.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
Amador,109.0,14.0,123.0,81.0,0.0,2.0,2.0,0.0,36.0,36.0,0.0,20.0,20.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,121.0,123.0,1.0,52.0,53.0,1.0,50.0,51.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,69.0,70.0,108.0,1442.0,1550.0,108.0,1442.0,1550.0,0.0,0.0,0.0,13.0,122.0,135.0,3.0,0.0,0.0,78.0,0.0,0.0,3.0,78.0,81.0,3.0,-3.0,0.0,0.0,9.0,9.0,1.0,19.0,20.0,6.0,19.0,25.0,121.0,1564.0,1685.0,121.0,1561.0,1682.0,3082.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,129.0,133.0,0.0,1.0,1.0,117.0,1435.0,1552.0,9.0,75.0,84.0,9.0,0.0,0.0,71.0,0.0,0.0,9.0,71.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
Butte,1304.0,439.0,1387.0,788.0,1.0,60.0,61.0,0.0,536.0,536.0,0.0,197.0,197.0,0.0,339.0,339.0,0.0,25.0,25.0,0.0,63.0,63.0,11.0,1376.0,1387.0,5.0,542.0,547.0,5.0,517.0,522.0,0.0,15.0,15.0,0.0,10.0,10.0,6.0,834.0,840.0,1469.0,14138.0,15607.0,1469.0,14138.0,15607.0,0.0,0.0,0.0,87.0,1319.0,1406.0,12.0,0.0,0.0,774.0,1.0,1.0,12.0,776.0,788.0,9.0,-9.0,0.0,13.0,77.0,90.0,6.0,145.0,151.0,47.0,330.0,377.0,1556.0,15457.0,17013.0,1548.0,15387.0,16935.0,31335.0,8.0,49.0,8.0,46.0,54.0,24.0,4.0,0.0,24.0,24.0,64.0,1186.0,1250.0,0.0,18.0,18.0,1492.0,14271.0,15763.0,98.0,597.0,695.0,98.0,0.0,0.0,586.0,0.0,1.0,98.0,587.0,685.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
Calaveras,175.0,31.0,163.0,133.0,0.0,1.0,1.0,0.0,25.0,25.0,0.0,13.0,13.0,0.0,12.0,12.0,0.0,2.0,2.0,0.0,5.0,5.0,7.0,156.0,163.0,3.0,84.0,87.0,2.0,79.0,81.0,0.0,3.0,3.0,1.0,2.0,3.0,4.0,72.0,76.0,186.0,2421.0,2607.0,186.0,2421.0,2607.0,0.0,0.0,0.0,13.0,217.0,230.0,8.0,0.0,0.0,125.0,0.0,0.0,8.0,125.0,133.0,1.0,-1.0,0.0,3.0,12.0,15.0,0.0,36.0,36.0,1.0,45.0,46.0,199.0,2638.0,2837.0,199.0,2630.0,2829.0,5079.0,1.0,4.0,0.0,4.0,4.0,5.0,0.0,0.0,4.0,4.0,13.0,188.0,201.0,0.0,0.0,0.0,186.0,2450.0,2636.0,11.0,96.0,107.0,11.0,0.0,0.0,95.0,0.0,1.0,11.0,96.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
Colusa,67.0,5.0,63.0,33.0,0.0,2.0,2.0,0.0,28.0,28.0,0.0,10.0,10.0,0.0,18.0,18.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,63.0,63.0,0.0,25.0,25.0,0.0,24.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,38.0,89.0,564.0,653.0,89.0,564.0,653.0,0.0,0.0,0.0,-2.0,69.0,67.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,33.0,-8.0,8.0,0.0,2.0,6.0,8.0,0.0,2.0,2.0,4.0,20.0,24.0,87.0,633.0,720.0,84.0,629.0,713.0,1643.0,1.0,5.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,5.0,57.0,62.0,0.0,0.0,0.0,82.0,576.0,658.0,1.0,19.0,20.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,18.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
Contra Costa,1590.0,339.0,1875.0,1081.0,4.0,34.0,38.0,2.0,734.0,736.0,2.0,730.0,732.0,0.0,4.0,4.0,0.0,59.0,59.0,0.0,58.0,58.0,41.0,887.0,928.0,24.0,479.0,503.0,24.0,474.0,498.0,0.0,3.0,3.0,0.0,2.0,2.0,17.0,408.0,425.0,3650.0,25195.0,28845.0,3607.0,24949.0,28556.0,43.0,246.0,289.0,154.0,2497.0,2651.0,96.0,4.0,0.0,956.0,14.0,11.0,100.0,981.0,1081.0,-93.0,93.0,0.0,10.0,99.0,109.0,5.0,46.0,51.0,132.0,1278.0,1410.0,3804.0,27692.0,31496.0,3695.0,27173.0,30868.0,63055.0,30.0,672.0,107.0,391.0,498.0,157.0,16.0,2.0,128.0,130.0,180.0,2602.0,2782.0,0.0,0.0,0.0,3624.0,25090.0,28714.0,263.0,1348.0,1611.0,257.0,1.0,0.0,1282.0,19.0,1.0,258.0,1302.0,1560.0,5.0,0.0,0.0,42.0,3.0,1.0,5.0,46.0,51.0,2.0,5.0,7.0,2017,MAY,2.0,2017-05-01
Del Norte,161.0,6.0,165.0,89.0,0.0,1.0,1.0,0.0,69.0,69.0,0.0,23.0,23.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,162.0,165.0,2.0,57.0,59.0,2.0,54.0,56.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,105.0,106.0,344.0,1988.0,2332.0,344.0,1988.0,2332.0,0.0,0.0,0.0,34.0,217.0,251.0,4.0,0.0,0.0,85.0,0.0,0.0,4.0,85.0,89.0,2.0,-2.0,0.0,0.0,4.0,4.0,4.0,40.0,44.0,24.0,90.0,114.0,378.0,2205.0,2583.0,378.0,2204.0,2582.0,5314.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,18.0,172.0,190.0,0.0,0.0,0.0,360.0,2033.0,2393.0,23.0,139.0,162.0,23.0,0.0,0.0,138.0,0.0,0.0,23.0,138.0,161.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
El Dorado,600.0,122.0,565.0,383.0,0.0,0.0,0.0,0.0,172.0,172.0,0.0,58.0,58.0,0.0,114.0,114.0,0.0,2.0,2.0,0.0,10.0,10.0,13.0,552.0,565.0,9.0,280.0,289.0,9.0,278.0,287.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,272.0,276.0,494.0,5875.0,6369.0,494.0,5875.0,6369.0,0.0,0.0,0.0,26.0,622.0,648.0,15.0,0.0,0.0,367.0,1.0,0.0,15.0,368.0,383.0,-9.0,9.0,0.0,1.0,23.0,24.0,4.0,89.0,93.0,15.0,133.0,148.0,520.0,6497.0,7017.0,518.0,6461.0,6979.0,12368.0,4.0,33.0,2.0,28.0,30.0,9.0,0.0,0.0,8.0,8.0,27.0,544.0,571.0,0.0,0.0,0.0,493.0,5953.0,6446.0,37.0,267.0,304.0,37.0,0.0,0.0,262.0,3.0,0.0,37.0,265.0,302.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2017,MAY,2.0,2017-05-01
