county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
California,138693.0,33971.0,140300.0,91043.0,283.0,2285.0,2568.0,47.0,43590.0,43637.0,29.0,24443.0,24472.0,18.0,19147.0,19165.0,9.0,2142.0,2151.0,0.0,5620.0,5620.0,5181.0,118725.0,123906.0,3332.0,48031.0,51363.0,2752.0,44395.0,47147.0,188.0,1638.0,1826.0,392.0,1998.0,2390.0,1849.0,70694.0,72543.0,243375.0,1650439.0,1893814.0,241831.0,1642451.0,1884282.0,1544.0,7988.0,9532.0,12907.0,142389.0,155296.0,6654.0,132.0,22.0,82576.0,998.0,661.0,6808.0,84235.0,91043.0,-2409.0,2409.0,0.0,539.0,2039.0,2578.0,905.0,9822.0,10727.0,7064.0,43884.0,50948.0,256282.0,1792828.0,2049110.0,251497.0,1762360.0,2013857.0,4212879.0,2666.0,29731.0,4644.0,20135.0,24779.0,12812.0,1151.0,141.0,10333.0,10474.0,15098.0,164615.0,179713.0,51.0,482.0,533.0,241184.0,1628213.0,1869397.0,16937.0,79117.0,96054.0,16265.0,337.0,7.0,73095.0,1072.0,309.0,16609.0,74476.0,91085.0,316.0,10.0,2.0,4501.0,111.0,29.0,328.0,4641.0,4969.0,20.0,102.0,122.0,2016,SEP,3.0,2016-09-01
Alameda,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2016,SEP,3.0,2016-09-01
Alpine,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,87.0,88.0,1.0,87.0,88.0,0.0,0.0,0.0,-1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,90.0,90.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
Amador,134.0,20.0,126.0,81.0,0.0,2.0,2.0,0.0,40.0,40.0,0.0,16.0,16.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,125.0,126.0,1.0,54.0,55.0,1.0,47.0,48.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,71.0,71.0,144.0,1496.0,1640.0,144.0,1496.0,1640.0,0.0,0.0,0.0,3.0,125.0,128.0,2.0,0.0,0.0,78.0,0.0,1.0,2.0,79.0,81.0,-3.0,3.0,0.0,1.0,10.0,11.0,1.0,9.0,10.0,2.0,24.0,26.0,147.0,1621.0,1768.0,147.0,1618.0,1765.0,3334.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,10.0,131.0,141.0,0.0,0.0,0.0,137.0,1490.0,1627.0,10.0,84.0,94.0,10.0,0.0,0.0,80.0,0.0,0.0,10.0,80.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
Butte,1655.0,656.0,1771.0,918.0,2.0,168.0,170.0,2.0,739.0,741.0,2.0,281.0,283.0,0.0,458.0,458.0,1.0,53.0,54.0,0.0,112.0,112.0,35.0,1736.0,1771.0,18.0,598.0,616.0,17.0,564.0,581.0,0.0,19.0,19.0,1.0,15.0,16.0,17.0,1138.0,1155.0,1671.0,13941.0,15612.0,1671.0,13941.0,15612.0,0.0,0.0,0.0,84.0,1496.0,1580.0,40.0,0.0,0.0,876.0,1.0,1.0,40.0,878.0,918.0,-10.0,10.0,0.0,6.0,36.0,42.0,7.0,174.0,181.0,41.0,398.0,439.0,1755.0,15437.0,17192.0,1745.0,15364.0,17109.0,32273.0,5.0,47.0,9.0,41.0,50.0,34.0,5.0,1.0,32.0,33.0,111.0,1449.0,1560.0,0.0,0.0,0.0,1644.0,13988.0,15632.0,110.0,640.0,750.0,109.0,1.0,0.0,627.0,2.0,1.0,110.0,630.0,740.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
Calaveras,175.0,29.0,161.0,119.0,0.0,3.0,3.0,0.0,35.0,35.0,0.0,15.0,15.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,156.0,161.0,2.0,67.0,69.0,1.0,59.0,60.0,1.0,3.0,4.0,0.0,5.0,5.0,3.0,89.0,92.0,188.0,2464.0,2652.0,188.0,2464.0,2652.0,0.0,0.0,0.0,9.0,222.0,231.0,3.0,0.0,0.0,115.0,1.0,0.0,3.0,116.0,119.0,-4.0,4.0,0.0,3.0,19.0,22.0,2.0,26.0,28.0,5.0,57.0,62.0,197.0,2686.0,2883.0,197.0,2674.0,2871.0,5282.0,0.0,11.0,0.0,8.0,8.0,6.0,0.0,0.0,4.0,4.0,15.0,218.0,233.0,0.0,0.0,0.0,182.0,2468.0,2650.0,11.0,105.0,116.0,11.0,0.0,0.0,104.0,0.0,0.0,11.0,104.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
Colusa,52.0,4.0,51.0,27.0,0.0,5.0,5.0,0.0,19.0,19.0,0.0,9.0,9.0,0.0,10.0,10.0,0.0,2.0,2.0,0.0,5.0,5.0,1.0,50.0,51.0,1.0,14.0,15.0,1.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,65.0,532.0,597.0,65.0,532.0,597.0,0.0,0.0,0.0,6.0,52.0,58.0,2.0,0.0,0.0,23.0,0.0,2.0,2.0,25.0,27.0,1.0,-1.0,0.0,0.0,2.0,2.0,1.0,7.0,8.0,2.0,19.0,21.0,71.0,584.0,655.0,70.0,580.0,650.0,1487.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,10.0,53.0,63.0,0.0,0.0,0.0,61.0,531.0,592.0,3.0,22.0,25.0,3.0,0.0,0.0,22.0,0.0,0.0,3.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
Contra Costa,2362.0,684.0,2022.0,1084.0,11.0,77.0,88.0,1.0,848.0,849.0,1.0,837.0,838.0,0.0,11.0,11.0,0.0,51.0,51.0,0.0,89.0,89.0,32.0,1145.0,1177.0,20.0,413.0,433.0,19.0,408.0,427.0,1.0,5.0,6.0,0.0,0.0,0.0,12.0,732.0,744.0,3893.0,26962.0,30855.0,3870.0,26675.0,30545.0,23.0,287.0,310.0,140.0,2698.0,2838.0,86.0,2.0,0.0,981.0,7.0,8.0,88.0,996.0,1084.0,-101.0,101.0,0.0,16.0,93.0,109.0,14.0,42.0,56.0,123.0,1466.0,1589.0,4033.0,29660.0,33693.0,3936.0,29142.0,33078.0,67418.0,37.0,615.0,96.0,371.0,467.0,187.0,13.0,1.0,147.0,148.0,218.0,3275.0,3493.0,0.0,0.0,0.0,3815.0,26385.0,30200.0,280.0,1460.0,1740.0,267.0,8.0,0.0,1384.0,22.0,5.0,275.0,1411.0,1686.0,5.0,0.0,0.0,45.0,2.0,2.0,5.0,49.0,54.0,5.0,4.0,9.0,2016,SEP,3.0,2016-09-01
Del Norte,197.0,14.0,200.0,102.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,46.0,46.0,0.0,41.0,41.0,0.0,1.0,1.0,0.0,11.0,11.0,4.0,196.0,200.0,3.0,63.0,66.0,3.0,57.0,60.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,133.0,134.0,373.0,2019.0,2392.0,373.0,2019.0,2392.0,0.0,0.0,0.0,20.0,185.0,205.0,4.0,0.0,0.0,98.0,0.0,0.0,4.0,98.0,102.0,4.0,-4.0,0.0,0.0,6.0,6.0,5.0,17.0,22.0,7.0,68.0,75.0,393.0,2204.0,2597.0,393.0,2203.0,2596.0,5281.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,186.0,209.0,0.0,0.0,0.0,370.0,2018.0,2388.0,28.0,97.0,125.0,28.0,0.0,0.0,93.0,0.0,0.0,28.0,93.0,121.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
El Dorado,559.0,97.0,586.0,349.0,1.0,8.0,9.0,0.0,212.0,212.0,0.0,78.0,78.0,0.0,134.0,134.0,0.0,2.0,2.0,0.0,25.0,25.0,12.0,574.0,586.0,7.0,255.0,262.0,6.0,251.0,257.0,1.0,3.0,4.0,0.0,1.0,1.0,5.0,319.0,324.0,519.0,6168.0,6687.0,519.0,6168.0,6687.0,0.0,0.0,0.0,32.0,567.0,599.0,12.0,1.0,0.0,334.0,2.0,0.0,13.0,336.0,349.0,9.0,-9.0,0.0,2.0,34.0,36.0,1.0,57.0,58.0,7.0,149.0,156.0,551.0,6735.0,7286.0,549.0,6694.0,7243.0,12861.0,2.0,40.0,2.0,33.0,35.0,9.0,0.0,0.0,8.0,8.0,39.0,686.0,725.0,0.0,0.0,0.0,512.0,6049.0,6561.0,23.0,270.0,293.0,23.0,0.0,0.0,268.0,2.0,0.0,23.0,270.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,SEP,3.0,2016-09-01
