county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,JUL,3.0,2017-07-01
Alpine,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,73.0,1.0,72.0,73.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,76.0,77.0,1.0,76.0,77.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,70.0,71.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Amador,122.0,25.0,135.0,89.0,0.0,5.0,5.0,0.0,38.0,38.0,0.0,22.0,22.0,0.0,16.0,16.0,0.0,1.0,1.0,0.0,8.0,8.0,5.0,130.0,135.0,3.0,52.0,55.0,3.0,51.0,54.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,78.0,80.0,108.0,1440.0,1548.0,108.0,1440.0,1548.0,0.0,0.0,0.0,11.0,120.0,131.0,4.0,0.0,0.0,85.0,0.0,0.0,4.0,85.0,89.0,2.0,-2.0,0.0,0.0,9.0,9.0,2.0,18.0,20.0,3.0,10.0,13.0,119.0,1560.0,1679.0,119.0,1558.0,1677.0,3050.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,116.0,127.0,0.0,0.0,0.0,108.0,1444.0,1552.0,2.0,60.0,62.0,2.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Butte,1345.0,486.0,1252.0,728.0,2.0,55.0,57.0,1.0,449.0,450.0,1.0,165.0,166.0,0.0,284.0,284.0,0.0,20.0,20.0,0.0,74.0,74.0,32.0,1220.0,1252.0,17.0,504.0,521.0,17.0,482.0,499.0,0.0,17.0,17.0,0.0,5.0,5.0,15.0,716.0,731.0,1517.0,14167.0,15684.0,1517.0,14168.0,15685.0,0.0,-1.0,-1.0,39.0,1213.0,1252.0,32.0,1.0,0.0,691.0,1.0,3.0,33.0,695.0,728.0,-49.0,49.0,0.0,10.0,51.0,61.0,8.0,160.0,168.0,37.0,258.0,295.0,1556.0,15380.0,16936.0,1548.0,15312.0,16860.0,31270.0,6.0,49.0,8.0,43.0,51.0,25.0,4.0,0.0,25.0,25.0,101.0,1626.0,1727.0,0.0,13.0,13.0,1455.0,13754.0,15209.0,93.0,597.0,690.0,93.0,0.0,0.0,587.0,3.0,1.0,93.0,591.0,684.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Calaveras,181.0,30.0,185.0,131.0,0.0,4.0,4.0,0.0,49.0,49.0,0.0,26.0,26.0,0.0,23.0,23.0,0.0,4.0,4.0,0.0,5.0,5.0,4.0,181.0,185.0,1.0,83.0,84.0,1.0,78.0,79.0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,98.0,101.0,183.0,2415.0,2598.0,183.0,2415.0,2598.0,0.0,0.0,0.0,14.0,212.0,226.0,4.0,0.0,0.0,127.0,0.0,0.0,4.0,127.0,131.0,5.0,-5.0,0.0,0.0,9.0,9.0,0.0,36.0,36.0,5.0,45.0,50.0,197.0,2627.0,2824.0,197.0,2619.0,2816.0,5406.0,1.0,4.0,0.0,4.0,4.0,5.0,0.0,0.0,4.0,4.0,9.0,222.0,231.0,0.0,0.0,0.0,188.0,2405.0,2593.0,8.0,98.0,106.0,8.0,0.0,0.0,95.0,0.0,0.0,8.0,95.0,103.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Colusa,60.0,10.0,51.0,23.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,8.0,8.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,49.0,51.0,2.0,14.0,16.0,2.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,79.0,567.0,646.0,79.0,567.0,646.0,0.0,0.0,0.0,4.0,52.0,56.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,21.0,23.0,-5.0,5.0,0.0,0.0,4.0,4.0,1.0,7.0,8.0,6.0,15.0,21.0,83.0,619.0,702.0,81.0,616.0,697.0,1543.0,0.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,7.0,69.0,76.0,0.0,0.0,0.0,76.0,550.0,626.0,9.0,23.0,32.0,9.0,0.0,0.0,23.0,0.0,0.0,9.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Contra Costa,2284.0,614.0,1763.0,959.0,2.0,21.0,23.0,0.0,724.0,724.0,0.0,178.0,178.0,0.0,546.0,546.0,0.0,50.0,50.0,0.0,80.0,80.0,18.0,487.0,505.0,11.0,401.0,412.0,10.0,393.0,403.0,1.0,8.0,9.0,0.0,0.0,0.0,7.0,86.0,93.0,3531.0,25317.0,28848.0,3507.0,25074.0,28581.0,24.0,243.0,267.0,67.0,2416.0,2483.0,75.0,3.0,0.0,863.0,14.0,4.0,78.0,881.0,959.0,-144.0,144.0,0.0,12.0,56.0,68.0,11.0,36.0,47.0,110.0,1299.0,1409.0,3598.0,27733.0,31331.0,3496.0,27213.0,30709.0,62814.0,30.0,674.0,101.0,397.0,498.0,146.0,19.0,1.0,123.0,124.0,190.0,2671.0,2861.0,0.0,0.0,0.0,3408.0,25062.0,28470.0,282.0,1334.0,1616.0,276.0,3.0,0.0,1278.0,21.0,2.0,279.0,1301.0,1580.0,2.0,1.0,0.0,32.0,1.0,0.0,3.0,33.0,36.0,0.0,6.0,6.0,2017,JUL,3.0,2017-07-01
Del Norte,167.0,12.0,161.0,88.0,0.0,1.0,1.0,0.0,66.0,66.0,0.0,20.0,20.0,0.0,46.0,46.0,0.0,3.0,3.0,0.0,7.0,7.0,4.0,157.0,161.0,3.0,64.0,67.0,2.0,60.0,62.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,93.0,94.0,350.0,2044.0,2394.0,350.0,2044.0,2394.0,0.0,0.0,0.0,14.0,193.0,207.0,4.0,0.0,0.0,84.0,0.0,0.0,4.0,84.0,88.0,-5.0,5.0,0.0,0.0,5.0,5.0,0.0,28.0,28.0,15.0,71.0,86.0,364.0,2237.0,2601.0,364.0,2234.0,2598.0,5300.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,20.0,209.0,229.0,0.0,0.0,0.0,344.0,2028.0,2372.0,27.0,81.0,108.0,27.0,0.0,0.0,80.0,0.0,0.0,27.0,80.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
El Dorado,522.0,95.0,528.0,313.0,0.0,1.0,1.0,0.0,204.0,204.0,0.0,83.0,83.0,0.0,121.0,121.0,0.0,1.0,1.0,0.0,11.0,11.0,10.0,518.0,528.0,6.0,226.0,232.0,6.0,223.0,229.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,292.0,296.0,491.0,5933.0,6424.0,491.0,5933.0,6424.0,0.0,0.0,0.0,16.0,542.0,558.0,11.0,0.0,0.0,302.0,0.0,0.0,11.0,302.0,313.0,-16.0,16.0,0.0,1.0,25.0,26.0,1.0,74.0,75.0,19.0,125.0,144.0,507.0,6475.0,6982.0,505.0,6443.0,6948.0,12260.0,2.0,32.0,2.0,25.0,27.0,7.0,0.0,0.0,7.0,7.0,27.0,602.0,629.0,0.0,2.0,2.0,480.0,5873.0,6353.0,44.0,205.0,249.0,44.0,0.0,0.0,202.0,1.0,0.0,44.0,203.0,247.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2017,JUL,3.0,2017-07-01
Fresno,4886.0,1702.0,4344.0,3126.0,9.0,72.0,81.0,0.0,1152.0,1152.0,0.0,1151.0,1151.0,0.0,1.0,1.0,0.0,226.0,226.0,0.0,66.0,66.0,53.0,3740.0,3793.0,22.0,1667.0,1689.0,20.0,1582.0,1602.0,2.0,68.0,70.0,0.0,17.0,17.0,31.0,2073.0,2104.0,11243.0,73489.0,84732.0,11676.0,75225.0,86901.0,-433.0,-1736.0,-2169.0,94.0,3160.0,3254.0,215.0,10.0,1.0,2844.0,25.0,31.0,226.0,2900.0,3126.0,-150.0,150.0,0.0,12.0,55.0,67.0,3.0,13.0,16.0,3.0,42.0,45.0,11337.0,76649.0,87986.0,11166.0,75766.0,86932.0,202719.0,74.0,886.0,162.0,657.0,819.0,266.0,33.0,9.0,226.0,235.0,703.0,6361.0,7064.0,0.0,0.0,0.0,10634.0,70288.0,80922.0,1022.0,5225.0,6247.0,827.0,16.0,1.0,4195.0,52.0,7.0,844.0,4254.0,5098.0,177.0,1.0,0.0,959.0,8.0,4.0,178.0,971.0,1149.0,2.0,5.0,7.0,2017,JUL,3.0,2017-07-01
