county,apps_rcvd_during_month,online_apps_rcvd_during_month,apps_disposed_during_month,apps_approved,pacf_apps_approved_over_30d,nacf_apps_approved_over_30d,total_apps_approved_over_30d,pacf_apps_denied,nacf_apps_denied,total_apps_denied,pacf_apps_denied_because_ineligible,nacf_apps_denied_because_ineligible,total_apps_denied_because_ineligible,pacf_apps_denied_procedural_reasons,nacf_apps_denied_procedural_reasons,total_apps_denied_procedural_reasons,pacf_apps_denied_over_30d,nacf_apps_denied_over_30d,total_apps_denied_over_30d,pacf_apps_withdrawn,nacf_apps_withdrawn,total_apps_withdrawn,pacf_apps_processed_under_ES_disposed_during_month,nacf_apps_processed_under_ES_disposed_during_month,total_apps_processed_under_ES_disposed_during_month,pacf_found_entitled_to_ES,nacf_found_entitled_to_ES,total_found_entitled_to_ES,pacf_benefits_issued_1_to_3d,nacf_benefits_issued_1_to_3d,total_benefits_issued_1_to_3d,pacf_benefits_issued_4_to_7d,nacf_benefits_issued_4_to_7d,total_benefits_issued_4_to_7d,pacf_benefits_issued_over_7d,nacf_benefits_issued_over_7d,total_benefits_issued_over_7d,pacf_found_not_entitled_to_ES,nacf_found_not_entitled_to_ES,total_found_not_entitled_to_ES,pacf_cases_brought_from_begin_month,nacf_cases_brought_from_begin_month,total_cases_brought_from_begin_month,pacf_item_8_from_last_month_report,nacf_item_8_from_last_month_report,total_item_8_from_last_month_report,pacf_adjustment,nacf_adjustment,total_adjustment,pacf_cases_added_during_month,nacf_cases_added_during_month,total_cases_added_during_month,pacf_federal_apps_approved,pacf_fed_st_apps_approved,pacf_state_apps_approved,nacf_federal_apps_approved,nacf_fed_st_apps_approved,nacf_state_apps_approved,pacf_apps_approved,nacf_apps_approved,total_apps_approved,pacf_change_assist_status_PACF_or_NACF,nacf_change_assist_status_PACF_or_NACF,total_change_assist_status_PACF_or_NACF,pacf_intercounty_transfers,nacf_intercounty_transfers,total_intercounty_transfers,pacf_cases_reinstated_benefits_prorated_during_month,nacf_cases_reinstated_benefits_prorated_during_month,total_cases_reinstated_benefits_prorated_during_month,pacf_other_approvals,nacf_other_approvals,total_other_approvals,pacf_total_cases_open_during_month,nacf_total_cases_open_during_month,total_total_cases_open_during_month,pacf_pure_federal_cases,nacf_pure_federal_cases,total_pure_federal_cases,federal_persons_in_6A_and_6B,state_persons_single_fed_st_combined_cases,state_persons_families_fed_st_combined_cases,pacf_fed_st_combined_cases,nacf_fed_st_combined_cases,total_fed_st_combined_cases,state_persons_single_pure_state_cases,state_persons_families_pure_state_cases,pacf_pure_state_cases,nacf_pure_state_cases,total_pure_state_cases,pacf_cases_discontinued_during_month,nacf_cases_discontinued_during_month,total_cases_discontinued_during_month,pacf_household_discontinued_failed_to_complete_app,nacf_household_discontinued_failed_to_complete_app,total_household_discontinued_failed_to_complete_app,pacf_cases_brought_forward_at_end_month,nacf_cases_brought_forward_at_end_month,total_cases_brought_forward_at_end_month,pacf_recertification_disposed_during_month,nacf_recertification_disposed_during_month,total_recertification_disposed_during_month,pacf_federal_determined_continuing_eligible,pacf_fed_st_determined_continuing_eligible,pacf_state_determined_continuing_eligible,nacf_federal_determined_continuing_eligible,nacf_fed_st_determined_continuing_eligible,nacf_state_determined_continuing_eligible,pacf_determined_continuing_eligible,nacf_determined_continuing_eligible,total_determined_continuing_eligible,pacf_federal_determined_ineligible,pacf_fed_st_determined_ineligible,pacf_state_determined_ineligible,nacf_federal_determined_ineligible,nacf_fed_st_determined_ineligible,nacf_state_determined_ineligible,pacf_determined_ineligible,nacf_determined_ineligible,total_determined_ineligible,pacf_overdue_recertifications_during_month,nacf_overdue_recertifications_during_month,total_overdue_recertifications_during_month,year,month,quarter,fulldate
Alameda,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2017,NOV,4.0,2017-11-01
Alpine,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,74.0,77.0,3.0,74.0,77.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,78.0,81.0,3.0,78.0,81.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,2.0,71.0,73.0,0.0,6.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
Amador,115.0,31.0,113.0,65.0,0.0,1.0,1.0,0.0,44.0,44.0,0.0,9.0,9.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,112.0,113.0,1.0,45.0,46.0,1.0,43.0,44.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,67.0,67.0,105.0,1418.0,1523.0,105.0,1418.0,1523.0,0.0,0.0,0.0,7.0,108.0,115.0,1.0,0.0,0.0,64.0,0.0,0.0,1.0,64.0,65.0,3.0,-3.0,0.0,1.0,6.0,7.0,0.0,13.0,13.0,2.0,28.0,30.0,112.0,1526.0,1638.0,112.0,1525.0,1637.0,2982.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,146.0,158.0,0.0,1.0,1.0,100.0,1380.0,1480.0,7.0,54.0,61.0,7.0,0.0,0.0,54.0,0.0,0.0,7.0,54.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
Butte,1556.0,717.0,1585.0,860.0,2.0,123.0,125.0,0.0,659.0,659.0,0.0,83.0,83.0,0.0,576.0,576.0,0.0,66.0,66.0,0.0,66.0,66.0,29.0,1556.0,1585.0,20.0,586.0,606.0,18.0,558.0,576.0,1.0,15.0,16.0,1.0,13.0,14.0,9.0,970.0,979.0,1428.0,14149.0,15577.0,1428.0,14150.0,15578.0,0.0,-1.0,-1.0,78.0,1391.0,1469.0,34.0,0.0,0.0,825.0,1.0,0.0,34.0,826.0,860.0,-12.0,12.0,0.0,11.0,36.0,47.0,6.0,180.0,186.0,39.0,337.0,376.0,1506.0,15540.0,17046.0,1502.0,15471.0,16973.0,31212.0,4.0,49.0,4.0,46.0,50.0,21.0,8.0,0.0,23.0,23.0,75.0,1249.0,1324.0,0.0,33.0,33.0,1431.0,14291.0,15722.0,114.0,554.0,668.0,113.0,0.0,0.0,538.0,2.0,0.0,113.0,540.0,653.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,14.0,15.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
Calaveras,187.0,37.0,196.0,126.0,0.0,3.0,3.0,0.0,63.0,63.0,0.0,21.0,21.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,190.0,196.0,3.0,84.0,87.0,3.0,80.0,83.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,106.0,109.0,192.0,2373.0,2565.0,192.0,2373.0,2565.0,0.0,0.0,0.0,20.0,198.0,218.0,6.0,0.0,0.0,120.0,0.0,0.0,6.0,120.0,126.0,5.0,-5.0,0.0,3.0,10.0,13.0,0.0,32.0,32.0,6.0,41.0,47.0,212.0,2571.0,2783.0,212.0,2565.0,2777.0,5019.0,2.0,3.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,17.0,161.0,178.0,0.0,1.0,1.0,195.0,2410.0,2605.0,10.0,98.0,108.0,10.0,0.0,0.0,96.0,0.0,0.0,10.0,96.0,106.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
Colusa,70.0,10.0,70.0,28.0,0.0,3.0,3.0,0.0,39.0,39.0,0.0,12.0,12.0,0.0,27.0,27.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,70.0,70.0,0.0,25.0,25.0,0.0,21.0,21.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,45.0,45.0,58.0,557.0,615.0,58.0,557.0,615.0,0.0,0.0,0.0,-1.0,66.0,65.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,28.0,-2.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,1.0,29.0,30.0,57.0,623.0,680.0,57.0,618.0,675.0,1464.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,65.0,67.0,0.0,0.0,0.0,55.0,558.0,613.0,2.0,26.0,28.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,25.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
Contra Costa,2403.0,1022.0,2142.0,1036.0,2.0,21.0,23.0,0.0,1027.0,1027.0,0.0,245.0,245.0,0.0,782.0,782.0,0.0,91.0,91.0,0.0,79.0,79.0,26.0,929.0,955.0,17.0,477.0,494.0,16.0,456.0,472.0,1.0,19.0,20.0,0.0,2.0,2.0,9.0,452.0,461.0,3448.0,25796.0,29244.0,3419.0,25527.0,28946.0,29.0,269.0,298.0,108.0,2469.0,2577.0,65.0,3.0,0.0,946.0,15.0,7.0,68.0,968.0,1036.0,-105.0,105.0,0.0,18.0,90.0,108.0,8.0,27.0,35.0,119.0,1279.0,1398.0,3556.0,28265.0,31821.0,3467.0,27708.0,31175.0,63555.0,26.0,689.0,87.0,423.0,510.0,172.0,17.0,2.0,134.0,136.0,189.0,2781.0,2970.0,0.0,0.0,0.0,3367.0,25484.0,28851.0,229.0,1138.0,1367.0,220.0,6.0,0.0,1068.0,18.0,2.0,226.0,1088.0,1314.0,3.0,0.0,0.0,48.0,2.0,0.0,3.0,50.0,53.0,2.0,1.0,3.0,2017,NOV,4.0,2017-11-01
Del Norte,150.0,9.0,146.0,100.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,11.0,11.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,139.0,145.0,6.0,69.0,75.0,6.0,66.0,72.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,70.0,70.0,343.0,2087.0,2430.0,343.0,2087.0,2430.0,0.0,0.0,0.0,21.0,186.0,207.0,6.0,0.0,0.0,94.0,0.0,0.0,6.0,94.0,100.0,5.0,-5.0,0.0,2.0,8.0,10.0,1.0,23.0,24.0,7.0,66.0,73.0,364.0,2273.0,2637.0,364.0,2272.0,2636.0,5296.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,249.0,258.0,0.0,1.0,1.0,355.0,2024.0,2379.0,31.0,89.0,120.0,31.0,0.0,0.0,89.0,0.0,0.0,31.0,89.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NOV,4.0,2017-11-01
El Dorado,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2017,NOV,4.0,2017-11-01
Fresno,5729.0,2465.0,5457.0,3720.0,18.0,233.0,251.0,7.0,1610.0,1617.0,7.0,1607.0,1614.0,0.0,3.0,3.0,2.0,407.0,409.0,0.0,120.0,120.0,77.0,3787.0,3864.0,42.0,1763.0,1805.0,42.0,1650.0,1692.0,0.0,83.0,83.0,0.0,30.0,30.0,35.0,2024.0,2059.0,11197.0,74056.0,85253.0,10670.0,70817.0,81487.0,527.0,3239.0,3766.0,232.0,3623.0,3855.0,252.0,2.0,2.0,3396.0,32.0,36.0,256.0,3464.0,3720.0,-53.0,53.0,0.0,23.0,64.0,87.0,3.0,8.0,11.0,3.0,34.0,37.0,11429.0,77679.0,89108.0,11242.0,76816.0,88058.0,203902.0,68.0,887.0,176.0,627.0,803.0,275.0,29.0,11.0,236.0,247.0,740.0,6563.0,7303.0,0.0,0.0,0.0,10689.0,71116.0,81805.0,903.0,5311.0,6214.0,760.0,9.0,1.0,4157.0,49.0,10.0,770.0,4216.0,4986.0,132.0,1.0,0.0,1073.0,19.0,3.0,133.0,1095.0,1228.0,3.0,71.0,74.0,2017,NOV,4.0,2017-11-01
