Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2017 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 03NOV2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,435795.0,190526.0,58227.0,28238.0,17955.0,140849.0,10.3,485160.0,359296.0,125864.0,60792.0,44942.0,9879.0,5971.0,28.9,23.96,13.36,13.95,10.31
Alameda,14766.0,6477.0,1539.0,891.0,608.0,5251.0,6.0,12117.0,9530.0,2587.0,1469.0,918.0,307.0,244.0,40.3,20.57,10.42,9.95,6.22
Alpine,8.0,3.0,0.0,0.0,1.0,4.0,12.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,22.0,12.5,0.0,0.0,0.0
Amador,361.0,152.0,41.0,27.0,12.0,129.0,12.3,434.0,216.0,218.0,65.0,58.0,5.0,2.0,23.3,22.16,11.36,18.01,16.07
Butte,4078.0,1779.0,558.0,240.0,163.0,1338.0,14.3,4672.0,2635.0,2037.0,918.0,790.0,84.0,44.0,25.7,23.57,13.68,22.51,19.37
Calaveras,588.0,301.0,79.0,27.0,25.0,156.0,9.0,786.0,447.0,339.0,150.0,130.0,10.0,10.0,25.0,22.28,13.44,25.51,22.11
Colusa,192.0,108.0,18.0,7.0,3.0,56.0,11.3,189.0,112.0,77.0,50.0,45.0,3.0,2.0,26.0,14.58,9.38,26.04,23.44
Contra Costa,8120.0,4060.0,579.0,402.0,309.0,2770.0,10.0,6660.0,5456.0,1204.0,680.0,388.0,183.0,109.0,37.7,15.89,7.13,8.37,4.78
Del Norte,541.0,240.0,101.0,18.0,12.0,170.0,11.0,710.0,475.0,235.0,243.0,229.0,8.0,6.0,28.3,24.21,18.67,44.92,42.33
El Dorado,1733.0,816.0,224.0,103.0,69.0,521.0,8.0,1978.0,1056.0,922.0,408.0,365.0,31.0,12.0,26.3,22.85,12.93,23.54,21.06
Fresno,16950.0,5539.0,2531.0,1453.0,864.0,6563.0,8.3,22755.0,19646.0,3109.0,2771.0,1761.0,621.0,389.0,47.7,28.6,14.93,16.35,10.39
Glenn,407.0,184.0,55.0,20.0,15.0,133.0,10.3,453.0,254.0,199.0,60.0,55.0,3.0,2.0,20.0,22.11,13.51,14.74,13.51
Humboldt,3074.0,1379.0,410.0,178.0,128.0,979.0,7.7,3276.0,1808.0,1468.0,758.0,697.0,41.0,20.0,29.0,23.29,13.34,24.66,22.67
Imperial,3490.0,1292.0,637.0,232.0,160.0,1169.0,9.3,4982.0,3389.0,1593.0,1024.0,903.0,88.0,33.0,23.0,29.48,18.25,29.34,25.87
Inyo,223.0,91.0,29.0,14.0,9.0,80.0,7.3,277.0,151.0,126.0,75.0,67.0,7.0,1.0,25.7,23.32,13.0,33.63,30.04
Kern,17054.0,6070.0,3186.0,1172.0,807.0,5819.0,12.0,19825.0,12617.0,7208.0,3236.0,2756.0,333.0,147.0,17.0,30.29,18.68,18.98,16.16
Kings,2550.0,863.0,596.0,164.0,91.0,836.0,8.0,2983.0,1822.0,1161.0,667.0,606.0,41.0,20.0,23.0,33.37,23.37,26.16,23.76
