Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2012 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 16APR2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,545881.0,294314.0,44605.0,26797.0,19869.0,160296.0,14.0,454238.0,369247.0,84991.0,59619.0,47141.0,7575.0,4903.0,37.5,16.72,8.17,10.92,8.64
Alameda,16325.0,9243.0,1272.0,807.0,557.0,4446.0,14.0,16226.0,13519.0,2707.0,1331.0,699.0,379.0,253.0,47.0,16.15,7.79,8.15,4.28
Alpine,19.0,15.0,1.0,1.0,0.0,2.0,3.3,32.0,26.0,6.0,2.0,2.0,0.0,0.0,33.3,10.53,5.26,10.53,10.53
Amador,580.0,333.0,19.0,34.0,32.0,162.0,12.3,560.0,407.0,153.0,99.0,88.0,8.0,3.0,30.0,14.66,3.28,17.07,15.17
Butte,4775.0,2864.0,170.0,207.0,177.0,1357.0,18.0,4242.0,2508.0,1734.0,1259.0,1179.0,44.0,36.0,42.0,11.6,3.56,26.37,24.69
Calaveras,756.0,469.0,21.0,30.0,30.0,206.0,13.7,814.0,554.0,260.0,177.0,158.0,9.0,10.0,44.0,10.71,2.78,23.41,20.9
Colusa,254.0,144.0,11.0,14.0,14.0,71.0,16.3,228.0,157.0,71.0,48.0,43.0,4.0,1.0,43.0,15.35,4.33,18.9,16.93
Contra Costa,10465.0,6178.0,919.0,472.0,281.0,2615.0,16.3,7093.0,6147.0,946.0,597.0,351.0,156.0,90.0,49.0,15.98,8.78,5.7,3.35
Del Norte,701.0,340.0,46.0,26.0,56.0,233.0,8.3,828.0,585.0,243.0,184.0,161.0,14.0,9.0,33.0,18.26,6.56,26.25,22.97
El Dorado,2397.0,1417.0,77.0,131.0,106.0,666.0,14.0,1975.0,1354.0,621.0,415.0,377.0,32.0,6.0,37.7,13.1,3.21,17.31,15.73
Fresno,18926.0,7867.0,2972.0,1319.0,855.0,5913.0,6.3,24037.0,21086.0,2951.0,2819.0,1751.0,605.0,463.0,57.0,27.19,15.7,14.89,9.25
Glenn,501.0,291.0,12.0,23.0,23.0,152.0,15.7,427.0,330.0,97.0,62.0,56.0,5.0,1.0,28.7,11.58,2.4,12.38,11.18
Humboldt,3439.0,2082.0,119.0,172.0,137.0,929.0,13.0,2664.0,1572.0,1092.0,712.0,632.0,53.0,27.0,38.3,12.45,3.46,20.7,18.38
Imperial,4069.0,2140.0,140.0,183.0,170.0,1436.0,16.7,4633.0,3529.0,1104.0,758.0,684.0,46.0,28.0,26.7,12.12,3.44,18.63,16.81
Inyo,336.0,178.0,18.0,18.0,18.0,104.0,8.0,295.0,228.0,67.0,43.0,42.0,1.0,0.0,23.7,16.07,5.36,12.8,12.5
Kern,17387.0,8407.0,939.0,910.0,910.0,6221.0,15.3,17369.0,12599.0,4770.0,3156.0,2726.0,278.0,152.0,28.7,15.87,5.4,18.15,15.68
Kings,2757.0,1376.0,118.0,149.0,131.0,983.0,16.0,3006.0,2319.0,687.0,452.0,399.0,35.0,18.0,32.0,14.44,4.28,16.39,14.47
