Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2012 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 10APR2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,497532.0,255114.0,44188.0,26790.0,20126.0,151314.0,13.9,445195.0,365143.0,80052.0,57442.0,45353.0,7461.0,4628.0,34.3,18.31,8.88,11.55,9.12
Alameda,14710.0,8019.0,1244.0,901.0,553.0,3993.0,14.3,15466.0,12704.0,2762.0,1386.0,664.0,432.0,290.0,44.3,18.34,8.46,9.42,4.51
Alpine,23.0,11.0,0.0,1.0,1.0,10.0,3.7,35.0,33.0,2.0,2.0,2.0,0.0,0.0,27.3,8.7,0.0,8.7,8.7
Amador,527.0,312.0,15.0,23.0,36.0,141.0,13.0,567.0,396.0,171.0,120.0,105.0,10.0,5.0,29.7,14.04,2.85,22.77,19.92
Butte,3990.0,2203.0,151.0,191.0,186.0,1259.0,15.3,4193.0,2560.0,1633.0,1191.0,1110.0,50.0,31.0,37.7,13.23,3.78,29.85,27.82
Calaveras,660.0,376.0,22.0,36.0,35.0,191.0,11.0,807.0,547.0,260.0,155.0,136.0,12.0,7.0,35.3,14.09,3.33,23.48,20.61
Colusa,320.0,145.0,13.0,14.0,15.0,133.0,17.0,270.0,213.0,57.0,36.0,33.0,1.0,2.0,28.7,13.13,4.06,11.25,10.31
Contra Costa,9458.0,5478.0,987.0,467.0,249.0,2277.0,15.3,7704.0,6320.0,1384.0,851.0,448.0,236.0,167.0,49.0,18.01,10.44,9.0,4.74
Del Norte,697.0,319.0,54.0,53.0,58.0,213.0,7.3,826.0,573.0,253.0,196.0,174.0,17.0,5.0,27.0,23.67,7.75,28.12,24.96
El Dorado,2453.0,1435.0,92.0,92.0,128.0,706.0,13.0,2027.0,1366.0,661.0,481.0,426.0,42.0,13.0,36.3,12.72,3.75,19.61,17.37
Fresno,19085.0,6984.0,3054.0,1534.0,1084.0,6429.0,7.0,23199.0,20959.0,2240.0,2173.0,1371.0,470.0,332.0,50.0,29.72,16.0,11.39,7.18
Glenn,495.0,261.0,26.0,28.0,29.0,151.0,12.7,476.0,339.0,137.0,104.0,94.0,5.0,5.0,30.7,16.77,5.25,21.01,18.99
Humboldt,3148.0,1783.0,148.0,146.0,135.0,936.0,16.0,2786.0,1573.0,1213.0,849.0,749.0,62.0,38.0,42.3,13.63,4.7,26.97,23.79
Imperial,3163.0,1660.0,196.0,126.0,148.0,1033.0,14.3,3548.0,2678.0,870.0,575.0,521.0,32.0,22.0,26.3,14.86,6.2,18.18,16.47
Inyo,303.0,147.0,17.0,18.0,13.0,108.0,8.7,343.0,262.0,81.0,67.0,63.0,4.0,0.0,28.3,15.84,5.61,22.11,20.79
Kern,17301.0,7461.0,1082.0,981.0,1028.0,6749.0,15.7,18304.0,13165.0,5139.0,3481.0,2997.0,321.0,163.0,25.7,17.87,6.25,20.12,17.32
Kings,2761.0,1174.0,153.0,186.0,190.0,1058.0,16.0,3061.0,2350.0,711.0,521.0,464.0,38.0,19.0,28.3,19.16,5.54,18.87,16.81
