Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,494038.0,256748.0,64256.0,26494.0,16773.0,129767.0,13.3,471431.0,375426.0,96005.0,51571.0,39601.0,7370.0,4600.0,18.9,21.76,13.01,10.44,8.02
Alameda,15186.0,7889.0,1502.0,1003.0,572.0,4220.0,14.0,16965.0,13977.0,2988.0,1442.0,760.0,422.0,260.0,41.3,20.26,9.89,9.5,5.0
Alpine,28.0,15.0,2.0,2.0,0.0,9.0,2.3,28.0,14.0,14.0,3.0,3.0,0.0,0.0,3.3,14.29,7.14,10.71,10.71
Amador,528.0,298.0,76.0,15.0,18.0,121.0,10.7,647.0,365.0,282.0,111.0,104.0,5.0,2.0,7.0,20.64,14.39,21.02,19.7
Butte,4488.0,2466.0,609.0,202.0,134.0,1077.0,15.3,4654.0,2912.0,1742.0,1091.0,1020.0,45.0,26.0,10.3,21.06,13.57,24.31,22.73
Calaveras,665.0,385.0,93.0,30.0,21.0,136.0,11.0,792.0,465.0,327.0,131.0,116.0,7.0,8.0,8.0,21.65,13.98,19.7,17.44
Colusa,259.0,153.0,29.0,15.0,6.0,56.0,14.0,250.0,141.0,109.0,43.0,41.0,2.0,0.0,8.0,19.31,11.2,16.6,15.83
Contra Costa,9540.0,5129.0,1096.0,561.0,291.0,2463.0,16.0,8113.0,6709.0,1404.0,776.0,427.0,200.0,149.0,48.0,20.42,11.49,8.13,4.48
Del Norte,706.0,327.0,149.0,27.0,11.0,192.0,9.0,801.0,495.0,306.0,141.0,134.0,5.0,2.0,7.3,26.49,21.1,19.97,18.98
El Dorado,2359.0,1335.0,318.0,109.0,72.0,525.0,14.3,2175.0,1155.0,1020.0,472.0,420.0,37.0,15.0,11.0,21.15,13.48,20.01,17.8
Fresno,17356.0,6915.0,2728.0,1340.0,767.0,5606.0,10.3,23137.0,20341.0,2796.0,2643.0,1686.0,583.0,374.0,54.0,27.86,15.72,15.23,9.71
Glenn,431.0,236.0,59.0,21.0,11.0,104.0,10.7,489.0,286.0,203.0,53.0,49.0,3.0,1.0,6.3,21.11,13.69,12.3,11.37
Humboldt,3636.0,2113.0,430.0,139.0,98.0,856.0,14.0,2897.0,1650.0,1247.0,749.0,675.0,43.0,31.0,15.0,18.34,11.83,20.6,18.56
Imperial,3846.0,1811.0,738.0,180.0,160.0,957.0,16.7,4662.0,3253.0,1409.0,597.0,521.0,41.0,35.0,5.7,28.03,19.19,15.52,13.55
Inyo,362.0,173.0,59.0,15.0,14.0,101.0,7.7,333.0,178.0,155.0,82.0,71.0,5.0,6.0,5.7,24.31,16.3,22.65,19.61
Kern,16488.0,7187.0,3451.0,788.0,621.0,4441.0,14.7,18636.0,12584.0,6052.0,2438.0,2062.0,233.0,143.0,7.7,29.48,20.93,14.79,12.51
Kings,2652.0,1204.0,556.0,134.0,90.0,668.0,15.7,2996.0,1919.0,1077.0,548.0,475.0,45.0,28.0,7.3,29.41,20.97,20.66,17.91
