Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,560436.0,297668.0,67425.0,27838.0,19921.0,147584.0,14.9,490443.0,387826.0,102617.0,56404.0,44474.0,7674.0,4256.0,23.5,20.55,12.03,10.06,7.94
Alameda,17308.0,9420.0,1403.0,925.0,743.0,4817.0,13.7,16574.0,13584.0,2990.0,1477.0,849.0,382.0,246.0,41.3,17.74,8.11,8.53,4.91
Alpine,23.0,13.0,2.0,2.0,1.0,5.0,7.0,29.0,16.0,13.0,5.0,5.0,0.0,0.0,11.7,21.74,8.7,21.74,21.74
Amador,586.0,314.0,91.0,27.0,13.0,141.0,12.3,600.0,337.0,263.0,122.0,111.0,9.0,2.0,17.3,22.35,15.53,20.82,18.94
Butte,4939.0,2844.0,651.0,205.0,136.0,1103.0,17.7,4511.0,2710.0,1801.0,967.0,876.0,58.0,33.0,15.7,20.09,13.18,19.58,17.74
Calaveras,791.0,456.0,84.0,36.0,29.0,186.0,10.7,801.0,453.0,348.0,151.0,132.0,11.0,8.0,15.3,18.84,10.62,19.09,16.69
Colusa,276.0,142.0,37.0,10.0,8.0,79.0,19.0,229.0,120.0,109.0,61.0,49.0,9.0,3.0,18.3,19.93,13.41,22.1,17.75
Contra Costa,10802.0,5921.0,999.0,518.0,408.0,2956.0,15.7,7756.0,6407.0,1349.0,657.0,358.0,192.0,107.0,46.0,17.82,9.25,6.08,3.31
Del Norte,741.0,369.0,138.0,28.0,21.0,185.0,9.7,850.0,500.0,350.0,165.0,146.0,11.0,8.0,16.3,25.24,18.62,22.27,19.7
El Dorado,2444.0,1367.0,301.0,135.0,71.0,570.0,15.0,2107.0,1002.0,1105.0,465.0,411.0,37.0,17.0,18.7,20.74,12.32,19.03,16.82
Fresno,20566.0,8054.0,3391.0,1555.0,1106.0,6460.0,10.7,25040.0,21684.0,3356.0,2985.0,2002.0,585.0,398.0,47.7,29.43,16.49,14.51,9.73
Glenn,480.0,272.0,89.0,17.0,15.0,87.0,12.7,454.0,256.0,198.0,55.0,48.0,6.0,1.0,10.7,25.21,18.54,11.46,10.0
Humboldt,3859.0,2319.0,440.0,142.0,115.0,843.0,16.3,2922.0,1571.0,1351.0,798.0,686.0,71.0,41.0,21.7,18.06,11.4,20.68,17.78
Imperial,4443.0,2200.0,726.0,199.0,135.0,1183.0,18.3,4867.0,3382.0,1485.0,687.0,609.0,54.0,24.0,12.0,23.86,16.34,15.46,13.71
Inyo,350.0,177.0,60.0,21.0,18.0,74.0,7.7,348.0,175.0,173.0,60.0,55.0,3.0,2.0,16.0,28.29,17.14,17.14,15.71
Kern,18709.0,8388.0,3852.0,972.0,656.0,4841.0,15.0,18707.0,12339.0,6368.0,2749.0,2327.0,299.0,123.0,13.7,29.29,20.59,14.69,12.44
Kings,2691.0,1235.0,535.0,133.0,110.0,678.0,16.3,3084.0,1934.0,1150.0,583.0,525.0,33.0,25.0,14.3,28.91,19.88,21.66,19.51
