Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,487708.0,245867.0,68008.0,24555.0,16736.0,132542.0,14.6,486440.0,379408.0,107032.0,70742.0,56781.0,9028.0,4933.0,30.5,22.41,13.94,14.5,11.64
Alameda,14318.0,7514.0,1447.0,703.0,505.0,4149.0,16.3,16102.0,12634.0,3468.0,1780.0,1034.0,453.0,293.0,43.3,18.54,10.11,12.43,7.22
Alpine,27.0,17.0,4.0,0.0,0.0,6.0,7.3,29.0,18.0,11.0,4.0,2.0,1.0,1.0,30.7,14.81,14.81,14.81,7.41
Amador,561.0,275.0,101.0,27.0,20.0,138.0,11.3,585.0,326.0,259.0,85.0,76.0,7.0,2.0,25.3,26.38,18.0,15.15,13.55
Butte,4273.0,2300.0,669.0,209.0,142.0,953.0,19.0,4615.0,2670.0,1945.0,1357.0,1257.0,77.0,23.0,28.3,23.87,15.66,31.76,29.42
Calaveras,745.0,414.0,81.0,43.0,30.0,177.0,11.0,884.0,513.0,371.0,125.0,111.0,11.0,3.0,21.0,20.67,10.87,16.78,14.9
Colusa,265.0,120.0,34.0,18.0,11.0,82.0,20.3,282.0,155.0,127.0,50.0,42.0,5.0,3.0,27.7,23.77,12.83,18.87,15.85
Contra Costa,9135.0,5127.0,859.0,374.0,257.0,2518.0,18.0,7699.0,6224.0,1475.0,915.0,540.0,238.0,137.0,44.0,16.31,9.4,10.02,5.91
Del Norte,730.0,313.0,166.0,52.0,21.0,178.0,9.0,895.0,579.0,316.0,189.0,179.0,7.0,3.0,30.0,32.74,22.74,25.89,24.52
El Dorado,2431.0,1331.0,307.0,122.0,99.0,572.0,17.0,2277.0,1127.0,1150.0,506.0,442.0,48.0,16.0,28.7,21.72,12.63,20.81,18.18
Fresno,18912.0,6926.0,2656.0,1263.0,928.0,7139.0,9.0,24756.0,21477.0,3279.0,2821.0,1823.0,613.0,385.0,47.0,25.63,14.04,14.92,9.64
Glenn,485.0,233.0,80.0,28.0,27.0,117.0,12.7,528.0,312.0,216.0,84.0,75.0,9.0,0.0,24.0,27.84,16.49,17.32,15.46
Humboldt,3330.0,2010.0,345.0,170.0,115.0,690.0,18.0,2972.0,1641.0,1331.0,724.0,642.0,59.0,23.0,30.0,18.92,10.36,21.74,19.28
Imperial,3328.0,1622.0,590.0,144.0,128.0,844.0,14.3,4062.0,2872.0,1190.0,723.0,653.0,52.0,18.0,23.7,25.9,17.73,21.72,19.62
Inyo,292.0,154.0,36.0,16.0,13.0,73.0,9.3,371.0,201.0,170.0,85.0,74.0,10.0,1.0,27.7,22.26,12.33,29.11,25.34
Kern,17640.0,6993.0,4010.0,1058.0,739.0,4840.0,16.0,20454.0,13309.0,7145.0,4694.0,4145.0,406.0,143.0,24.3,32.92,22.73,26.61,23.5
Kings,2645.0,1043.0,613.0,153.0,109.0,727.0,17.3,3428.0,2172.0,1256.0,1158.0,1070.0,77.0,11.0,29.0,33.08,23.18,43.78,40.45
