Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q1 (January - March) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 09OCT2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,508652.0,266509.0,65464.0,23623.0,14751.0,138305.0,14.1,449224.0,350694.0,98530.0,65476.0,52111.0,8264.0,5101.0,29.5,0.204143500861,0.128700958612,0.12872455038,0.102449218719
Alameda,15801.0,8261.0,1687.0,849.0,536.0,4468.0,15.3,17174.0,13476.0,3698.0,1755.0,941.0,492.0,322.0,40.7,0.194418074805,0.106765394595,0.111068919689,0.0595531928359
Alpine,30.0,18.0,2.0,2.0,2.0,6.0,8.0,15.0,9.0,6.0,1.0,1.0,0.0,0.0,15.3,0.2,0.0666666666667,0.0333333333333,0.0333333333333
Amador,612.0,334.0,87.0,27.0,11.0,153.0,8.3,605.0,337.0,268.0,118.0,104.0,5.0,9.0,27.3,0.204248366013,0.142156862745,0.192810457516,0.169934640523
Butte,4648.0,2494.0,672.0,215.0,125.0,1142.0,19.7,4495.0,2677.0,1818.0,1344.0,1212.0,92.0,40.0,29.0,0.217728055077,0.144578313253,0.289156626506,0.260757314974
Calaveras,742.0,409.0,97.0,28.0,15.0,193.0,13.3,826.0,493.0,333.0,143.0,128.0,13.0,2.0,18.7,0.188679245283,0.130727762803,0.192722371968,0.172506738544
Colusa,275.0,147.0,27.0,10.0,11.0,80.0,24.0,269.0,165.0,104.0,66.0,59.0,3.0,4.0,27.3,0.174545454545,0.0981818181818,0.24,0.214545454545
Contra Costa,9790.0,5611.0,923.0,440.0,237.0,2579.0,13.0,8147.0,6658.0,1489.0,839.0,527.0,187.0,125.0,38.3,0.163432073544,0.0942798774259,0.0856996935649,0.0538304392237
Del Norte,597.0,292.0,112.0,20.0,15.0,158.0,12.7,927.0,598.0,329.0,217.0,204.0,9.0,4.0,30.7,0.246231155779,0.187604690117,0.363484087102,0.341708542714
El Dorado,2363.0,1323.0,239.0,96.0,61.0,644.0,16.7,2081.0,1129.0,952.0,423.0,375.0,31.0,17.0,30.3,0.167583580195,0.10114261532,0.17900973339,0.158696572154
Fresno,18309.0,7511.0,2365.0,1079.0,720.0,6634.0,9.0,23265.0,20355.0,2910.0,2135.0,1298.0,488.0,349.0,45.3,0.227429133213,0.129171445737,0.116609317822,0.0708940957999
Glenn,481.0,252.0,73.0,14.0,13.0,129.0,11.7,496.0,312.0,184.0,69.0,60.0,2.0,7.0,23.7,0.2079002079,0.151767151767,0.143451143451,0.12474012474
Humboldt,3493.0,2161.0,275.0,107.0,79.0,871.0,19.0,2780.0,1651.0,1129.0,630.0,567.0,38.0,25.0,31.7,0.131978242199,0.0787288863441,0.180360721443,0.162324649299
Imperial,3489.0,1772.0,565.0,164.0,119.0,869.0,14.7,4299.0,3020.0,1279.0,892.0,769.0,78.0,45.0,23.0,0.243049584408,0.161937517913,0.25566064775,0.220406993408
Inyo,348.0,179.0,36.0,21.0,11.0,101.0,7.7,349.0,198.0,151.0,78.0,76.0,1.0,1.0,24.7,0.195402298851,0.103448275862,0.224137931034,0.218390804598
