Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 05MAR2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,514701.0,267567.0,64615.0,23627.0,15925.0,142967.0,13.7,486555.0,376432.0,110123.0,74704.0,58717.0,10034.0,5953.0,30.6,20.24,12.55,0.145140576762,0.114079824986
Alameda,16807.0,8621.0,2071.0,925.0,562.0,4628.0,17.3,16847.0,12479.0,4368.0,2159.0,1162.0,628.0,369.0,43.3,21.17,12.32,0.128458380437,0.0691378592253
Alpine,25.0,13.0,2.0,2.0,0.0,8.0,8.0,16.0,5.0,11.0,1.0,1.0,0.0,0.0,18.7,16.0,8.0,0.04,0.04
Amador,470.0,247.0,76.0,23.0,9.0,115.0,12.0,557.0,316.0,241.0,134.0,119.0,11.0,4.0,26.7,22.98,16.17,0.285106382979,0.253191489362
Butte,4547.0,2470.0,618.0,208.0,122.0,1129.0,16.3,4523.0,2607.0,1916.0,1384.0,1276.0,70.0,38.0,27.7,20.85,13.59,0.304376511986,0.28062458764
Calaveras,738.0,426.0,72.0,44.0,18.0,178.0,11.0,819.0,486.0,333.0,139.0,118.0,15.0,6.0,20.3,18.16,9.76,0.188346883469,0.159891598916
Colusa,217.0,129.0,17.0,9.0,7.0,55.0,34.3,226.0,121.0,105.0,89.0,80.0,4.0,5.0,26.7,15.21,7.83,0.410138248848,0.36866359447
Contra Costa,9839.0,5576.0,856.0,414.0,276.0,2717.0,15.7,8865.0,7125.0,1740.0,1021.0,622.0,257.0,142.0,40.3,15.71,8.7,0.103770708405,0.0632178066877
Del Norte,606.0,309.0,117.0,24.0,13.0,143.0,13.3,783.0,457.0,326.0,202.0,186.0,8.0,8.0,29.7,25.41,19.31,0.333333333333,0.306930693069
El Dorado,2100.0,1168.0,235.0,101.0,63.0,533.0,11.0,2071.0,1139.0,932.0,512.0,437.0,45.0,30.0,29.0,19.0,11.19,0.24380952381,0.208095238095
Fresno,18585.0,7919.0,2765.0,1118.0,674.0,6109.0,10.7,27047.0,23235.0,3812.0,3027.0,1811.0,731.0,485.0,46.0,24.52,14.88,0.162873284907,0.0974441754103
Glenn,427.0,246.0,43.0,19.0,13.0,106.0,13.3,437.0,246.0,191.0,76.0,69.0,2.0,5.0,24.3,17.56,10.07,0.177985948478,0.161592505855
Humboldt,3524.0,2253.0,350.0,105.0,78.0,738.0,12.3,2710.0,1578.0,1132.0,776.0,713.0,44.0,19.0,32.7,15.12,9.93,0.22020431328,0.202326901249
Imperial,4341.0,2234.0,568.0,185.0,130.0,1224.0,16.3,4951.0,3510.0,1441.0,1142.0,1023.0,83.0,36.0,23.7,20.34,13.08,0.263073024649,0.235659986178
Inyo,297.0,152.0,30.0,17.0,9.0,89.0,8.0,315.0,166.0,149.0,74.0,71.0,1.0,2.0,26.0,18.86,10.1,0.249158249158,0.239057239057
Kern,17089.0,7547.0,3029.0,921.0,576.0,5016.0,14.3,18099.0,11603.0,6496.0,4019.0,3448.0,397.0,174.0,22.0,26.48,17.72,0.235180525484,0.201767218679
