Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2014 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 28AUG2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,469634.0,228043.0,66874.0,26922.0,16148.0,131647.0,13.5,492149.0,366688.0,125461.0,75995.0,60390.0,9902.0,5703.0,30.3,23.41,14.24,16.18,12.86
Alameda,14457.0,6960.0,1688.0,990.0,619.0,4200.0,16.7,15113.0,10854.0,4259.0,2275.0,1277.0,616.0,382.0,42.7,22.81,11.68,15.74,8.83
Alpine,25.0,17.0,1.0,1.0,1.0,5.0,6.7,30.0,9.0,21.0,3.0,2.0,0.0,1.0,28.7,12.0,4.0,12.0,8.0
Amador,438.0,215.0,75.0,29.0,11.0,108.0,12.3,599.0,350.0,249.0,140.0,121.0,16.0,3.0,25.0,26.26,17.12,31.96,27.63
Butte,4029.0,2138.0,536.0,193.0,132.0,1030.0,16.7,4358.0,2564.0,1794.0,1389.0,1254.0,89.0,46.0,27.3,21.37,13.3,34.48,31.12
Calaveras,655.0,366.0,85.0,32.0,17.0,155.0,11.7,886.0,541.0,345.0,172.0,141.0,22.0,9.0,23.0,20.46,12.98,26.26,21.53
Colusa,264.0,106.0,29.0,16.0,16.0,97.0,34.3,230.0,118.0,112.0,85.0,75.0,6.0,4.0,26.3,23.11,10.98,32.2,28.41
Contra Costa,8542.0,4733.0,786.0,416.0,235.0,2372.0,14.0,8205.0,6405.0,1800.0,973.0,608.0,222.0,143.0,39.7,16.82,9.2,11.39,7.12
Del Norte,564.0,250.0,110.0,26.0,19.0,159.0,14.3,816.0,496.0,320.0,223.0,202.0,14.0,7.0,26.3,27.48,19.5,39.54,35.82
El Dorado,2047.0,1113.0,230.0,98.0,67.0,539.0,11.0,2188.0,1145.0,1043.0,473.0,410.0,45.0,18.0,27.7,19.3,11.24,23.11,20.03
Fresno,18865.0,7287.0,2862.0,1386.0,954.0,6376.0,8.7,25804.0,22189.0,3615.0,3118.0,2062.0,634.0,422.0,46.0,27.57,15.17,16.53,10.93
Glenn,427.0,192.0,65.0,22.0,18.0,130.0,12.3,526.0,304.0,222.0,102.0,84.0,10.0,8.0,25.0,24.59,15.22,23.89,19.67
Humboldt,3612.0,2265.0,397.0,147.0,81.0,722.0,11.0,2981.0,1720.0,1261.0,841.0,753.0,58.0,30.0,31.7,17.3,10.99,23.28,20.85
Imperial,3479.0,1819.0,513.0,149.0,95.0,903.0,15.0,4018.0,2835.0,1183.0,798.0,709.0,57.0,32.0,23.0,21.76,14.75,22.94,20.38
Inyo,287.0,134.0,34.0,15.0,14.0,90.0,8.0,375.0,200.0,175.0,97.0,89.0,5.0,3.0,27.3,21.95,11.85,33.8,31.01
Kern,17097.0,6729.0,3614.0,1030.0,650.0,5074.0,14.7,18973.0,12455.0,6518.0,4273.0,3579.0,465.0,229.0,20.7,30.96,21.14,24.99,20.93
Kings,2620.0,1008.0,569.0,174.0,91.0,778.0,15.0,3191.0,2047.0,1144.0,961.0,882.0,51.0,28.0,25.7,31.83,21.72,36.68,33.66
