Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2017 Q1 (January - March) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 11OCT2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,444143.0,197142.0,63341.0,30218.0,18179.0,135263.0,10.7,470747.0,343456.0,127291.0,61324.0,46108.0,9373.0,5843.0,28.9,25.16,14.26,13.81,10.38
Alameda,14814.0,6641.0,1667.0,960.0,605.0,4941.0,5.7,12877.0,10017.0,2860.0,1449.0,851.0,357.0,241.0,38.7,21.82,11.25,9.78,5.74
Alpine,12.0,5.0,1.0,1.0,2.0,3.0,4.7,27.0,11.0,16.0,1.0,1.0,0.0,0.0,26.3,33.33,8.33,8.33,8.33
Amador,387.0,182.0,41.0,14.0,14.0,136.0,9.0,550.0,332.0,218.0,106.0,99.0,5.0,2.0,24.3,17.83,10.59,27.39,25.58
Butte,4406.0,1980.0,628.0,295.0,180.0,1323.0,18.0,5064.0,2912.0,2152.0,1161.0,1019.0,99.0,43.0,27.0,25.03,14.25,26.35,23.13
Calaveras,646.0,305.0,75.0,39.0,30.0,197.0,9.0,809.0,501.0,308.0,221.0,210.0,6.0,5.0,27.3,22.29,11.61,34.21,32.51
Colusa,217.0,106.0,24.0,14.0,7.0,66.0,11.7,178.0,101.0,77.0,34.0,34.0,0.0,0.0,22.3,20.74,11.06,15.67,15.67
Contra Costa,8731.0,4498.0,746.0,470.0,318.0,2699.0,11.0,6900.0,5537.0,1363.0,717.0,422.0,170.0,125.0,35.7,17.57,8.54,8.21,4.83
Del Norte,599.0,302.0,91.0,23.0,17.0,166.0,12.3,741.0,473.0,268.0,219.0,208.0,8.0,3.0,27.0,21.87,15.19,36.56,34.72
El Dorado,1705.0,757.0,242.0,89.0,51.0,566.0,9.7,2302.0,1221.0,1081.0,466.0,419.0,27.0,20.0,27.3,22.4,14.19,27.33,24.57
Fresno,17806.0,5904.0,2655.0,1639.0,942.0,6666.0,7.7,22292.0,19371.0,2921.0,2556.0,1644.0,535.0,377.0,47.7,29.41,14.91,14.35,9.23
Glenn,388.0,174.0,59.0,18.0,16.0,121.0,9.7,472.0,288.0,184.0,80.0,73.0,3.0,4.0,21.0,23.97,15.21,20.62,18.81
Humboldt,3356.0,1575.0,462.0,208.0,131.0,980.0,9.0,3549.0,1946.0,1603.0,984.0,890.0,64.0,30.0,30.7,23.87,13.77,29.32,26.52
Imperial,3332.0,1473.0,592.0,182.0,128.0,957.0,9.0,4707.0,3106.0,1601.0,1040.0,929.0,64.0,47.0,23.3,27.07,17.77,31.21,27.88
Inyo,243.0,102.0,30.0,20.0,16.0,75.0,9.0,300.0,163.0,137.0,90.0,79.0,8.0,3.0,26.0,27.16,12.35,37.04,32.51
Kern,18023.0,6485.0,3701.0,1251.0,736.0,5850.0,12.7,20427.0,12953.0,7474.0,3537.0,2993.0,345.0,199.0,18.3,31.56,20.53,19.62,16.61
Kings,2714.0,953.0,625.0,176.0,82.0,878.0,8.0,3080.0,1982.0,1098.0,678.0,609.0,46.0,23.0,24.3,32.54,23.03,24.98,22.44
