Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2015 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 05JAN2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,444267.0,209978.0,56736.0,22634.0,14886.0,140033.0,11.5,501241.0,373625.0,127616.0,72448.0,57150.0,9560.0,5738.0,29.7,21.22,12.77,16.31,12.86
Alameda,15659.0,7441.0,1622.0,876.0,614.0,5106.0,17.3,16588.0,12527.0,4061.0,2077.0,1187.0,534.0,356.0,40.7,19.87,10.36,13.26,7.58
Alpine,16.0,9.0,0.0,1.0,0.0,6.0,5.7,35.0,18.0,17.0,2.0,2.0,0.0,0.0,35.7,6.25,0.0,12.5,12.5
Amador,457.0,244.0,66.0,21.0,15.0,111.0,9.3,560.0,319.0,241.0,145.0,127.0,11.0,7.0,26.7,22.32,14.44,31.73,27.79
Butte,4323.0,2169.0,621.0,184.0,156.0,1193.0,16.0,4778.0,2824.0,1954.0,1391.0,1237.0,94.0,60.0,27.3,22.23,14.37,32.18,28.61
Calaveras,663.0,357.0,77.0,37.0,20.0,172.0,10.7,901.0,557.0,344.0,163.0,139.0,15.0,9.0,21.3,20.21,11.61,24.59,20.97
Colusa,191.0,101.0,26.0,10.0,5.0,49.0,19.7,257.0,114.0,143.0,94.0,78.0,14.0,2.0,28.0,21.47,13.61,49.21,40.84
Contra Costa,9121.0,4987.0,805.0,447.0,310.0,2572.0,11.7,8259.0,6376.0,1883.0,1027.0,609.0,249.0,169.0,40.3,17.13,8.83,11.26,6.68
Del Norte,638.0,297.0,137.0,19.0,17.0,168.0,14.7,779.0,513.0,266.0,262.0,248.0,9.0,5.0,28.3,27.12,21.47,41.07,38.87
El Dorado,1938.0,989.0,255.0,103.0,65.0,526.0,8.3,2102.0,1144.0,958.0,502.0,447.0,33.0,22.0,27.7,21.83,13.16,25.9,23.07
Fresno,17443.0,6865.0,2456.0,1197.0,719.0,6206.0,7.3,25448.0,21827.0,3621.0,2856.0,1838.0,609.0,409.0,43.3,25.06,14.08,16.37,10.54
Glenn,394.0,220.0,48.0,17.0,16.0,93.0,8.0,429.0,247.0,182.0,63.0,58.0,3.0,2.0,22.0,20.56,12.18,15.99,14.72
Humboldt,3274.0,1906.0,378.0,132.0,78.0,780.0,8.7,3257.0,1767.0,1490.0,865.0,779.0,58.0,28.0,32.0,17.96,11.55,26.42,23.79
Imperial,3619.0,1684.0,549.0,184.0,116.0,1086.0,12.7,5127.0,3614.0,1513.0,1014.0,908.0,67.0,39.0,22.7,23.46,15.17,28.02,25.09
Inyo,224.0,92.0,29.0,18.0,8.0,77.0,5.7,302.0,166.0,136.0,77.0,68.0,5.0,4.0,26.7,24.55,12.95,34.38,30.36
Kern,17788.0,7658.0,3165.0,912.0,559.0,5494.0,12.3,18417.0,12461.0,5956.0,3627.0,3120.0,344.0,163.0,18.7,26.06,17.79,20.39,17.54
Kings,2553.0,1089.0,496.0,119.0,85.0,764.0,11.3,2890.0,1868.0,1022.0,818.0,739.0,48.0,31.0,26.0,27.42,19.43,32.04,28.95
