Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2015 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 09SEP2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,340561.0,152786.0,51678.0,20614.0,12581.0,102902.0,12.1,405457.0,288526.0,116931.0,73729.0,57709.0,10121.0,5899.0,29.2,24.92,15.17,21.65,16.95
Alameda,12933.0,6047.0,1438.0,784.0,484.0,4180.0,13.7,15048.0,10864.0,4184.0,1995.0,1113.0,529.0,353.0,40.7,20.92,11.12,15.43,8.61
Alpine,14.0,7.0,0.0,1.0,0.0,6.0,12.3,27.0,17.0,10.0,1.0,1.0,0.0,0.0,27.0,7.14,0.0,7.14,7.14
Amador,458.0,233.0,48.0,31.0,23.0,123.0,10.3,610.0,355.0,255.0,189.0,167.0,10.0,12.0,27.0,22.27,10.48,41.27,36.46
Butte,4526.0,2310.0,688.0,247.0,158.0,1123.0,17.7,4745.0,2775.0,1970.0,1201.0,1069.0,94.0,38.0,26.0,24.15,15.2,26.54,23.62
Calaveras,596.0,299.0,72.0,31.0,20.0,174.0,12.7,904.0,538.0,366.0,190.0,160.0,24.0,6.0,25.0,20.64,12.08,31.88,26.85
Colusa,229.0,88.0,29.0,11.0,2.0,99.0,28.0,275.0,130.0,145.0,84.0,72.0,8.0,4.0,23.3,18.34,12.66,36.68,31.44
Contra Costa,8446.0,4465.0,897.0,399.0,268.0,2417.0,13.0,8240.0,6135.0,2105.0,1105.0,675.0,260.0,170.0,41.0,18.52,10.62,13.08,7.99
Del Norte,605.0,300.0,96.0,30.0,19.0,160.0,13.3,728.0,451.0,277.0,219.0,204.0,8.0,7.0,26.3,23.97,15.87,36.2,33.72
El Dorado,1845.0,905.0,247.0,106.0,72.0,515.0,10.0,2372.0,1239.0,1133.0,491.0,436.0,35.0,20.0,27.0,23.04,13.39,26.61,23.63
Fresno,17836.0,6312.0,2940.0,1407.0,800.0,6377.0,8.0,28051.0,23899.0,4152.0,3538.0,2340.0,746.0,452.0,48.0,28.86,16.48,19.84,13.12
Glenn,350.0,156.0,53.0,15.0,16.0,110.0,10.7,512.0,302.0,210.0,75.0,62.0,9.0,4.0,20.0,24.0,15.14,21.43,17.71
Humboldt,3390.0,1948.0,417.0,147.0,104.0,774.0,10.0,3420.0,1826.0,1594.0,1023.0,913.0,71.0,39.0,30.3,19.71,12.3,30.18,26.93
Imperial,3231.0,1559.0,532.0,146.0,92.0,902.0,10.3,4304.0,2893.0,1411.0,820.0,738.0,49.0,33.0,22.7,23.83,16.47,25.38,22.84
Inyo,261.0,104.0,35.0,14.0,12.0,96.0,5.0,355.0,205.0,150.0,88.0,85.0,3.0,0.0,27.7,23.37,13.41,33.72,32.57
Kern,17827.0,6974.0,3648.0,1108.0,710.0,5387.0,12.7,20484.0,13464.0,7020.0,4400.0,3795.0,440.0,165.0,19.3,30.66,20.46,24.68,21.29
Kings,2590.0,920.0,620.0,165.0,108.0,777.0,10.0,3260.0,2131.0,1129.0,793.0,704.0,64.0,25.0,24.0,34.48,23.94,30.62,27.18
