Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q1 (January - March) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 09SEP2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,452537.0,218651.0,52803.0,22018.0,14769.0,144296.0,11.4,462821.0,319577.0,143244.0,68182.0,51247.0,10519.0,6416.0,29.8,19.78,11.66,15.05,11.32
Alameda,14795.0,6977.0,1628.0,898.0,560.0,4732.0,10.3,15926.0,11778.0,4148.0,1929.0,1098.0,507.0,324.0,40.0,20.86,11.0,13.04,7.42
Alpine,15.0,10.0,0.0,0.0,0.0,5.0,8.0,17.0,5.0,12.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,6.67,0.0
Amador,459.0,222.0,60.0,29.0,22.0,126.0,10.3,636.0,387.0,249.0,154.0,134.0,13.0,7.0,27.7,24.18,13.07,33.55,29.19
Butte,4659.0,2384.0,676.0,211.0,153.0,1235.0,18.0,4928.0,2964.0,1964.0,1245.0,1121.0,86.0,38.0,27.3,22.32,14.51,26.72,24.06
Calaveras,594.0,279.0,58.0,43.0,29.0,185.0,11.3,931.0,523.0,408.0,228.0,196.0,23.0,9.0,27.7,21.89,9.76,38.38,33.0
Colusa,220.0,112.0,23.0,9.0,9.0,67.0,27.0,198.0,92.0,106.0,62.0,55.0,6.0,1.0,24.3,18.64,10.45,28.18,25.0
Contra Costa,9015.0,4846.0,876.0,449.0,289.0,2555.0,11.3,7699.0,5900.0,1799.0,900.0,562.0,206.0,132.0,39.0,17.9,9.72,9.98,6.23
Del Norte,585.0,291.0,99.0,16.0,19.0,160.0,14.0,729.0,479.0,250.0,238.0,222.0,9.0,7.0,28.3,22.91,16.92,40.68,37.95
El Dorado,1914.0,956.0,226.0,92.0,63.0,577.0,10.0,2260.0,1188.0,1072.0,487.0,429.0,37.0,21.0,28.0,19.91,11.81,25.44,22.41
Fresno,17499.0,6524.0,2676.0,1266.0,816.0,6217.0,7.7,24063.0,20484.0,3579.0,2601.0,1729.0,531.0,341.0,48.3,27.19,15.29,14.86,9.88
Glenn,417.0,203.0,62.0,18.0,19.0,115.0,8.3,460.0,291.0,169.0,91.0,89.0,2.0,0.0,21.7,23.74,14.87,21.82,21.34
Humboldt,3337.0,1819.0,466.0,164.0,121.0,767.0,10.7,3471.0,1927.0,1544.0,1066.0,971.0,70.0,25.0,31.3,22.51,13.96,31.94,29.1
Imperial,3265.0,1569.0,568.0,154.0,136.0,838.0,10.0,4577.0,3135.0,1442.0,966.0,838.0,83.0,45.0,23.0,26.28,17.4,29.59,25.67
Inyo,229.0,120.0,32.0,9.0,9.0,59.0,7.3,313.0,187.0,126.0,83.0,77.0,4.0,2.0,26.0,21.83,13.97,36.24,33.62
Kern,18339.0,7482.0,3591.0,1102.0,668.0,5496.0,12.7,19365.0,12721.0,6644.0,3985.0,3414.0,397.0,174.0,19.7,29.23,19.58,21.73,18.62
Kings,2627.0,1011.0,563.0,143.0,82.0,828.0,9.0,3178.0,2009.0,1169.0,650.0,567.0,56.0,27.0,27.0,30.0,21.43,24.74,21.58
