Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 02FEB2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,451240.0,213002.0,68166.0,25007.0,16334.0,128731.0,11.1,508704.0,353013.0,155691.0,73066.0,53204.0,12510.0,7352.0,29.6,24.27,15.11,16.19,11.79
Alameda,13725.0,6318.0,1497.0,838.0,533.0,4539.0,8.3,15661.0,11544.0,4117.0,1907.0,1076.0,516.0,315.0,40.0,20.9,10.91,13.89,7.84
Alpine,17.0,6.0,3.0,1.0,0.0,7.0,6.0,15.0,7.0,8.0,1.0,1.0,0.0,0.0,25.3,23.53,17.65,5.88,5.88
Amador,442.0,224.0,42.0,25.0,18.0,133.0,10.0,578.0,308.0,270.0,121.0,111.0,9.0,1.0,25.0,19.23,9.5,27.38,25.11
Butte,4204.0,1973.0,607.0,203.0,150.0,1271.0,15.3,4940.0,2891.0,2049.0,1162.0,1016.0,96.0,50.0,26.3,22.84,14.44,27.64,24.17
Calaveras,588.0,302.0,51.0,39.0,22.0,174.0,12.0,875.0,523.0,352.0,210.0,183.0,15.0,12.0,26.7,19.05,8.67,35.71,31.12
Colusa,204.0,104.0,16.0,7.0,6.0,71.0,18.3,190.0,100.0,90.0,56.0,50.0,4.0,2.0,25.7,14.22,7.84,27.45,24.51
Contra Costa,8474.0,4394.0,831.0,396.0,278.0,2575.0,11.3,7848.0,5967.0,1881.0,944.0,580.0,223.0,141.0,38.7,17.76,9.81,11.14,6.84
Del Norte,528.0,261.0,89.0,20.0,17.0,141.0,12.3,800.0,508.0,292.0,255.0,239.0,13.0,3.0,27.7,23.86,16.86,48.3,45.27
El Dorado,1843.0,876.0,227.0,114.0,85.0,541.0,9.7,2235.0,1187.0,1048.0,484.0,419.0,49.0,16.0,27.0,23.11,12.32,26.26,22.73
Fresno,16593.0,6130.0,2594.0,1136.0,745.0,5988.0,7.3,24697.0,20900.0,3797.0,3088.0,2031.0,619.0,438.0,48.0,26.97,15.63,18.61,12.24
Glenn,394.0,203.0,51.0,15.0,5.0,120.0,8.3,450.0,255.0,195.0,59.0,55.0,2.0,2.0,22.0,18.02,12.94,14.97,13.96
Humboldt,3085.0,1593.0,503.0,148.0,84.0,757.0,9.0,3461.0,1813.0,1648.0,911.0,820.0,61.0,30.0,29.3,23.82,16.3,29.53,26.58
Imperial,3594.0,1529.0,636.0,189.0,148.0,1092.0,10.3,5346.0,3651.0,1695.0,1085.0,930.0,106.0,49.0,22.3,27.07,17.7,30.19,25.88
Inyo,252.0,105.0,33.0,18.0,10.0,86.0,7.7,296.0,176.0,120.0,82.0,76.0,3.0,3.0,27.3,24.21,13.1,32.54,30.16
Kern,17450.0,6926.0,3596.0,1026.0,649.0,5253.0,12.3,20758.0,13292.0,7466.0,4083.0,3449.0,436.0,198.0,18.3,30.21,20.61,23.4,19.77
Kings,2421.0,915.0,541.0,139.0,87.0,739.0,8.3,3146.0,1981.0,1165.0,755.0,659.0,65.0,31.0,26.0,31.68,22.35,31.19,27.22
