Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 14MAR2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
California,479396.0,228870.0,67880.0,26726.0,16256.0,139664.0,12.5,533014.0,378210.0,154804.0,73976.0,55846.0,11307.0,6823.0,30.6,23.13,14.16,15.43,11.65
Alameda,14722.0,6841.0,1617.0,906.0,533.0,4825.0,7.0,14763.0,10706.0,4057.0,1920.0,1138.0,490.0,292.0,41.3,20.76,10.98,13.04,7.73
Alpine,14.0,6.0,1.0,0.0,3.0,4.0,9.0,17.0,6.0,11.0,1.0,0.0,1.0,0.0,13.0,28.57,7.14,7.14,0.0
Amador,395.0,194.0,40.0,18.0,9.0,134.0,10.7,553.0,320.0,233.0,98.0,84.0,11.0,3.0,25.0,16.96,10.13,24.81,21.27
Butte,5147.0,2660.0,741.0,262.0,182.0,1302.0,19.7,5216.0,2977.0,2239.0,1360.0,1200.0,107.0,53.0,29.0,23.02,14.4,26.42,23.31
Calaveras,621.0,350.0,54.0,31.0,28.0,158.0,12.7,868.0,497.0,371.0,221.0,191.0,22.0,8.0,27.7,18.2,8.7,35.59,30.76
Colusa,193.0,104.0,25.0,8.0,4.0,52.0,24.7,153.0,85.0,68.0,49.0,44.0,4.0,1.0,23.3,19.17,12.95,25.39,22.8
Contra Costa,9066.0,4821.0,746.0,405.0,302.0,2792.0,13.0,7739.0,5892.0,1847.0,813.0,475.0,218.0,120.0,41.7,16.03,8.23,8.97,5.24
Del Norte,587.0,270.0,121.0,30.0,14.0,152.0,13.7,770.0,463.0,307.0,215.0,200.0,8.0,7.0,27.7,28.11,20.61,36.63,34.07
El Dorado,1794.0,893.0,261.0,101.0,50.0,489.0,11.3,2319.0,1236.0,1083.0,514.0,453.0,39.0,22.0,30.0,22.97,14.55,28.65,25.25
Fresno,18862.0,7100.0,2900.0,1459.0,853.0,6550.0,8.3,25329.0,21159.0,4170.0,3302.0,2193.0,654.0,455.0,48.7,27.63,15.37,17.51,11.63
Glenn,337.0,185.0,42.0,12.0,5.0,93.0,12.0,437.0,258.0,179.0,69.0,61.0,5.0,3.0,21.3,17.51,12.46,20.47,18.1
Humboldt,3740.0,2159.0,413.0,187.0,113.0,868.0,11.0,3879.0,2035.0,1844.0,1126.0,1006.0,75.0,45.0,32.0,19.06,11.04,30.11,26.9
Imperial,3932.0,1716.0,624.0,201.0,140.0,1251.0,10.7,5531.0,3781.0,1750.0,1037.0,917.0,85.0,35.0,23.3,24.54,15.87,26.37,23.32
Inyo,241.0,103.0,39.0,11.0,9.0,79.0,6.7,346.0,192.0,154.0,87.0,85.0,1.0,1.0,27.7,24.48,16.18,36.1,35.27
Kern,19143.0,7360.0,3974.0,1150.0,702.0,5957.0,12.7,20896.0,13399.0,7497.0,4130.0,3457.0,456.0,217.0,19.7,30.43,20.76,21.57,18.06
Kings,2734.0,1068.0,583.0,168.0,112.0,803.0,9.0,3052.0,1909.0,1143.0,701.0,615.0,63.0,23.0,25.7,31.57,21.32,25.64,22.49
