county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
California,452537.0,218651.0,52803.0,22018.0,14769.0,144296.0,11.4,462821.0,319577.0,143244.0,68182.0,51247.0,10519.0,6416.0,29.8,0.1978,0.1166,0.1505,0.11320000000000001,2016,MAR,1.0,1.0,1.0,2016-03-01
Alameda,14795.0,6977.0,1628.0,898.0,560.0,4732.0,10.3,15926.0,11778.0,4148.0,1929.0,1098.0,507.0,324.0,40.0,0.2086,0.11,0.1304,0.0742,2016,MAR,0.03269345931934847,0.034410711700635886,1.0,2016-03-01
Alpine,15.0,10.0,0.0,0.0,0.0,5.0,8.0,17.0,5.0,12.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0667,0.0,2016,MAR,3.314646095236412e-05,3.673126327457051e-05,1.0,2016-03-01
Amador,459.0,222.0,60.0,29.0,22.0,126.0,10.3,636.0,387.0,249.0,154.0,134.0,13.0,7.0,27.7,0.2418,0.1307,0.33549999999999996,0.2919,2016,MAR,0.001014281705142342,0.0013741813789780498,1.0,2016-03-01
Butte,4659.0,2384.0,676.0,211.0,153.0,1235.0,18.0,4928.0,2964.0,1964.0,1245.0,1121.0,86.0,38.0,27.3,0.2232,0.1451,0.2672,0.24059999999999998,2016,MAR,0.010295290771804294,0.010647745024534323,1.0,2016-03-01
Calaveras,594.0,279.0,58.0,43.0,29.0,185.0,11.3,931.0,523.0,408.0,228.0,196.0,23.0,9.0,27.7,0.2189,0.09759999999999999,0.38380000000000003,0.33,2016,MAR,0.001312599853713619,0.002011576829919126,1.0,2016-03-01
Colusa,220.0,112.0,23.0,9.0,9.0,67.0,27.0,198.0,92.0,106.0,62.0,55.0,6.0,1.0,24.3,0.1864,0.1045,0.2818,0.25,2016,MAR,0.00048614809396800704,0.00042781118402146837,1.0,2016-03-01
Contra Costa,9015.0,4846.0,876.0,449.0,289.0,2555.0,11.3,7699.0,5900.0,1799.0,900.0,562.0,206.0,132.0,39.0,0.179,0.09720000000000001,0.0998,0.0623,2016,MAR,0.019921023032370835,0.01663494093828932,1.0,2016-03-01
Del Norte,585.0,291.0,99.0,16.0,19.0,160.0,14.0,729.0,479.0,250.0,238.0,222.0,9.0,7.0,28.3,0.2291,0.16920000000000002,0.4068,0.3795,2016,MAR,0.0012927119771422005,0.0015751229957154062,1.0,2016-03-01
El Dorado,1914.0,956.0,226.0,92.0,63.0,577.0,10.0,2260.0,1188.0,1072.0,487.0,429.0,37.0,21.0,28.0,0.1991,0.11810000000000001,0.2544,0.2241,2016,MAR,0.004229488417521661,0.004883097352972316,1.0,2016-03-01
Fresno,17499.0,6524.0,2676.0,1266.0,816.0,6217.0,7.7,24063.0,20484.0,3579.0,2601.0,1729.0,531.0,341.0,48.3,0.27190000000000003,0.15289999999999998,0.14859999999999998,0.09880000000000001,2016,MAR,0.038668661347027976,0.05199202283388178,1.0,2016-03-01
Glenn,417.0,203.0,62.0,18.0,19.0,115.0,8.3,460.0,291.0,169.0,91.0,89.0,2.0,0.0,21.7,0.23739999999999997,0.1487,0.2182,0.2134,2016,MAR,0.0009214716144757225,0.000993904770958967,1.0,2016-03-01
Humboldt,3337.0,1819.0,466.0,164.0,121.0,767.0,10.7,3471.0,1927.0,1544.0,1066.0,971.0,70.0,25.0,31.3,0.22510000000000002,0.1396,0.3194,0.29100000000000004,2016,MAR,0.0073739826798692705,0.007499659695649074,1.0,2016-03-01
Imperial,3265.0,1569.0,568.0,154.0,136.0,838.0,10.0,4577.0,3135.0,1442.0,966.0,838.0,83.0,45.0,23.0,0.26280000000000003,0.174,0.2959,0.25670000000000004,2016,MAR,0.007214879667297922,0.00988935247104172,1.0,2016-03-01
Inyo,229.0,120.0,32.0,9.0,9.0,59.0,7.3,313.0,187.0,126.0,83.0,77.0,4.0,2.0,26.0,0.2183,0.13970000000000002,0.3624,0.3362,2016,MAR,0.0005060359705394255,0.00067628737676121,1.0,2016-03-01
Kern,18339.0,7482.0,3591.0,1102.0,668.0,5496.0,12.7,19365.0,12721.0,6644.0,3985.0,3414.0,397.0,174.0,19.7,0.2923,0.19579999999999997,0.2173,0.1862,2016,MAR,0.040524863160360365,0.04184123019482694,1.0,2016-03-01
Kings,2627.0,1011.0,563.0,143.0,82.0,828.0,9.0,3178.0,2009.0,1169.0,650.0,567.0,56.0,27.0,27.0,0.3,0.2143,0.24739999999999998,0.2158,2016,MAR,0.005805050194790702,0.006866585569799123,1.0,2016-03-01
