county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
California,469634.0,228043.0,66874.0,26922.0,16148.0,131647.0,13.5,492149.0,366688.0,125461.0,75995.0,60390.0,9902.0,5703.0,30.3,0.2341,0.1424,0.1618,0.1286,2014,MAR,1.0,1.0,1.0,2014-03-01
Alameda,14457.0,6960.0,1688.0,990.0,619.0,4200.0,16.7,15113.0,10854.0,4259.0,2275.0,1277.0,616.0,382.0,42.7,0.2281,0.1168,0.1574,0.0883,2014,MAR,0.030783546336082993,0.03070817983984525,1.0,2014-03-01
Alpine,25.0,17.0,1.0,1.0,1.0,5.0,6.7,30.0,9.0,21.0,3.0,2.0,0.0,1.0,28.7,0.12,0.04,0.12,0.08,2014,MAR,5.323294310037178e-05,6.095714915604827e-05,1.0,2014-03-01
Amador,438.0,215.0,75.0,29.0,11.0,108.0,12.3,599.0,350.0,249.0,140.0,121.0,16.0,3.0,25.0,0.2626,0.17120000000000002,0.3196,0.2763,2014,MAR,0.0009326411631185136,0.001217111078149097,1.0,2014-03-01
Butte,4029.0,2138.0,536.0,193.0,132.0,1030.0,16.7,4358.0,2564.0,1794.0,1389.0,1254.0,89.0,46.0,27.3,0.2137,0.133,0.3448,0.31120000000000003,2014,MAR,0.008579021110055917,0.008855041867401945,1.0,2014-03-01
Calaveras,655.0,366.0,85.0,32.0,17.0,155.0,11.7,886.0,541.0,345.0,172.0,141.0,22.0,9.0,23.0,0.2046,0.1298,0.2626,0.21530000000000002,2014,MAR,0.0013947031092297407,0.0018002678050752922,1.0,2014-03-01
Colusa,264.0,106.0,29.0,16.0,16.0,97.0,34.3,230.0,118.0,112.0,85.0,75.0,6.0,4.0,26.3,0.2311,0.10980000000000001,0.322,0.2841,2014,MAR,0.000562139879139926,0.0004673381435297034,1.0,2014-03-01
Contra Costa,8542.0,4733.0,786.0,416.0,235.0,2372.0,14.0,8205.0,6405.0,1800.0,973.0,608.0,222.0,143.0,39.7,0.16820000000000002,0.092,0.1139,0.0712,2014,MAR,0.01818863199853503,0.016671780294179202,1.0,2014-03-01
Del Norte,564.0,250.0,110.0,26.0,19.0,159.0,14.3,816.0,496.0,320.0,223.0,202.0,14.0,7.0,26.3,0.2748,0.195,0.3954,0.3582,2014,MAR,0.0012009351963443873,0.001658034457044513,1.0,2014-03-01
El Dorado,2047.0,1113.0,230.0,98.0,67.0,539.0,11.0,2188.0,1145.0,1043.0,473.0,410.0,45.0,18.0,27.7,0.193,0.1124,0.2311,0.2003,2014,MAR,0.004358713381058441,0.004445808078447787,1.0,2014-03-01
Fresno,18865.0,7287.0,2862.0,1386.0,954.0,6376.0,8.7,25804.0,22189.0,3615.0,3118.0,2062.0,634.0,422.0,46.0,0.2757,0.1517,0.1653,0.1093,2014,MAR,0.04016957886354054,0.05243127589408898,1.0,2014-03-01
Glenn,427.0,192.0,65.0,22.0,18.0,130.0,12.3,526.0,304.0,222.0,102.0,84.0,10.0,8.0,25.0,0.2459,0.1522,0.2389,0.1967,2014,MAR,0.0009092186681543499,0.001068782015202713,1.0,2014-03-01
Humboldt,3612.0,2265.0,397.0,147.0,81.0,722.0,11.0,2981.0,1720.0,1261.0,841.0,753.0,58.0,30.0,31.7,0.17300000000000001,0.1099,0.2328,0.20850000000000002,2014,MAR,0.007691095619141715,0.00605710872113933,1.0,2014-03-01
Imperial,3479.0,1819.0,513.0,149.0,95.0,903.0,15.0,4018.0,2835.0,1183.0,798.0,709.0,57.0,32.0,23.0,0.21760000000000002,0.1475,0.22940000000000002,0.20379999999999998,2014,MAR,0.007407896361847736,0.00816419417696673,1.0,2014-03-01
Inyo,287.0,134.0,34.0,15.0,14.0,90.0,8.0,375.0,200.0,175.0,97.0,89.0,5.0,3.0,27.3,0.2195,0.1185,0.33799999999999997,0.31010000000000004,2014,MAR,0.000611114186792268,0.0007619643644506033,1.0,2014-03-01
Kern,17097.0,6729.0,3614.0,1030.0,650.0,5074.0,14.7,18973.0,12455.0,6518.0,4273.0,3579.0,465.0,229.0,20.7,0.3096,0.2114,0.24989999999999998,0.20929999999999999,2014,MAR,0.036404945127482255,0.038551333031256796,1.0,2014-03-01
Kings,2620.0,1008.0,569.0,174.0,91.0,778.0,15.0,3191.0,2047.0,1144.0,961.0,882.0,51.0,28.0,25.7,0.31829999999999997,0.21719999999999998,0.3668,0.33659999999999995,2014,MAR,0.005578812436918963,0.006483808765231668,1.0,2014-03-01
Lake,1323.0,768.0,92.0,54.0,50.0,359.0,13.7,1668.0,1033.0,635.0,480.0,413.0,51.0,16.0,31.3,0.1481,0.0695,0.3628,0.3122,2014,MAR,0.0028170873488716744,0.0033892174930762837,1.0,2014-03-01
Lassen,421.0,243.0,37.0,13.0,9.0,119.0,18.7,559.0,304.0,255.0,100.0,87.0,8.0,5.0,27.0,0.1401,0.08789999999999999,0.2375,0.20670000000000002,2014,MAR,0.0008964427618102607,0.001135834879274366,1.0,2014-03-01
Los Angeles,117017.0,62400.0,14254.0,6832.0,3483.0,30048.0,14.0,98987.0,82901.0,16086.0,1314.0,958.0,233.0,123.0,30.3,0.21,0.12179999999999999,0.011200000000000002,0.82,2014,MAR,0.24916637211104817,0.201132177450325,1.0,2014-03-01
Madera,2829.0,1181.0,493.0,178.0,124.0,853.0,17.7,3911.0,2710.0,1201.0,754.0,658.0,69.0,27.0,26.0,0.281,0.1743,0.26649999999999996,0.23260000000000003,2014,MAR,0.00602383984123807,0.007946780344976825,1.0,2014-03-01
Marin,1441.0,775.0,211.0,57.0,58.0,340.0,12.7,1589.0,941.0,648.0,380.0,328.0,35.0,17.0,29.7,0.2262,0.1464,0.2637,0.22760000000000002,2014,MAR,0.0030683468403054294,0.00322869700029869,1.0,2014-03-01
Mariposa,269.0,139.0,49.0,16.0,6.0,59.0,18.3,313.0,172.0,141.0,56.0,51.0,1.0,4.0,24.0,0.2639,0.1822,0.2082,0.18960000000000002,2014,MAR,0.0005727864677600004,0.0006359862561947703,1.0,2014-03-01
Mendocino,1509.0,678.0,259.0,104.0,77.0,391.0,10.7,2081.0,1164.0,917.0,643.0,536.0,69.0,38.0,30.7,0.2916,0.1716,0.4261,0.3552,2014,MAR,0.0032131404455384405,0.004228394246457882,1.0,2014-03-01
Merced,5238.0,2072.0,909.0,383.0,222.0,1652.0,15.3,7618.0,5198.0,2420.0,2074.0,1850.0,184.0,40.0,28.0,0.289,0.17350000000000002,0.396,0.3532,2014,MAR,0.011153366238389894,0.015479052075692524,1.0,2014-03-01
Modoc,142.0,74.0,25.0,11.0,7.0,25.0,15.7,164.0,84.0,80.0,44.0,39.0,1.0,4.0,22.7,0.3028,0.1761,0.3099,0.2746,2014,MAR,0.0003023631168101117,0.0003332324153863972,1.0,2014-03-01
