county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
California,469692.0,224434.0,60129.0,23658.0,14956.0,146515.0,12.1,510134.0,375589.0,134545.0,72687.0,57867.0,9279.0,5541.0,30.6,0.210229256619,0.128017935158,0.154754605145,0.123202013234,2015,SEP,1.0,1.0,3.0,2015-09-01
Alameda,15733.0,7607.0,1635.0,879.0,578.0,5034.0,16.0,15583.0,11413.0,4170.0,1790.0,1058.0,453.0,279.0,41.7,0.196529587491,0.103921693256,0.113773596898,0.0672471874404,2015,SEP,0.033496418929851904,0.030546875918876216,3.0,2015-09-01
Alpine,17.0,11.0,0.0,1.0,0.0,5.0,5.3,33.0,18.0,15.0,0.0,0.0,0.0,0.0,29.7,0.0588235294118,0.0,0.0,0.0,2015,SEP,3.61939313422413e-05,6.468888566533499e-05,3.0,2015-09-01
Amador,467.0,238.0,74.0,19.0,17.0,119.0,13.7,563.0,326.0,237.0,154.0,135.0,10.0,9.0,26.7,0.235546038544,0.158458244111,0.329764453961,0.289079229122,2015,SEP,0.0009942685845192169,0.0011036315948358666,3.0,2015-09-01
Butte,4947.0,2601.0,731.0,230.0,159.0,1226.0,19.0,4966.0,2889.0,2077.0,1262.0,1120.0,100.0,42.0,27.7,0.226399838286,0.147766323024,0.255104103497,0.226399838286,2015,SEP,0.010532434020592217,0.009734697158001623,3.0,2015-09-01
Calaveras,643.0,356.0,72.0,31.0,19.0,165.0,10.7,901.0,524.0,377.0,173.0,151.0,15.0,7.0,25.3,0.189735614308,0.111975116641,0.269051321928,0.234836702955,2015,SEP,0.001368982226650656,0.0017662026055899039,3.0,2015-09-01
Colusa,209.0,111.0,31.0,12.0,5.0,50.0,20.3,219.0,99.0,120.0,77.0,69.0,7.0,1.0,28.7,0.22966507177,0.148325358852,0.368421052632,0.33014354067,2015,SEP,0.0004449724500310842,0.00042929896850631404,3.0,2015-09-01
Contra Costa,9842.0,5470.0,839.0,441.0,267.0,2825.0,12.7,8634.0,6663.0,1971.0,1029.0,639.0,236.0,154.0,43.3,0.157183499289,0.0852469010364,0.104551920341,0.0649258280837,2015,SEP,0.020954157192372876,0.016924964813166736,3.0,2015-09-01
Del Norte,654.0,352.0,85.0,25.0,18.0,174.0,12.3,736.0,455.0,281.0,222.0,207.0,10.0,5.0,28.3,0.195718654434,0.12996941896,0.339449541284,0.316513761468,2015,SEP,0.001392401829283871,0.001442758177263229,3.0,2015-09-01
El Dorado,1988.0,1067.0,253.0,97.0,62.0,509.0,9.7,2243.0,1223.0,1020.0,529.0,463.0,46.0,20.0,28.3,0.207243460765,0.127263581489,0.266096579477,0.232897384306,2015,SEP,0.004232560912257394,0.004396883955980193,3.0,2015-09-01
