The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
00 Statewide,n/a,2012,2012/13,1898515.917,1831759.5,4164676,4062300.167,141407,2184693,372370,1268115,0,0,38041489,6594782,9224959,3775905,1176286,0.105,7121279.818
01 Alameda,CalWIN,2012,2012/13,62847.66667,61652.75,126162.4167,124449,5848,61164,11499,36077,0,0,1554446,268678,339034,134661,48146,0.09,220282.4062
02 Alpine,C-IV,2012,2012/13,82.08333333,82.25,147,145.9166667,9,53,2,0,0,0,1166,310,242,24,41,0.133,194.8231579
03 Amador,C-IV,2012,2012/13,1720.166667,1689.583333,3304.333333,3248.416667,182,1230,61,81,0,0,37746,12070,6121,507,654,0.118,4236.603121
04 Butte,C-IV,2012,2012/13,14297.16667,13924.41667,29749.08333,29132.41667,842,12905,1187,2929,0,0,221797,50242,45853,5475,10828,0.122,56950.07135
05 Calaveras,C-IV,2012,2012/13,2543.166667,2499.25,4994.833333,4975.916667,278,1881,66,148,0,0,45305,14799,8279,559,1023,0.13,5990.381522
06 Colusa,C-IV,2012,2012/13,697.3333333,689.4166667,1745.75,1725.583333,39,1055,108,598,0,0,21781,3842,6269,3235,556,0.2,4435.385281
07 Contra Costa,CalWIN,2012,2012/13,33232.5,32725.5,69072.33333,68545.75,2515,35507,6651,15201,0,0,1075665,208340,254628,66528,23603,0.09,135136.6254
08 Del Norte,C-IV,2012,2012/13,2571.166667,2601.5,5245,5379.5,157,2343,173,285,0,0,27996,5991,5952,549,1869,0.134,5695.773792
09 El Dorado,C-IV,2012,2012/13,6299.75,6098.333333,11839.25,11655.25,581,4822,402,864,0,0,181098,43346,39241,3301,2818,0.104,19222.85839
10 Fresno,CalWIN,2012,2012/13,90446.91667,88596.83333,218237.4167,214900,4650,122558,15452,61549,0,0,950634,143065,277286,115573,40171,0.152,283512.8056
11 Glenn,C-IV,2012,2012/13,1414.916667,1382.166667,3515.75,3440.666667,87,1908,231,769,0,0,28508,5548,7763,2433,1128,0.147,6413.054973
12 Humboldt,C-IV,2012,2012/13,8283.666667,8056.75,15678.08333,15352.25,496,6496,685,807,0,0,134840,28927,27212,2104,5740,0.105,32856.86267
13 Imperial,C-IV,2012,2012/13,14327,14065.66667,36785.75,36155.16667,1456,18176,994,17886,0,0,179414,27666,52349,32769,10349,0.283,44744.18953
14 Inyo,C-IV,2012,2012/13,994.5833333,961.75,2000.666667,1953.5,105,879,105,316,0,0,18569,5138,3870,490,396,0.094,2515.101602
15 Kern,C-IV,2012,2012/13,58839.5,57370.25,142745.5,139786.4167,3379,82189,11952,37887,0,0,858271,118079,254266,85452,31095,0.133,213671.261
16 Kings,C-IV,2012,2012/13,9779.5,9586.333333,23223.66667,22918.66667,563,12535,1554,5625,0,0,149973,18817,43993,14061,4729,0.153,33430.73986
17 Lake,C-IV,2012,2012/13,5125.833333,5044,10225.25,10126.25,477,4340,256,790,0,0,64839,17552,13511,1920,3701,0.15,19370.3412
18 Lassen,C-IV,2012,2012/13,1410.666667,1397.416667,2952.25,2943.916667,81,1284,87,70,0,0,33011,5947,5877,704,930,0.126,4471.131513
19 Los Angeles,LRS,2012,2012/13,539760,514477.5833,1123919.667,1088704.25,36571,599556,124537,423844,0,0,9988287,1644011,2359961,1372113,385131,0.109,2021647.948
20 Madera,C-IV,2012,2012/13,10459.16667,10382.16667,26577.75,26415.33333,534,16732,3223,10100,0,0,150814,26206,43195,20218,4441,0.136,38098.68885
21 Marin,C-IV,2012,2012/13,5607.166667,5510.166667,9498.583333,9315.5,758,4358,1245,2958,0,0,255765,66463,52352,11689,3102,0.063,20101.09749
22 Mariposa,C-IV,2012,2012/13,886,862.0833333,1805.166667,1774.583333,83,709,41,47,0,0,18223,5847,3092,155,460,0.11,2847.978871
23 Mendocino,C-IV,2012,2012/13,7083.833333,7084.916667,13414.5,13552.75,591,5727,592,1934,0,0,87976,22168,19247,4188,3238,0.097,19738.82048
24 Merced,C-IV,2012,2012/13,22424.66667,21825.33333,54754.25,53643.41667,1122,30744,4110,15638,0,0,262919,36760,80219,31663,10745,0.17,67910.30696
25 Modoc,C-IV,2012,2012/13,428.25,432.8333333,967.25,1006,25,486,20,78,0,0,9634,2878,2028,280,405,0.135,2460.371816
26 Mono,C-IV,2012,2012/13,391.9166667,429.5833333,657.8333333,695.5,32,326,3,226,0,0,14122,2349,2931,870,102,0.105,2221.050448
27 Monterey,C-IV,2012,2012/13,20129.91667,19397.83333,46251.75,44709.66667,1189,29906,6608,22110,0,0,423881,69907,112042,79767,8502,0.114,80399.99454
28 Napa,C-IV,2012,2012/13,3367.333333,3382.75,7142.583333,7200.833333,292,4244,1098,3019,0,0,138655,30971,30966,12388,2142,0.078,18310.88619
29 Nevada,C-IV,2012,2012/13,3808.5,3634.75,7292.333333,7025.25,314,2726,219,270,0,0,98068,30206,17791,1312,1771,0.094,14198.34296
