"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
00 Statewide,n/a,2012.0,2012/13,1898515.91667,1831759.5,4164676.0,4062300.16667,141407.0,2184693.0,1268115.0,,,38042764.0,6594219.0,9283191.0,3775905.0,1176286.0,0.105,7121279.81808
01 Alameda,CalWIN,2012.0,2012/13,62847.6666667,61652.75,126162.416667,124449.0,5848.0,61164.0,36077.0,,,1554698.0,268702.0,342936.0,134661.0,48146.0,0.09,220282.406243
02 Alpine,C-IV,2012.0,2012/13,82.0833333333,82.25,147.0,145.916666667,9.0,53.0,0.0,,,1166.0,308.0,244.0,24.0,41.0,0.133,194.823157895
03 Amador,C-IV,2012.0,2012/13,1720.16666667,1689.58333333,3304.33333333,3248.41666667,182.0,1230.0,81.0,,,37746.0,12070.0,6160.0,507.0,654.0,0.118,4236.60312105
04 Butte,C-IV,2012.0,2012/13,14297.1666667,13924.4166667,29749.0833333,29132.4166667,842.0,12905.0,2929.0,,,221708.0,50208.0,46570.0,5475.0,10828.0,0.122,56950.0713521
05 Calaveras,C-IV,2012.0,2012/13,2543.16666667,2499.25,4994.83333333,4975.91666667,278.0,1881.0,148.0,,,45305.0,14799.0,8311.0,559.0,1023.0,0.13,5990.38152211
06 Colusa,C-IV,2012.0,2012/13,697.333333333,689.416666667,1745.75,1725.58333333,39.0,1055.0,598.0,,,21781.0,3842.0,6277.0,3235.0,556.0,0.2,4435.38528124
07 Contra Costa,CalWIN,2012.0,2012/13,33232.5,32725.5,69072.3333333,68545.75,2515.0,35507.0,15201.0,,,1075825.0,208355.0,255292.0,66528.0,23603.0,0.09,135136.625367
