"Data on CalFresh population demographics from California Department of Fianance, annual CalFresh households and persons collected from DFA 256, and July data collected from MEDS. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
00 Statewide,n/a,2014.0,2014/15,2101993.58333,2063163.16667,4462182.41667,4428870.83333,215546.0,2288471.0,1343916.0,,,38739800.0,7106208.0,9272748.0,3760183.0,1193089.0,0.075,6980318.99332
01 Alameda,CalWIN,2014.0,2014/15,62337.5,63775.0833333,122416.166667,125982.25,8668.0,61616.0,40005.0,,,1600366.0,291449.0,346513.0,139309.0,47823.0,0.059,214362.749217
02 Alpine,C-IV,2014.0,2014/15,106.5,111.916666667,176.083333333,182.75,14.0,60.0,0.0,,,1163.0,348.0,225.0,23.0,39.0,0.088,227.604
03 Amador,C-IV,2014.0,2014/15,1760.41666667,1753.91666667,3356.91666667,3367.75,227.0,1261.0,97.0,,,37448.0,12635.0,5942.0,559.0,696.0,0.083,5066.8769
04 Butte,C-IV,2014.0,2014/15,16067.75,15499.1666667,31441.3333333,30891.1666667,1414.0,13224.0,2689.0,,,223727.0,52903.0,46428.0,5637.0,10866.0,0.087,54488.4573357
05 Calaveras,C-IV,2014.0,2014/15,2878.75,2754.66666667,5408.75,5204.5,404.0,1846.0,130.0,,,45010.0,15672.0,7813.0,598.0,1056.0,0.081,6481.84314
06 Colusa,C-IV,2014.0,2014/15,697.5,714.833333333,1641.58333333,1694.5,76.0,1007.0,559.0,,,22139.0,4164.0,6190.0,3111.0,563.0,0.175,4329.11113346
07 Contra Costa,CalWIN,2014.0,2014/15,35450.4166667,35192.25,73468.25,73883.5,3571.0,37059.0,16216.0,,,1103248.0,226885.0,253739.0,68215.0,24288.0,0.062,129295.012429
