"Monthly data on CalFresh public assistance households and persons, non-assistance households and persons, CFAP public assistance household and persons, non-assistance household and persons, federal and state issuances, 30 day timeliness, negative error rate, negative error rate cases completed, applications received, and child only households and persons. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,RADEP,CF 296,CF 296,MEDS,MEDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,Fed_PA_HHs,Fed_NA_HHs,CFAP_PA_HHs,CFAP_NA_HHs,All_PA_HHs,All_NA_HHs,CF_HHs,CF_Persons,Fed_PA_Persons,Fed_ NA_Persons,All_Fed_Persons,CFAP_PA_Persons,CFAP_NA_Persons,All_CFAP_Persons,All_PA_Persons,All_NA_Persons,Fed_Issuances,State_Issuances,Total_Issuances,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Rate,Active_Error_Rate,Apps_Recd,Online_Apps_Recd,Child_Only_HHs,Child_Only_Persons
00 Statewide,n/a,January,2014.0,2014.0,2013/14,310591.0,1686837.0,1874.0,15703.0,312465.0,1702540.0,2015005.0,4351103.0,780803.0,3527949.0,4308752.0,6102.0,36249.0,42351.0,786905.0,3564198.0,617412444.96,5225459.5,622637904.46,0.9601,,,0.042,,,346087.0,718310.0
01 Alameda,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,64394.0,128065.0,,,,,,,,,,,,0.8446,,,0.0322,,,10013.0,18895.0
02 Alpine,C-IV,January,2014.0,2014.0,2013/14,,,,,,,109.0,176.0,,,,,,,,,,,,1.0,,,0.0922,,,0.0,0.0
03 Amador,C-IV,January,2014.0,2014.0,2013/14,,,,,,,1752.0,3428.0,,,,,,,,,,,,0.937,,,0.0922,,,62.0,105.0
04 Butte,C-IV,January,2014.0,2014.0,2013/14,,,,,,,14930.0,30348.0,,,,,,,,,,,,0.9321,,,0.0922,,,966.0,1667.0
05 Calaveras,C-IV,January,2014.0,2014.0,2013/14,,,,,,,2654.0,5060.0,,,,,,,,,,,,0.993,,,0.0922,,,102.0,175.0
06 Colusa,C-IV,January,2014.0,2014.0,2013/14,,,,,,,733.0,1749.0,,,,,,,,,,,,0.9565,,,0.0922,,,170.0,382.0
07 Contra Costa,CalWIN,January,2014.0,2014.0,2013/14,,,,,,,34380.0,71039.0,,,,,,,,,,,,0.9101,,,0.0302,,,5672.0,11176.0
