,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,
Data Sources:,,,,,,MEDS (1st month of Qtr.),MEDS (1st month of Qtr.),MEDS (1st month of Qtr.)
,,,,,,,,
County,Consortium,Month,C_Year,FFY,SFY,MC_rec_CF_Pct,CF_Persons_rec_MC,CF_Persons_rec_MC_Pct
00 Statewide,n/a,January,2012.0,2012.0,2012.0,0.39101443183,3127204.0,0.780367270233
01 Alameda,CalWIN,January,2012.0,2012.0,2012.0,0.363714009575,97092.0,0.765070209446
02 Alpine,C-IV,January,2012.0,2012.0,2012.0,0.505494505495,138.0,0.913907284768
03 Amador,C-IV,January,2012.0,2012.0,2012.0,0.465451230629,2553.0,0.831867057674
04 Butte,C-IV,January,2012.0,2012.0,2012.0,0.417395537798,24863.0,0.874810879279
05 Calaveras,C-IV,January,2012.0,2012.0,2012.0,0.49428114623,4019.0,0.814057119708
06 Colusa,C-IV,January,2012.0,2012.0,2012.0,0.299131077833,1618.0,0.8899889989
07 Contra Costa,CalWIN,January,2012.0,2012.0,2012.0,0.35186323781,52650.0,0.762568254566
08 Del Norte,C-IV,January,2012.0,2012.0,2012.0,0.48398205155,4638.0,0.884102173084
09 El Dorado,C-IV,January,2012.0,2012.0,2012.0,0.416470588235,9558.0,0.806990881459
10 Fresno,CalWIN,January,2012.0,2012.0,2012.0,0.534988692538,174348.0,0.803080622205
11 Glenn,C-IV,January,2012.0,2012.0,2012.0,0.389544269216,3137.0,0.901177822465
12 Humboldt,C-IV,January,2012.0,2012.0,2012.0,0.392506377551,12309.0,0.816625754661
13 Imperial,C-IV,January,2012.0,2012.0,2012.0,0.492514093836,31975.0,0.894355560528
14 Inyo,C-IV,January,2012.0,2012.0,2012.0,0.387148410702,1693.0,0.868650590046
15 Kern,C-IV,January,2012.0,2012.0,2012.0,0.464715562583,115216.0,0.832245015891
