,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Percent of Expedited Service Benefits Issued in 1-3 Days (Quarterly %), 2016",,,,,
"Percent of Expedited Service Benefits Issued in 1-3 Days (Quarterly %), 2016",,,,,0.0
,,,,,
,,,,,
Sum of Timeliness_Exped_Pct_Qrtly,,County,,,
C_Year,Quarter,33 Riverside,34 Sacramento,35 San Benito,
2016.0,,,,,
,January,0.9421,0.9898,0.953,
,April,0.9456,0.9921,0.9326,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Percent of Expedited Service Benefits Issued in 1-3 Days (Monthly %), 2018",,,,,
"Percent of Expedited Service Benefits Issued in 1-3 Days (Monthly %), 2018",,,,,0.0
,,,,,
,,,,,
Sum of Timeliness_Exped_Pct_Monthly,,County,,,
Calendar_Year,Month,34 Sacramento,39 San Joaquin,57 Yolo,
2018.0,,,,,
,January,0.9094714809,0.904449307075,0.908212560386,
,February,0.792605430387,0.896060352054,0.856060606061,
,March,0.887361184558,0.918577075099,0.889655172414,
,April,0.914224826851,0.920918367347,0.908536585366,
