,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"CalFresh Households (Annual Average), State Fiscal Year 2016/17",,,,
"CalFresh Households (Annual Average), State Fiscal Year 2016/17",,,,
,,,,
,,,,
Sum of CF_Households_SFY_Avg,Column Labels,,,
Row Labels,01 Alameda,07 Contra Costa,21 Marin,
2016/17,58689.75,32340.3333333,6101.0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"CalFresh Households (Annual Average), Calendar Year 2017",,,,
"CalFresh Households (Annual Average), Calendar Year 2017",,,,
,,,,
,,,,
Sum of CF_Households_CY_Avg,Column Labels,,,
Row Labels,01 Alameda,07 Contra Costa,21 Marin,
2017.0,57278.25,31521.1666667,5969.25,
