,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Source:  Medi-Cal Eligibility Data System (MEDS), June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,1A1_MC_noCF,1A1_MC_CF,1A1_Total_MC,1A1_%noCF,1A1_%CF,1A2_MC_noCF,1A2_MC_CF,1A2_Total_MC,1A2_%noCF,1A2_%CF,1A3_MC_noCF,1A3_MC_CF,1A3_Total_MC,1A3_%noCF,1A3_%CF,1A4_MC_noCF,1A4_MC_CF,1A4_Total_MC,1A4_%noCF,1A4_%CF,1A5_MC_noCF,1A5_MC_CF,1A5_Total_MC,1A5_%noCF,1A5_%CF,1A6_MC_noCF,1A6_MC_CF,1A6_Total_MC,1A6_%noCF,1A6_%CF,1B1_MC_noCF,1B1_MC_CF,1B1_Total_MC,1B1_%noCF,1B1_%CF,1B2_MC_noCF,1B2_MC_CF,1B2_Total_MC,1B2_%noCF,1B2_%CF,1B3_MC_noCF,1B3_MC_CF,1B3_Total_MC,1B3_%noCF,1B3_%CF,1B4_MC_noCF,1B4_MC_CF,1B4_Total_MC,1B4_%noCF,1B4_%CF,1B5_MC_noCF,1B5_MC_CF,1B5_Total_MC,1B5_%noCF,1B5_%CF,2A_MC_noCF,2A_MC_CF,2A_Total_MC,2A_%noCF,2A_%CF,2B_MC_noCF,2B_MC_CF,2B_Total_MC,2B_%noCF,2B_%CF,2C_MC_noCF,2C_MC_CF,2C_Total_MC,2C_%noCF,2C_%CF,2D_MC_noCF,2D_MC_CF,2D_Total_MC,2D_%noCF,2D_%CF,2E_MC_noCF,2E_MC_CF,2E_Total_MC,2E_%noCF,2E_%CF,2F_MC_noCF,2F_MC_CF,2F_Total_MC,2F_%noCF,2F_%CF,3A_MC_noCF,3A_MC_CF,3A_Total_MC,3A_%noCF,3A_%CF,3B_MC_noCF,3B_MC_CF,3B_Total_MC,3B_%noCF,3B_%CF,3C_MC_noCF,3C_MC_CF,3C_Total_MC,3C_%noCF,3C_%CF,3D_MC_noCF,3D_MC_CF,3D_Total_MC,3D_%noCF,3D_%CF
Statewide,428958.0,143180.0,572138.0,0.749745690725,0.250254309275,1565327.0,1054241.0,2619568.0,0.597551581024,0.402448418976,113169.0,959860.0,1073029.0,0.105466860635,0.894533139365,6.0,4.0,10.0,0.6,0.4,50492.0,3883.0,54375.0,0.928588505747,0.0714114942529,4087.0,1316.0,5403.0,0.756431612067,0.243568387933,35.0,15.0,50.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,3984.0,1130.0,5114.0,0.77903793508,0.22096206492,2568115.0,870856.0,3438971.0,0.746768437419,0.253231562581,0.0,0.0,0.0,0.0,0.0,434169.0,298553.0,732722.0,0.592542601423,0.407457398577,0.0,0.0,0.0,0.0,0.0,291204.0,53997.0,345201.0,0.843578089287,0.156421910713,39626.0,8976.0,48602.0,0.81531624213,0.18468375787,2522.0,599.0,3121.0,0.808074335149,0.191925664851,121.0,22.0,143.0,0.846153846154,0.153846153846,1761.0,1206.0,2967.0,0.593528816987,0.406471183013,10313.0,13644.0,23957.0,0.4304796093,0.5695203907,26.0,6.0,32.0,0.8125,0.1875,0.0,0.0,0.0,0.0,0.0
Alameda,26537.0,5247.0,31784.0,0.834916939341,0.165083060659,40211.0,24360.0,64571.0,0.6227408589,0.3772591411,7197.0,24330.0,31527.0,0.228280521458,0.771719478542,0.0,0.0,0.0,0.0,0.0,1325.0,82.0,1407.0,0.941719971571,0.0582800284293,114.0,24.0,138.0,0.826086956522,0.173913043478,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,267.0,1222.0,0.781505728314,0.218494271686,89861.0,23942.0,113803.0,0.789618902841,0.210381097159,0.0,0.0,0.0,0.0,0.0,13780.0,6756.0,20536.0,0.671016751071,0.328983248929,0.0,0.0,0.0,0.0,0.0,7363.0,1721.0,9084.0,0.810546014971,0.189453985029,7376.0,951.0,8327.0,0.885793202834,0.114206797166,27.0,6.0,33.0,0.818181818182,0.181818181818,27.0,1.0,28.0,0.9643,0.0357,145.0,57.0,202.0,0.717821782178,0.282178217822,168.0,328.0,496.0,0.338709677419,0.661290322581,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,6.0,8.0,14.0,0.428571428571,0.571428571429,26.0,53.0,79.0,0.329113924051,0.670886075949,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,92.0,0.521739130435,0.478260869565,0.0,0.0,0.0,0.0,0.0,3.0,17.0,20.0,0.15,0.85,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,168.0,139.0,307.0,0.547231270358,0.452768729642,1010.0,790.0,1800.0,0.561111111111,0.438888888889,68.0,432.0,500.0,0.136,0.864,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.0,823.0,2440.0,0.662704918033,0.337295081967,0.0,0.0,0.0,0.0,0.0,275.0,214.0,489.0,0.562372188139,0.437627811861,0.0,0.0,0.0,0.0,0.0,181.0,20.0,201.0,0.900497512438,0.0995024875622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,1824.0,997.0,2821.0,0.646579227224,0.353420772776,8538.0,8060.0,16598.0,0.51439932522,0.48560067478,582.0,6063.0,6645.0,0.0875846501129,0.912415349887,0.0,0.0,0.0,0.0,0.0,267.0,15.0,282.0,0.946808510638,0.0531914893617,30.0,11.0,41.0,0.731707317073,0.268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,15481.0,8283.0,23764.0,0.65144756775,0.34855243225,0.0,0.0,0.0,0.0,0.0,2270.0,2022.0,4292.0,0.528890959925,0.471109040075,0.0,0.0,0.0,0.0,0.0,1345.0,164.0,1509.0,0.891318754142,0.108681245858,47.0,1.0,48.0,0.979166666667,0.0208333333333,2.0,1.0,3.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,48.0,27.0,75.0,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,218.0,241.0,459.0,0.474945533769,0.525054466231,1407.0,1100.0,2507.0,0.561228560032,0.438771439968,110.0,730.0,840.0,0.130952380952,0.869047619048,0.0,0.0,0.0,0.0,0.0,20.0,3.0,23.0,0.869565217391,0.130434782609,3.0,2.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.0,1503.0,3755.0,0.599733688415,0.400266311585,0.0,0.0,0.0,0.0,0.0,347.0,262.0,609.0,0.569786535304,0.430213464696,0.0,0.0,0.0,0.0,0.0,268.0,35.0,303.0,0.884488448845,0.115511551155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,31.0,0.0322580645161,0.967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colusa,286.0,68.0,354.0,0.80790960452,0.19209039548,1462.0,529.0,1991.0,0.734304369663,0.265695630337,94.0,297.0,391.0,0.240409207161,0.759590792839,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,1.0,0.0,1746.0,284.0,2030.0,0.860098522167,0.139901477833,0.0,0.0,0.0,0.0,0.0,553.0,147.0,700.0,0.79,0.21,0.0,0.0,0.0,0.0,0.0,449.0,25.0,474.0,0.947257383966,0.0527426160338,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.5,11.0,5.0,16.0,0.6875,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa,12928.0,2193.0,15121.0,0.854969909398,0.145030090602,34681.0,15263.0,49944.0,0.694397725453,0.305602274547,2919.0,14449.0,17368.0,0.168067710732,0.831932289268,0.0,0.0,0.0,0.0,0.0,1402.0,116.0,1518.0,0.923583662714,0.0764163372859,91.0,27.0,118.0,0.771186440678,0.228813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,35.0,268.0,0.869402985075,0.130597014925,56231.0,11826.0,68057.0,0.826233892179,0.173766107821,0.0,0.0,0.0,0.0,0.0,9924.0,4496.0,14420.0,0.688210818308,0.311789181692,0.0,0.0,0.0,0.0,0.0,5390.0,989.0,6379.0,0.844960025082,0.155039974918,8307.0,2191.0,10498.0,0.791293579729,0.208706420271,14.0,1.0,15.0,0.933333333333,0.0666666666667,13.0,2.0,15.0,0.866666666667,0.133333333333,67.0,13.0,80.0,0.8375,0.1625,82.0,126.0,208.0,0.394230769231,0.605769230769,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Norte,345.0,255.0,600.0,0.575,0.425,947.0,1214.0,2161.0,0.438223044887,0.561776955113,101.0,1617.0,1718.0,0.0587892898719,0.941210710128,0.0,0.0,0.0,0.0,0.0,45.0,1.0,46.0,0.978260869565,0.0217391304348,9.0,2.0,11.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663.0,1419.0,3082.0,0.539584685269,0.460415314731,0.0,0.0,0.0,0.0,0.0,265.0,288.0,553.0,0.479204339964,0.520795660036,0.0,0.0,0.0,0.0,0.0,166.0,33.0,199.0,0.834170854271,0.165829145729,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,942.0,535.0,1477.0,0.637779282329,0.362220717671,4857.0,3068.0,7925.0,0.612870662461,0.387129337539,180.0,1747.0,1927.0,0.0934094447327,0.906590555267,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,1.0,0.0,6.0,4.0,10.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8734.0,3513.0,12247.0,0.713154241855,0.286845758145,0.0,0.0,0.0,0.0,0.0,1295.0,749.0,2044.0,0.633561643836,0.366438356164,0.0,0.0,0.0,0.0,0.0,928.0,107.0,1035.0,0.896618357488,0.103381642512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
