"This data table captures the point in time count for Medi-Cal persons, CalFresh persons, and dual enrollment  for Medi-Cal and CalFresh persons. The data table begins in cell A2. ",,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,MEDS MediCal Persons,MEDS CalFresh Persons,Dual Enroll Persons in Medi-Cal and CalFresh
Statewide,,,,,January,41640.0,2014.0,2014.0,2013/14,9881761.0,4410844.0,3567063.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,January,41640.0,2014.0,2014.0,2013/14,334545.0,131269.0,106219.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,January,41640.0,2014.0,2014.0,2013/14,311.0,178.0,149.0
Amador,US-06005,-120.238969,38.46328,C-IV,January,41640.0,2014.0,2014.0,2013/14,6398.0,3427.0,2880.0
Butte,US-06007,-121.5660076,39.723785,C-IV,January,41640.0,2014.0,2014.0,2013/14,66187.0,31356.0,27471.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,January,41640.0,2014.0,2014.0,2013/14,9357.0,5061.0,4208.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,January,41640.0,2014.0,2014.0,2013/14,7042.0,1847.0,1659.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,January,41640.0,2014.0,2014.0,2013/14,194742.0,72463.0,58624.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,January,41640.0,2014.0,2014.0,2013/14,9919.0,5209.0,4657.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,January,41640.0,2014.0,2014.0,2013/14,28494.0,12423.0,10261.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,January,41640.0,2014.0,2014.0,2013/14,368770.0,229512.0,187835.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,January,41640.0,2014.0,2014.0,2013/14,9767.0,3725.0,3397.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,January,41640.0,2014.0,2014.0,2013/14,37612.0,17871.0,15039.0
Imperial,US-06025,-115.058652,33.02615,C-IV,January,41640.0,2014.0,2014.0,2013/14,71807.0,39073.0,34658.0
Inyo,US-06027,-117.7797286,36.626,C-IV,January,41640.0,2014.0,2014.0,2013/14,4796.0,2136.0,1845.0
Kern,US-06029,-118.4426011,35.29441,C-IV,January,41640.0,2014.0,2014.0,2013/14,296442.0,150760.0,128267.0
Kings,US-06031,-119.6135104,36.138775,C-IV,January,41640.0,2014.0,2014.0,2013/14,45056.0,24113.0,21392.0
Lake,US-06033,-122.9624445,39.124455,C-IV,January,41640.0,2014.0,2014.0,2013/14,23414.0,10946.0,9496.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,January,41640.0,2014.0,2014.0,2013/14,6275.0,3201.0,2875.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,January,41640.0,2014.0,2014.0,2013/14,2991244.0,1196972.0,941018.0
Madera,US-06039,-119.84174,37.27052,C-IV,January,41640.0,2014.0,2014.0,2013/14,56570.0,28832.0,26339.0
Marin,US-06041,-122.870429,38.068145,C-IV,January,41640.0,2014.0,2014.0,2013/14,33155.0,10241.0,9188.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,January,41640.0,2014.0,2014.0,2013/14,3966.0,2064.0,1857.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,January,41640.0,2014.0,2014.0,2013/14,31783.0,13898.0,11668.0
