"This data table captures monthly data on unemployment, CalFresh (federal) public assistance households, CalFresh non-assistance households, California Food Assistance Program public assistance households, California Food Assistance Program non-assistance households, the total number of all public assistance households, the total number of all non-public assistance households, CalFresh households, CalFresh persons, CalFresh public assistance persons, CalFresh non-assistance persons, the total number of CalFresh persons, California Food Assistance Program public assistance persons, California Food Assistance Program non-public assistance persons, the total number of California Food Assistance Program persons, CalFresh issuances, State issuances, total number of issuances, Medi-Cal enrollment, timeliness 30 day percentage, timeliness expedited percentage, negative error rate completed cases, negative error rate, active error rate, applications received, online applications received, child only household, and child only persons data. Note, certain cells are blank to meet de-identification guidelines. The data table begins in cell A2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,Unemployment Monthly,Federal Public Assistance Households,Federal Non-Assistance Households,CFAP Public Assistance Households,CFAP Non-Assistance Households,All Public Assistance Households,All Non-Assistance Households,CalFresh Households,CalFresh Persons,Federal Pubic Assistance Persons,Federal Non Assistance Persons,All Federal Persons,CFAP Public Assistance Persons,CFAP Non Assistance Persons,All CFAP Persons,All Public Assistance Persons,All Non-Assistance Persons,Federal Issuances,State Issuances,Total Issuances,Medi-Cal Enrollement ,Timeliness 30 day Percentage,Timeliness Expedited Services Percentage  Monthly,Negative Error Rate on Completed Cases,Negative Error Rate,Active Error Rate,Applications Recevied,Online Applications Received,Child Only Households Monthly,Child Only Persons
Statewide,,,,,January,41640.0,2014.0,2014.0,2013/14,0.084,310591.0,1686837.0,1874.0,15703.0,312465.0,1702540.0,2015005.0,4351103.0,780803.0,3527949.0,4308752.0,6102.0,36249.0,42351.0,786905.0,3564198.0,617412444.96,5225459.5,622637904.46,9907757.0,0.9601,,,,0.042,,,346087.0,718310.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.065,,,,,,,64394.0,128065.0,,,,,,,,,,,,340549.0,0.8446,,,,0.0322,,,10013.0,18895.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.077,,,,,,,109.0,176.0,,,,,,,,,,,,301.0,1.0,,,,0.0922,,,0.0,0.0
Amador,US-06005,-120.238969,38.46328,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.098,,,,,,,1752.0,3428.0,,,,,,,,,,,,6161.0,0.937,,,,0.0922,,,62.0,105.0
Butte,US-06007,-121.5660076,39.723785,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.101,,,,,,,14930.0,30348.0,,,,,,,,,,,,64377.0,0.9321,,,,0.0922,,,966.0,1667.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.095,,,,,,,2654.0,5060.0,,,,,,,,,,,,9002.0,0.993,,,,0.0922,,,102.0,175.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.254,,,,,,,733.0,1749.0,,,,,,,,,,,,6820.0,0.9565,,,,0.0922,,,170.0,382.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,January,41640.0,2014.0,2014.0,2013/14,0.069,,,,,,,34380.0,71039.0,,,,,,,,,,,,194836.0,0.9101,,,,0.0302,,,5672.0,11176.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.116,,,,,,,2556.0,5205.0,,,,,,,,,,,,9584.0,1.0,,,,0.0922,,,144.0,251.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,January,41640.0,2014.0,2014.0,2013/14,0.08,,,,,,,6484.0,11899.0,,,,,,,,,,,,27695.0,0.988,,,,0.0922,,,411.0,808.0
