"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
Statewide,,,,,2014.0,6980318.99332,Annual Est.,,0.634
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2014.0,214362.749217,Annual Est.,,0.587705889
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2014.0,227.604,5-yr. Est.,2010-2014,0.80292965
Amador,US-06005,-120.238969,38.46328,C-IV,2014.0,5066.8769,5-yr. Est.,2010-2014,0.664659921
Butte,US-06007,-121.5660076,39.723785,C-IV,2014.0,54488.4573357,Annual Est.,,0.566930469
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2014.0,6481.84314,5-yr. Est.,2010-2014,0.802935197
Colusa,US-06011,-122.4386143,39.169245,C-IV,2014.0,4329.11113346,5-yr. Est.,2010-2014,0.391419843
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2014.0,129295.012429,Annual Est.,,0.571433489
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2014.0,5678.39890865,5-yr. Est.,2010-2014,0.915076019
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2014.0,27235.3906697,Annual Est.,,0.456963643
Fresno,US-06019,-120.862059,36.74633,CalWIN,2014.0,281485.643863,Annual Est.,,0.806269064
Glenn,US-06021,-122.1147288,39.591764,C-IV,2014.0,6547.32147544,5-yr. Est.,2010-2014,0.558383559
Humboldt,US-06023,-123.959972,40.73356,C-IV,2014.0,33221.6973898,Annual Est.,,0.565634354
Imperial,US-06025,-115.058652,33.02615,C-IV,2014.0,44825.9023043,Annual Est.,,0.895081443
Inyo,US-06027,-117.7797286,36.626,C-IV,2014.0,2967.70218,5-yr. Est.,2010-2014,0.720422694
Kern,US-06029,-118.4426011,35.29441,C-IV,2014.0,225536.447523,Annual Est.,,0.656098685
Kings,US-06031,-119.6135104,36.138775,C-IV,2014.0,38859.0351458,Annual Est.,,0.616750602
Lake,US-06033,-122.9624445,39.124455,C-IV,2014.0,17435.21142,Annual Est.,,0.631767504
Lassen,US-06035,-120.2636913,40.446085,C-IV,2014.0,4056.23815027,5-yr. Est.,2010-2014,0.786114264
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2014.0,2032449.54471,Annual Est.,,0.583340516
Madera,US-06039,-119.84174,37.27052,C-IV,2014.0,38902.7225579,Annual Est.,,0.741209906
Marin,US-06041,-122.870429,38.068145,C-IV,2014.0,22695.6318747,Annual Est.,,0.454169627
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2014.0,3171.7656,5-yr. Est.,2010-2014,0.635844591
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2014.0,19834.10262,Annual Est.,,0.694914222
Merced,US-06047,-120.1246993,37.18687,C-IV,2014.0,74498.9488995,Annual Est.,,0.76763611
Modoc,US-06049,-120.1993372,41.590546,C-IV,2014.0,2247.36784703,5-yr. Est.,2010-2014,0.44722689
