county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
California,2046381.0,2104220.0,2119268.0,4393812.0,4445534.0,4462799.0,0.426177847821,0.430300710238,0.438620494784,3853453.0,4073930.0,4106210.0,0.90381432359,0.925950910017,0.929214907707,0.958775613565,0.968174486881,0.972057355954,0.924438087454,0.935835746324,0.946863443824,0.0486,0.065,0.0462,0.1196,0.1301,0.1277,0.2004,0.2152,0.2122,0.1132,0.1206,0.1286,0.1413,0.1527,0.1631,1942841.0,2070803.0,2140950.0,4221057.0,4476031.0,4481900.0,176557.0,234156.0,304341.0,2272684.0,2226004.0,2720376.0,341378.0,320176.0,352831.0,,,,1314549.0,1337933.0,1628446.0,38202206.0,38548204.0,38896969.0,6820715.0,7071818.0,7340539.0,9150549.08111,9157600.21082,9184302.14567,,,,3750293.0,3760183.0,,7280074.0,,,1187606.0,1193089.0,1187073.0,0.089,0.075,0.062,7166748.68844,6980318.99332,,0.584,0.634,,2015,JUN,2.0,2015-06-01
Alameda,64208.0,61869.0,61121.0,127457.0,121684.0,119790.0,0.359283386572,0.346448540697,0.344321113944,111463.0,114442.0,112760.0,0.858061138867,0.898225400089,0.902303771335,0.857785778578,0.852352119236,0.83507223114,0.898579234973,0.853914988814,0.895572450805,0.0309,0.0675,0.0461,0.1004,0.1146,0.1036,0.1962,0.2236,0.1987,0.0653,0.0728,0.0758,0.1217,0.1325,0.1326,62875.0,64020.0,62663.0,125835.0,125434.0,121577.0,7267.0,9307.0,12022.0,63938.0,60223.0,71736.0,9990.0,9205.0,10229.0,,,,39263.0,40011.0,48924.0,1563370.0,1582119.0,1599888.0,282890.0,294442.0,306991.0,346038.367783,348427.630746,350485.904233,,,,133681.0,139309.0,,243275.0,,,48141.0,47823.0,47331.0,0.073,0.059,0.047,220033.771078,214362.749217,,0.567172440383,0.587705888546,,2015,JUN,2.0,2015-06-01
Alpine,111.0,107.0,102.0,180.0,171.0,163.0,0.521594684385,0.493710691824,0.516556291391,157.0,157.0,156.0,0.872222222222,0.912790697674,0.928571428571,1.0,1.0,1.0,0.916666666667,0.428571428571,0.625,0.0864,0.0457,0.0287,0.0,0.1053,0.0,0.1053,0.2105,0.0625,0.0,0.0,0.125,0.0,0.0,0.125,91.0,114.0,101.0,171.0,194.0,171.0,11.0,16.0,21.0,62.0,59.0,66.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1228.0,1243.0,1252.0,369.0,398.0,425.0,242.562389451,245.126044024,245.248068176,,,,25.0,23.0,,184.0,,,42.0,39.0,39.0,0.098,0.088,0.079,221.78022827,,,0.701349510542,,,2015,JUN,2.0,2015-06-01
Amador,1771.0,1720.0,1814.0,3411.0,3278.0,3438.0,0.498369742419,0.498482185653,0.520479197021,3057.0,3120.0,3215.0,0.889438463777,0.91388400703,0.912315550511,0.966292134831,0.962962962963,1.0,0.956937799043,0.941704035874,0.940092165899,0.0864,0.0457,0.0287,0.1356,0.1399,0.1444,0.2156,0.2287,0.2232,0.2489,0.259,0.2779,0.2667,0.2722,0.3173,1685.0,1770.0,1823.0,3280.0,3373.0,3445.0,194.0,250.0,329.0,1298.0,1222.0,1619.0,69.0,59.0,67.0,,,,98.0,102.0,126.0,36945.0,37017.0,37178.0,11769.0,12078.0,12420.0,5919.40380913,5806.44493987,5741.33883515,,,,484.0,559.0,,4116.0,,,674.0,696.0,688.0,0.103,0.083,0.066,4989.42328701,,,0.657044419504,,,2015,JUN,2.0,2015-06-01
Butte,15212.0,16001.0,16430.0,30559.0,31299.0,31927.0,0.451418917872,0.460118123421,0.466570996979,29126.0,30227.0,30887.0,0.925810553083,0.940011195422,0.942970538849,0.885652642934,0.912820512821,0.945745992602,0.899946495452,0.926698450536,0.934959349593,0.0864,0.0457,0.0287,0.1368,0.1456,0.1437,0.2121,0.2153,0.2223,0.2846,0.2672,0.2861,0.3151,0.2903,0.3218,14733.0,15571.0,16729.0,30211.0,31036.0,32207.0,1116.0,1577.0,2080.0,13523.0,12850.0,15753.0,1063.0,878.0,925.0,,,,2782.0,2667.0,3048.0,222035.0,224518.0,226656.0,51734.0,53940.0,55954.0,45459.1290451,45265.6051079,45149.9921323,,,,4375.0,5637.0,,47746.0,,,10914.0,10866.0,10733.0,0.103,0.087,0.072,57536.0654571,54488.4573357,,0.520653669978,0.566930468895,,2015,JUN,2.0,2015-06-01
Calaveras,2685.0,2894.0,2928.0,5094.0,5421.0,5509.0,0.505249343832,0.517184605886,0.535172990488,4620.0,5026.0,5120.0,0.90234375,0.919166057059,0.921360446284,0.958333333333,0.993333333333,1.0,0.963709677419,0.956175298805,0.95154185022,0.0864,0.0457,0.0287,0.1083,0.1281,0.1161,0.172,0.2067,0.2021,0.2038,0.2431,0.2097,0.2197,0.2664,0.2459,2576.0,2768.0,2924.0,4969.0,5231.0,5498.0,322.0,437.0,625.0,1808.0,1778.0,2295.0,103.0,88.0,84.0,,,,134.0,133.0,154.0,45214.0,45508.0,45923.0,15224.0,15719.0,16225.0,7993.1633063,7801.21040307,7637.75323435,,,,410.0,598.0,,6097.0,,,1043.0,1056.0,1057.0,0.1,0.081,0.065,6021.95863538,,,0.824271233542,,,2015,JUN,2.0,2015-06-01
Colusa,752.0,688.0,726.0,1810.0,1627.0,1725.0,0.272053143828,0.270486752927,0.270160025102,1761.0,1756.0,1722.0,0.950863930886,0.952794357027,0.956666666667,0.676470588235,0.887096774194,0.875,0.959459459459,0.902777777778,0.918032786885,0.0864,0.0457,0.0287,0.0562,0.1333,0.1361,0.1205,0.2178,0.2147,0.2932,0.3333,0.4084,0.3293,0.3867,0.4921,713.0,725.0,661.0,1710.0,1722.0,1563.0,72.0,84.0,118.0,1032.0,1004.0,1267.0,164.0,142.0,170.0,,,,553.0,570.0,773.0,21987.0,22254.0,22555.0,4033.0,4198.0,4385.0,6106.33361411,6114.10601679,6166.9855678,,,,2986.0,3111.0,,4193.0,,,564.0,563.0,561.0,0.19,0.175,0.153,3770.96131854,,,0.461131511044,,,2015,JUN,2.0,2015-06-01
Contra Costa,34921.0,35445.0,35311.0,71884.0,72012.0,71323.0,0.343355239433,0.341928790141,0.340385201748,63793.0,67560.0,66981.0,0.880498543843,0.913750896033,0.916882263562,0.95197740113,0.934414148858,0.968376669009,0.858035207269,0.925212464589,0.969749854567,0.0407,0.0312,0.0228,0.08,0.0908,0.0883,0.1442,0.165,0.1713,0.0585,0.0618,0.0668,0.0932,0.1045,0.1126,32730.0,35280.0,36075.0,67763.0,76061.0,72362.0,3064.0,3876.0,5175.0,36829.0,36150.0,45190.0,5449.0,5317.0,6102.0,,,,15787.0,16078.0,20122.0,1081862.0,1095476.0,1108963.0,215513.0,223639.0,232490.0,253745.815595,251862.317762,250389.57822,,,,66244.0,68215.0,,131952.0,,,24041.0,24288.0,24238.0,0.075,0.062,0.05,145292.779558,129295.012429,,0.470679711987,0.571433488517,,2015,JUN,2.0,2015-06-01
Del Norte,2511.0,2469.0,2493.0,5175.0,5136.0,5146.0,0.493178372916,0.488356029209,0.499041662463,4880.0,4949.0,4947.0,0.94591975189,0.961530988926,0.961142413056,1.0,0.988888888889,1.0,0.952380952381,0.960674157303,0.929245283019,0.0864,0.0457,0.0287,0.1622,0.1731,0.2147,0.2342,0.2238,0.2712,0.3946,0.3322,0.3887,0.4108,0.3619,0.4107,2525.0,2545.0,2514.0,5132.0,5227.0,5205.0,193.0,238.0,288.0,2218.0,2130.0,2603.0,167.0,139.0,144.0,,,,262.0,223.0,288.0,28530.0,28477.0,28587.0,6153.0,6387.0,6622.0,5697.85295788,5654.65491278,5598.64466242,,,,733.0,725.0,,7460.0,,,1817.0,1816.0,1797.0,0.118,0.102,0.086,5923.47912356,,,0.864310849406,,,2015,JUN,2.0,2015-06-01
El Dorado,6836.0,7197.0,7359.0,12431.0,13063.0,13261.0,0.414458715596,0.439243027888,0.456211812627,11294.0,12348.0,12544.0,0.884971007679,0.904482859654,0.90878794465,0.988452655889,1.0,0.995,0.825198637911,0.961152882206,0.94929245283,0.0864,0.0457,0.0287,0.1096,0.1212,0.1316,0.1769,0.1939,0.2183,0.2113,0.2288,0.2307,0.2388,0.2584,0.259,6397.0,6871.0,7405.0,11765.0,12479.0,13278.0,732.0,972.0,1276.0,4716.0,4740.0,6328.0,417.0,396.0,442.0,,,,882.0,886.0,1067.0,184054.0,184320.0,184833.0,46098.0,47929.0,49793.0,38275.545249,37664.5428464,37280.0018014,,,,3580.0,3522.0,,17413.0,,,2850.0,2851.0,2871.0,0.085,0.07,0.057,26641.3835952,27235.3906697,,0.441067045998,0.456963642793,,2015,JUN,2.0,2015-06-01
