county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
California,2015005.0,2089037.0,2104220.0,4351103.0,4477428.0,4445534.0,0.400360380878,0.421384405825,0.430300710238,3520222.0,3977294.0,4073930.0,0.833231130945,0.917302683543,0.925950910017,0.96013416288,0.967437422603,0.968174486881,0.905760295421,0.933257366108,0.935835746324,0.043,0.072,0.065,0.128700958612,0.1424,0.1301,0.204143500861,0.2341,0.2152,0.102449218719,0.1286,0.1206,0.12872455038,0.1618,0.1527,1942841.0,2070803.0,2140950.0,4221057.0,4476031.0,4481900.0,176557.0,234156.0,304341.0,2272684.0,2226004.0,2720376.0,341378.0,320176.0,352831.0,,,,1314549.0,1337933.0,1628446.0,38202206.0,38548204.0,38896969.0,6820715.0,7071818.0,7340539.0,9150549.08111,9157600.21082,9184302.14567,,,,3750293.0,3760183.0,,7280074.0,,,1187606.0,1193089.0,1187073.0,0.089,0.075,0.062,7166748.68844,6980318.99332,,0.584,0.634,,2015,MAR,1.0,2015-03-01
Alameda,64394.0,63146.0,61869.0,128065.0,123955.0,121684.0,0.35152677386,0.352094764339,0.346448540697,104852.0,112683.0,114442.0,0.80065364468,0.879079129058,0.898225400089,0.844646924829,0.863711681856,0.852352119236,0.877263198018,0.867741223228,0.853914988814,0.0215,0.1124,0.0675,0.106765394595,0.1168,0.1146,0.194418074805,0.2281,0.2236,0.0595531928359,0.0883,0.0728,0.111068919689,0.1574,0.1325,62875.0,64020.0,62663.0,125835.0,125434.0,121577.0,7267.0,9307.0,12022.0,63938.0,60223.0,71736.0,9990.0,9205.0,10229.0,,,,39263.0,40011.0,48924.0,1563370.0,1582119.0,1599888.0,282890.0,294442.0,306991.0,346038.367783,348427.630746,350485.904233,,,,133681.0,139309.0,,243275.0,,,48141.0,47823.0,47331.0,0.073,0.059,0.047,220033.771078,214362.749217,,0.567172440383,0.587705888546,,2015,MAR,1.0,2015-03-01
Alpine,109.0,114.0,107.0,176.0,185.0,171.0,0.512027491409,0.510703363914,0.493710691824,149.0,167.0,157.0,0.837078651685,0.902702702703,0.912790697674,1.0,1.0,1.0,0.789473684211,0.777777777778,0.428571428571,0.0717,0.0187,0.0457,0.0666666666667,0.04,0.1053,0.2,0.12,0.2105,0.0333333333333,0.08,0.0,0.0333333333333,0.12,0.0,91.0,114.0,101.0,171.0,194.0,171.0,11.0,16.0,21.0,62.0,59.0,66.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1228.0,1243.0,1252.0,369.0,398.0,425.0,242.562389451,245.126044024,245.248068176,,,,25.0,23.0,,184.0,,,42.0,39.0,39.0,0.098,0.088,0.079,221.78022827,,,0.701349510542,,,2015,MAR,1.0,2015-03-01
Amador,1752.0,1727.0,1720.0,3428.0,3308.0,3278.0,0.478318879253,0.498699186992,0.498482185653,2868.0,3067.0,3120.0,0.836639439907,0.89625949737,0.91388400703,0.937007874016,0.95652173913,0.962962962963,0.971014492754,0.940476190476,0.941704035874,0.0717,0.0187,0.0457,0.142156862745,0.1712,0.1399,0.204248366013,0.2626,0.2287,0.169934640523,0.2763,0.259,0.192810457516,0.3196,0.2722,1685.0,1770.0,1823.0,3280.0,3373.0,3445.0,194.0,250.0,329.0,1298.0,1222.0,1619.0,69.0,59.0,67.0,,,,98.0,102.0,126.0,36945.0,37017.0,37178.0,11769.0,12078.0,12420.0,5919.40380913,5806.44493987,5741.33883515,,,,484.0,559.0,,4116.0,,,674.0,696.0,688.0,0.103,0.083,0.066,4989.42328701,,,0.657044419504,,,2015,MAR,1.0,2015-03-01
Butte,14930.0,15879.0,16001.0,30348.0,31231.0,31299.0,0.430592959699,0.44485250209,0.460118123421,27021.0,29798.0,30227.0,0.862629293832,0.935837442291,0.940011195422,0.932098765432,0.942396313364,0.912820512821,0.895268474216,0.939660590823,0.926698450536,0.0717,0.0187,0.0457,0.144578313253,0.133,0.1456,0.217728055077,0.2137,0.2153,0.260757314974,0.3112,0.2672,0.289156626506,0.3448,0.2903,14733.0,15571.0,16729.0,30211.0,31036.0,32207.0,1116.0,1577.0,2080.0,13523.0,12850.0,15753.0,1063.0,878.0,925.0,,,,2782.0,2667.0,3048.0,222035.0,224518.0,226656.0,51734.0,53940.0,55954.0,45459.1290451,45265.6051079,45149.9921323,,,,4375.0,5637.0,,47746.0,,,10914.0,10866.0,10733.0,0.103,0.087,0.072,57536.0654571,54488.4573357,,0.520653669978,0.566930468895,,2015,MAR,1.0,2015-03-01
Calaveras,2654.0,2867.0,2894.0,5060.0,5378.0,5421.0,0.472149447545,0.512714063311,0.517184605886,4145.0,4940.0,5026.0,0.818684574363,0.917874396135,0.919166057059,0.992957746479,1.0,0.993333333333,0.951851851852,0.956730769231,0.956175298805,0.0717,0.0187,0.0457,0.130727762803,0.1298,0.1281,0.188679245283,0.2046,0.2067,0.172506738544,0.2153,0.2431,0.192722371968,0.2626,0.2664,2576.0,2768.0,2924.0,4969.0,5231.0,5498.0,322.0,437.0,625.0,1808.0,1778.0,2295.0,103.0,88.0,84.0,,,,134.0,133.0,154.0,45214.0,45508.0,45923.0,15224.0,15719.0,16225.0,7993.1633063,7801.21040307,7637.75323435,,,,410.0,598.0,,6097.0,,,1043.0,1056.0,1057.0,0.1,0.081,0.065,6021.95863538,,,0.824271233542,,,2015,MAR,1.0,2015-03-01
Colusa,733.0,666.0,688.0,1749.0,1540.0,1627.0,0.248051352591,0.236573862772,0.270486752927,1623.0,1555.0,1756.0,0.886885245902,0.952818627451,0.952794357027,0.95652173913,0.608695652174,0.887096774194,0.95,0.896551724138,0.902777777778,0.0717,0.0187,0.0457,0.0981818181818,0.1098,0.1333,0.174545454545,0.2311,0.2178,0.214545454545,0.2841,0.3333,0.24,0.322,0.3867,713.0,725.0,661.0,1710.0,1722.0,1563.0,72.0,84.0,118.0,1032.0,1004.0,1267.0,164.0,142.0,170.0,,,,553.0,570.0,773.0,21987.0,22254.0,22555.0,4033.0,4198.0,4385.0,6106.33361411,6114.10601679,6166.9855678,,,,2986.0,3111.0,,4193.0,,,564.0,563.0,561.0,0.19,0.175,0.153,3770.96131854,,,0.461131511044,,,2015,MAR,1.0,2015-03-01
Contra Costa,34380.0,35825.0,35445.0,71039.0,77345.0,72012.0,0.325311751683,0.341955989713,0.341928790141,57601.0,65951.0,67560.0,0.796253801493,0.897219274617,0.913750896033,0.910083493899,0.925322471147,0.934414148858,0.854977261243,0.940677966102,0.925212464589,0.0404,0.0425,0.0312,0.0942798774259,0.092,0.0908,0.163432073544,0.1682,0.165,0.0538304392237,0.0712,0.0618,0.0856996935649,0.1139,0.1045,32730.0,35280.0,36075.0,67763.0,76061.0,72362.0,3064.0,3876.0,5175.0,36829.0,36150.0,45190.0,5449.0,5317.0,6102.0,,,,15787.0,16078.0,20122.0,1081862.0,1095476.0,1108963.0,215513.0,223639.0,232490.0,253745.815595,251862.317762,250389.57822,,,,66244.0,68215.0,,131952.0,,,24041.0,24288.0,24238.0,0.075,0.062,0.05,145292.779558,129295.012429,,0.470679711987,0.571433488517,,2015,MAR,1.0,2015-03-01
Del Norte,2556.0,2516.0,2469.0,5205.0,5167.0,5136.0,0.480485779531,0.492156473392,0.488356029209,4629.0,4957.0,4949.0,0.889337175793,0.956027000964,0.961530988926,1.0,1.0,0.988888888889,0.977272727273,0.989637305699,0.960674157303,0.0717,0.0187,0.0457,0.187604690117,0.195,0.1731,0.246231155779,0.2748,0.2238,0.341708542714,0.3582,0.3322,0.363484087102,0.3954,0.3619,2525.0,2545.0,2514.0,5132.0,5227.0,5205.0,193.0,238.0,288.0,2218.0,2130.0,2603.0,167.0,139.0,144.0,,,,262.0,223.0,288.0,28530.0,28477.0,28587.0,6153.0,6387.0,6622.0,5697.85295788,5654.65491278,5598.64466242,,,,733.0,725.0,,7460.0,,,1817.0,1816.0,1797.0,0.118,0.102,0.086,5923.47912356,,,0.864310849406,,,2015,MAR,1.0,2015-03-01
El Dorado,6484.0,6932.0,7197.0,11899.0,12578.0,13063.0,0.381930029815,0.420277358626,0.439243027888,10120.0,11698.0,12348.0,0.815734322102,0.895712098009,0.904482859654,0.988009592326,1.0,1.0,0.788283658787,0.942857142857,0.961152882206,0.0717,0.0187,0.0457,0.10114261532,0.1124,0.1212,0.167583580195,0.193,0.1939,0.158696572154,0.2003,0.2288,0.17900973339,0.2311,0.2584,6397.0,6871.0,7405.0,11765.0,12479.0,13278.0,732.0,972.0,1276.0,4716.0,4740.0,6328.0,417.0,396.0,442.0,,,,882.0,886.0,1067.0,184054.0,184320.0,184833.0,46098.0,47929.0,49793.0,38275.545249,37664.5428464,37280.0018014,,,,3580.0,3522.0,,17413.0,,,2850.0,2851.0,2871.0,0.085,0.07,0.057,26641.3835952,27235.3906697,,0.441067045998,0.456963642793,,2015,MAR,1.0,2015-03-01
