county,consortium,year,state_fiscal_year,ann_calfresh_hh_sfy_avg,ann_calfresh_hh_cy_avg,ann_calfresh_persons_sfy_avg,ann_calfresh_persons_cy_avg,ann_elderly,ann_children,ann_child_only_hh,ann_esl,ann_wic_calfresh_reachable,ann_calfresh_in_wic,ann_tot_pop,ann_elderly_over60,ann_children_under18,ann_tot_esl_over5,ann_tot_ssi_recipients,unemployment_pct,ann_calfresh_eligibles,month,quarter,fulldate
California,n/a,2012,2012/13,1898515.917,1831759.5,4164676.0,4062300.167,141407.0,2184693.0,372370.0,1268115.0,0.0,0.0,38041489.0,6594782.0,9224959.0,3775905.0,1176286.0,0.105,7121279.818,DEC,4.0,2012-12-01
Alameda,CalWIN,2012,2012/13,62847.66667,61652.75,126162.4167,124449.0,5848.0,61164.0,11499.0,36077.0,0.0,0.0,1554446.0,268678.0,339034.0,134661.0,48146.0,0.09,220282.4062,DEC,4.0,2012-12-01
Alpine,C-IV,2012,2012/13,82.08333333,82.25,147.0,145.9166667,9.0,53.0,2.0,0.0,0.0,0.0,1166.0,310.0,242.0,24.0,41.0,0.133,194.8231579,DEC,4.0,2012-12-01
Amador,C-IV,2012,2012/13,1720.166667,1689.583333,3304.333333,3248.416667,182.0,1230.0,61.0,81.0,0.0,0.0,37746.0,12070.0,6121.0,507.0,654.0,0.118,4236.603121,DEC,4.0,2012-12-01
Butte,C-IV,2012,2012/13,14297.16667,13924.41667,29749.08333,29132.41667,842.0,12905.0,1187.0,2929.0,0.0,0.0,221797.0,50242.0,45853.0,5475.0,10828.0,0.122,56950.07135,DEC,4.0,2012-12-01
Calaveras,C-IV,2012,2012/13,2543.166667,2499.25,4994.833333,4975.916667,278.0,1881.0,66.0,148.0,0.0,0.0,45305.0,14799.0,8279.0,559.0,1023.0,0.13,5990.381522,DEC,4.0,2012-12-01
Colusa,C-IV,2012,2012/13,697.3333333,689.4166667,1745.75,1725.583333,39.0,1055.0,108.0,598.0,0.0,0.0,21781.0,3842.0,6269.0,3235.0,556.0,0.2,4435.385281,DEC,4.0,2012-12-01
Contra Costa,CalWIN,2012,2012/13,33232.5,32725.5,69072.33333,68545.75,2515.0,35507.0,6651.0,15201.0,0.0,0.0,1075665.0,208340.0,254628.0,66528.0,23603.0,0.09,135136.6254,DEC,4.0,2012-12-01
Del Norte,C-IV,2012,2012/13,2571.166667,2601.5,5245.0,5379.5,157.0,2343.0,173.0,285.0,0.0,0.0,27996.0,5991.0,5952.0,549.0,1869.0,0.134,5695.773792,DEC,4.0,2012-12-01
El Dorado,C-IV,2012,2012/13,6299.75,6098.333333,11839.25,11655.25,581.0,4822.0,402.0,864.0,0.0,0.0,181098.0,43346.0,39241.0,3301.0,2818.0,0.104,19222.85839,DEC,4.0,2012-12-01
Fresno,CalWIN,2012,2012/13,90446.91667,88596.83333,218237.4167,214900.0,4650.0,122558.0,15452.0,61549.0,0.0,0.0,950634.0,143065.0,277286.0,115573.0,40171.0,0.152,283512.8056,DEC,4.0,2012-12-01
Glenn,C-IV,2012,2012/13,1414.916667,1382.166667,3515.75,3440.666667,87.0,1908.0,231.0,769.0,0.0,0.0,28508.0,5548.0,7763.0,2433.0,1128.0,0.147,6413.054973,DEC,4.0,2012-12-01
Humboldt,C-IV,2012,2012/13,8283.666667,8056.75,15678.08333,15352.25,496.0,6496.0,685.0,807.0,0.0,0.0,134840.0,28927.0,27212.0,2104.0,5740.0,0.105,32856.86267,DEC,4.0,2012-12-01
Imperial,C-IV,2012,2012/13,14327.0,14065.66667,36785.75,36155.16667,1456.0,18176.0,994.0,17886.0,0.0,0.0,179414.0,27666.0,52349.0,32769.0,10349.0,0.283,44744.18953,DEC,4.0,2012-12-01
Inyo,C-IV,2012,2012/13,994.5833333,961.75,2000.666667,1953.5,105.0,879.0,105.0,316.0,0.0,0.0,18569.0,5138.0,3870.0,490.0,396.0,0.094,2515.101602,DEC,4.0,2012-12-01
Kern,C-IV,2012,2012/13,58839.5,57370.25,142745.5,139786.4167,3379.0,82189.0,11952.0,37887.0,0.0,0.0,858271.0,118079.0,254266.0,85452.0,31095.0,0.133,213671.261,DEC,4.0,2012-12-01
Kings,C-IV,2012,2012/13,9779.5,9586.333333,23223.66667,22918.66667,563.0,12535.0,1554.0,5625.0,0.0,0.0,149973.0,18817.0,43993.0,14061.0,4729.0,0.153,33430.73986,DEC,4.0,2012-12-01
Lake,C-IV,2012,2012/13,5125.833333,5044.0,10225.25,10126.25,477.0,4340.0,256.0,790.0,0.0,0.0,64839.0,17552.0,13511.0,1920.0,3701.0,0.15,19370.3412,DEC,4.0,2012-12-01
Lassen,C-IV,2012,2012/13,1410.666667,1397.416667,2952.25,2943.916667,81.0,1284.0,87.0,70.0,0.0,0.0,33011.0,5947.0,5877.0,704.0,930.0,0.126,4471.131513,DEC,4.0,2012-12-01
Los Angeles,LRS,2012,2012/13,539760.0,514477.5833,1123919.667,1088704.25,36571.0,599556.0,124537.0,423844.0,0.0,0.0,9988287.0,1644011.0,2359961.0,1372113.0,385131.0,0.109,2021647.948,DEC,4.0,2012-12-01
Madera,C-IV,2012,2012/13,10459.16667,10382.16667,26577.75,26415.33333,534.0,16732.0,3223.0,10100.0,0.0,0.0,150814.0,26206.0,43195.0,20218.0,4441.0,0.136,38098.68885,DEC,4.0,2012-12-01
Marin,C-IV,2012,2012/13,5607.166667,5510.166667,9498.583333,9315.5,758.0,4358.0,1245.0,2958.0,0.0,0.0,255765.0,66463.0,52352.0,11689.0,3102.0,0.063,20101.09749,DEC,4.0,2012-12-01
Mariposa,C-IV,2012,2012/13,886.0,862.0833333,1805.166667,1774.583333,83.0,709.0,41.0,47.0,0.0,0.0,18223.0,5847.0,3092.0,155.0,460.0,0.11,2847.978871,DEC,4.0,2012-12-01
Mendocino,C-IV,2012,2012/13,7083.833333,7084.916667,13414.5,13552.75,591.0,5727.0,592.0,1934.0,0.0,0.0,87976.0,22168.0,19247.0,4188.0,3238.0,0.097,19738.82048,DEC,4.0,2012-12-01
Merced,C-IV,2012,2012/13,22424.66667,21825.33333,54754.25,53643.41667,1122.0,30744.0,4110.0,15638.0,0.0,0.0,262919.0,36760.0,80219.0,31663.0,10745.0,0.17,67910.30696,DEC,4.0,2012-12-01
Modoc,C-IV,2012,2012/13,428.25,432.8333333,967.25,1006.0,25.0,486.0,20.0,78.0,0.0,0.0,9634.0,2878.0,2028.0,280.0,405.0,0.135,2460.371816,DEC,4.0,2012-12-01
Mono,C-IV,2012,2012/13,391.9166667,429.5833333,657.8333333,695.5,32.0,326.0,3.0,226.0,0.0,0.0,14122.0,2349.0,2931.0,870.0,102.0,0.105,2221.050448,DEC,4.0,2012-12-01
Monterey,C-IV,2012,2012/13,20129.91667,19397.83333,46251.75,44709.66667,1189.0,29906.0,6608.0,22110.0,0.0,0.0,423881.0,69907.0,112042.0,79767.0,8502.0,0.114,80399.99454,DEC,4.0,2012-12-01
Napa,C-IV,2012,2012/13,3367.333333,3382.75,7142.583333,7200.833333,292.0,4244.0,1098.0,3019.0,0.0,0.0,138655.0,30971.0,30966.0,12388.0,2142.0,0.078,18310.88619,DEC,4.0,2012-12-01
Nevada,C-IV,2012,2012/13,3808.5,3634.75,7292.333333,7025.25,314.0,2726.0,219.0,270.0,0.0,0.0,98068.0,30206.0,17791.0,1312.0,1771.0,0.094,14198.34296,DEC,4.0,2012-12-01
Orange,CalWIN,2012,2012/13,102002.5833,97368.33333,226897.0833,218440.5833,10377.0,131451.0,31940.0,105140.0,0.0,0.0,3084036.0,539389.0,732869.0,322892.0,66558.0,0.076,453553.1417,DEC,4.0,2012-12-01
