county,consortium,quarter,year,federal_fiscal_year,state_fiscal_year,qtr_timeliness_exp_pct,qtr_30d_churn_reapps_pct,qtr_90d_churn_reapps_pct,qtr_30d_churn_recerts_pct,qtr_90d_churn_recerts_pct,month,fulldate
California,\N,1.0,2012,2012.0,201112.0,0.9268,0.1,0.195,0.074,0.095,JAN,2012-01-01
Alameda,CalWIN,1.0,2012,2012.0,201112.0,0.8696,0.115,0.205,0.031,0.068,JAN,2012-01-01
Alpine,C-IV,1.0,2012,2012.0,201112.0,1.0,0.0,0.0,0.043,0.043,JAN,2012-01-01
Amador,C-IV,1.0,2012,2012.0,201112.0,0.9476,0.036,0.1,0.166,0.196,JAN,2012-01-01
Butte,C-IV,1.0,2012,2012.0,201112.0,0.9359,0.028,0.11,0.26,0.282,JAN,2012-01-01
Calaveras,C-IV,1.0,2012,2012.0,201112.0,0.9893,0.008,0.074,0.163,0.191,JAN,2012-01-01
Colusa,C-IV,1.0,2012,2012.0,201112.0,1.0,0.036,0.131,0.079,0.082,JAN,2012-01-01
Contra Costa,CalWIN,1.0,2012,2012.0,201112.0,0.8209,0.108,0.186,0.073,0.106,JAN,2012-01-01
Del Norte,C-IV,1.0,2012,2012.0,201112.0,0.9797,0.039,0.138,0.21,0.232,JAN,2012-01-01
El Dorado,C-IV,1.0,2012,2012.0,201112.0,0.9312,0.024,0.12,0.156,0.172,JAN,2012-01-01
Fresno,CalWIN,1.0,2012,2012.0,201112.0,0.95,0.206,0.322,0.074,0.12,JAN,2012-01-01
Glenn,C-IV,1.0,2012,2012.0,201112.0,1.0,0.049,0.125,0.105,0.113,JAN,2012-01-01
Humboldt,C-IV,1.0,2012,2012.0,201112.0,0.8911,0.026,0.115,0.184,0.212,JAN,2012-01-01
Imperial,C-IV,1.0,2012,2012.0,201112.0,0.977,0.038,0.122,0.169,0.194,JAN,2012-01-01
Inyo,C-IV,1.0,2012,2012.0,201112.0,1.0,0.012,0.128,0.113,0.119,JAN,2012-01-01
Kern,C-IV,1.0,2012,2012.0,201112.0,0.9766,0.058,0.175,0.139,0.159,JAN,2012-01-01
Kings,C-IV,1.0,2012,2012.0,201112.0,0.8973,0.042,0.136,0.135,0.155,JAN,2012-01-01
Lake,C-IV,1.0,2012,2012.0,201112.0,0.9686,0.019,0.095,0.28,0.304,JAN,2012-01-01
Lassen,C-IV,1.0,2012,2012.0,201112.0,0.9704,0.11,0.268,0.149,0.166,JAN,2012-01-01
Los Angeles,LRS,1.0,2012,2012.0,201112.0,0.9298,0.122,0.221,0.0,0.003,JAN,2012-01-01
Madera,C-IV,1.0,2012,2012.0,201112.0,0.9801,0.042,0.158,0.159,0.186,JAN,2012-01-01
Marin,C-IV,1.0,2012,2012.0,201112.0,0.9165,0.049,0.135,0.119,0.137,JAN,2012-01-01
Mariposa,C-IV,1.0,2012,2012.0,201112.0,0.9811,0.015,0.088,0.15,0.15,JAN,2012-01-01
