,1.  TOTAL PARTICIPATION,,,,,,,,,"1.  TOTAL PARTICIPATION, Cont'd",,,,,,,,,"1.  TOTAL PARTICIPATION, Cont'd",,,2. TOTAL ISSUANCES,,,,3.  VALUE OF DOCUMENTED COUPON ISSUANCES,,,,,,
,1.a. Number of households,,,,,,,,,1.b. Number of persons in federal ,,,1.c. Number of federal and state persons in Federal/State households,,,,,,1.d. Number of persons in state,,,,,,,,,,,,,
,,,,,,,,,,only households,,,,,,,,,only households,,,,,,,,,,,,,
,A. Public Assistance,,,B. Non-Public Assistance,,,C. Total (A+B),,,A.,B.,C.,A. Public Assistance,,B. Non-Public Assistance,,C. Total (A+B),,A.,B.,C.,A.,B.,C.,D.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Contracted,Other,,,,,,Total,Total,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total             (A+B),,Over the,Over the,Total,Federal,Federal/State Combined,,State,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail / EBT,Counter,Counter,(A+B+C),Only,Federal,State,Only,Issuances,Issuances,ISSUANCES
Statewide,307388.0,9566.0,998.0,358867.0,12557.0,6947.0,666255.0,22123.0,7945.0,837586.0,851710.0,1689296.0,24483.0,11879.0,34729.0,16338.0,59212.0,28217.0,2910.0,10048.0,12958.0,148485.0,489590.0,105201.0,743276.0,146290398.0,5536459.0,1561841.0,1445048.0,151826857.0,3006889.0,154833746.0
Alameda,13242.0,183.0,0.0,8512.0,121.0,215.0,21754.0,304.0,215.0,33900.0,21791.0,55691.0,326.0,187.0,293.0,142.0,619.0,329.0,0.0,273.0,273.0,0.0,22273.0,0.0,22273.0,4397083.0,40122.0,21325.0,43457.0,4437205.0,64782.0,4501987.0
Alpine,10.0,0.0,0.0,27.0,0.0,0.0,37.0,0.0,0.0,30.0,64.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,8027.0,0.0,0.0,0.0,8027.0,0.0,8027.0
Amador,121.0,2.0,0.0,300.0,1.0,1.0,421.0,3.0,1.0,320.0,625.0,945.0,5.0,2.0,2.0,1.0,7.0,3.0,0.0,1.0,1.0,403.0,0.0,74.0,477.0,83383.0,0.0,0.0,0.0,83383.0,0.0,83383.0
Butte,2091.0,26.0,0.0,2948.0,29.0,3.0,5039.0,55.0,3.0,6219.0,7149.0,13368.0,123.0,31.0,147.0,42.0,270.0,73.0,0.0,3.0,3.0,6878.0,0.0,0.0,6878.0,1123243.0,18549.0,5305.0,417.0,1141792.0,5722.0,1147514.0
Calaveras,218.0,0.0,0.0,427.0,0.0,0.0,645.0,0.0,0.0,587.0,864.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,0.0,128.0,717.0,123903.0,0.0,0.0,0.0,123903.0,0.0,123903.0
Colusa,84.0,0.0,0.0,326.0,14.0,3.0,410.0,14.0,3.0,223.0,860.0,1083.0,0.0,0.0,41.0,20.0,41.0,20.0,0.0,6.0,6.0,454.0,0.0,0.0,454.0,81780.0,2786.0,893.0,421.0,84566.0,1314.0,85880.0
Contra Costa  a/,5779.0,220.0,11.0,2719.0,122.0,74.0,8498.0,342.0,85.0,15613.0,5321.0,20934.0,647.0,301.0,264.0,233.0,911.0,534.0,24.0,101.0,125.0,10024.0,0.0,0.0,10024.0,1780718.0,66295.0,20169.0,9639.0,1847013.0,29808.0,1876821.0
Del Norte,502.0,4.0,0.0,689.0,2.0,2.0,1191.0,6.0,2.0,1517.0,1411.0,2928.0,13.0,4.0,14.0,2.0,27.0,6.0,0.0,2.0,2.0,141.0,0.0,1058.0,1199.0,235725.0,2463.0,381.0,278.0,238188.0,659.0,238847.0
El Dorado,588.0,11.0,0.0,1039.0,14.0,9.0,1627.0,25.0,9.0,1564.0,1996.0,3560.0,21.0,11.0,39.0,15.0,60.0,26.0,0.0,9.0,9.0,1771.0,47.0,0.0,1818.0,299035.0,5283.0,906.0,1182.0,304318.0,2088.0,306406.0
Fresno ,19007.0,788.0,8.0,10784.0,494.0,100.0,29791.0,1282.0,108.0,63292.0,28190.0,91482.0,2497.0,924.0,1303.0,655.0,3800.0,1579.0,21.0,196.0,217.0,614.0,31216.0,0.0,31830.0,7388901.0,333542.0,82627.0,20239.0,7722443.0,102866.0,7825309.0
Glenn,229.0,0.0,0.0,532.0,2.0,3.0,761.0,2.0,3.0,682.0,1415.0,2097.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,4.0,4.0,826.0,0.0,0.0,826.0,161669.0,442.0,148.0,534.0,162111.0,682.0,162793.0
Humboldt,1234.0,16.0,1.0,2712.0,8.0,4.0,3946.0,24.0,5.0,3260.0,5392.0,8652.0,52.0,18.0,32.0,8.0,84.0,26.0,0.0,5.0,5.0,134.0,3782.0,508.0,4424.0,798320.0,7751.0,2399.0,461.0,806071.0,2860.0,808931.0
Imperial,1482.0,345.0,2.0,2992.0,490.0,91.0,4474.0,835.0,93.0,4553.0,8956.0,13509.0,885.0,368.0,1259.0,562.0,2144.0,930.0,2.0,106.0,108.0,295.0,0.0,5560.0,5855.0,1003697.0,172801.0,34897.0,12260.0,1176498.0,47157.0,1223655.0
Inyo,57.0,0.0,0.0,326.0,0.0,0.0,383.0,0.0,0.0,154.0,785.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,406.0,64879.0,0.0,0.0,0.0,64879.0,0.0,64879.0
Kern ,6919.0,207.0,2.0,11869.0,652.0,72.0,18788.0,859.0,74.0,21150.0,33839.0,54989.0,598.0,236.0,1743.0,751.0,2341.0,987.0,2.0,46.0,48.0,5902.0,18225.0,0.0,24127.0,5226104.0,233953.0,38296.0,13151.0,5460057.0,51447.0,5511504.0
Kings,1307.0,39.0,0.0,2858.0,76.0,22.0,4165.0,115.0,22.0,3948.0,7383.0,11331.0,119.0,45.0,219.0,84.0,338.0,129.0,0.0,22.0,22.0,75.0,4536.0,0.0,4611.0,901814.0,27217.0,5097.0,2723.0,929031.0,7820.0,936851.0
Lake,896.0,4.0,1.0,1239.0,6.0,2.0,2135.0,10.0,3.0,2441.0,2580.0,5021.0,11.0,4.0,22.0,7.0,33.0,11.0,6.0,5.0,11.0,537.0,0.0,2068.0,2605.0,484229.0,2158.0,664.0,300.0,486387.0,964.0,487351.0
Lassen,280.0,2.0,0.0,387.0,6.0,1.0,667.0,8.0,1.0,809.0,882.0,1691.0,4.0,3.0,13.0,6.0,17.0,9.0,0.0,1.0,1.0,292.0,0.0,438.0,730.0,142464.0,1016.0,767.0,139.0,143480.0,906.0,144386.0
Los Angeles,101996.0,2951.0,554.0,155089.0,4760.0,3559.0,257085.0,7711.0,4113.0,249902.0,353758.0,603660.0,6640.0,3415.0,13575.0,5918.0,20215.0,9333.0,1680.0,4928.0,6608.0,0.0,289782.0,0.0,289782.0,55395166.0,2081000.0,645468.0,779946.0,57476166.0,1425414.0,58901580.0
Madera  b/,1502.0,7.0,1.0,3438.0,17.0,4.0,4940.0,24.0,5.0,4734.0,8697.0,13431.0,23.0,7.0,65.0,17.0,88.0,24.0,0.0,4.0,4.0,81.0,5238.0,0.0,5319.0,1095804.0,655.0,205.0,0.0,1096459.0,205.0,1096664.0
Marin,412.0,41.0,0.0,1126.0,49.0,35.0,1538.0,90.0,35.0,949.0,1775.0,2724.0,77.0,41.0,58.0,51.0,135.0,92.0,0.0,36.0,36.0,1887.0,0.0,0.0,1887.0,263816.0,13691.0,4283.0,4161.0,277507.0,8444.0,285951.0
Mariposa,99.0,0.0,0.0,218.0,0.0,0.0,317.0,0.0,0.0,282.0,482.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,328.0,338.0,65555.0,0.0,0.0,0.0,65555.0,0.0,65555.0
Mendocino,802.0,7.0,0.0,1892.0,15.0,6.0,2694.0,22.0,6.0,2225.0,3817.0,6042.0,18.0,8.0,36.0,15.0,54.0,23.0,0.0,7.0,7.0,1043.0,0.0,1857.0,2900.0,497366.0,3919.0,1762.0,703.0,501285.0,2465.0,503750.0
Merced,3491.0,130.0,0.0,4525.0,190.0,12.0,8016.0,320.0,12.0,9850.0,15553.0,25403.0,413.0,146.0,779.0,241.0,1192.0,387.0,0.0,13.0,13.0,5.0,8343.0,0.0,8348.0,2039339.0,67670.0,51623.0,1848.0,2107009.0,53471.0,2160480.0
Modoc,109.0,0.0,0.0,191.0,1.0,0.0,300.0,1.0,0.0,317.0,441.0,758.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,301.0,0.0,0.0,301.0,58071.0,315.0,0.0,0.0,58386.0,0.0,58386.0
Mono,20.0,0.0,0.0,96.0,1.0,0.0,116.0,1.0,0.0,58.0,185.0,243.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,113.0,0.0,10.0,123.0,21247.0,183.0,49.0,0.0,21430.0,49.0,21479.0
Monterey,2263.0,158.0,1.0,4074.0,267.0,19.0,6337.0,425.0,20.0,6382.0,10470.0,16852.0,425.0,167.0,754.0,287.0,1179.0,454.0,1.0,20.0,21.0,6877.0,0.0,480.0,7357.0,1320207.0,139951.0,26226.0,4901.0,1460158.0,31127.0,1491285.0
Napa,173.0,1.0,0.0,573.0,10.0,11.0,746.0,11.0,11.0,447.0,1258.0,1705.0,4.0,1.0,29.0,10.0,33.0,11.0,0.0,19.0,19.0,0.0,0.0,994.0,994.0,169464.0,3649.0,860.0,2239.0,173113.0,3099.0,176212.0
Nevada,271.0,0.0,0.0,543.0,0.0,0.0,814.0,0.0,0.0,674.0,1082.0,1756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,108.0,889.0,149718.0,0.0,0.0,0.0,149718.0,0.0,149718.0
Orange  b/,12230.0,377.0,29.0,14357.0,728.0,246.0,26587.0,1105.0,275.0,31135.0,37042.0,68177.0,754.0,442.0,1726.0,898.0,2480.0,1340.0,78.0,363.0,441.0,0.0,0.0,29008.0,29008.0,5369093.0,272777.0,77411.0,55429.0,5641870.0,132840.0,5774710.0
Placer,818.0,13.0,0.0,1013.0,6.0,1.0,1831.0,19.0,1.0,2094.0,2217.0,4311.0,28.0,21.0,25.0,17.0,53.0,38.0,0.0,1.0,1.0,1029.0,0.0,1063.0,2092.0,384125.0,4448.0,2623.0,142.0,388573.0,2765.0,391338.0
Plumas,94.0,0.0,0.0,136.0,0.0,0.0,230.0,0.0,0.0,225.0,296.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,5.0,0.0,254.0,42354.0,0.0,0.0,0.0,42354.0,0.0,42354.0
Riverside,13564.0,448.0,49.0,6651.0,585.0,264.0,20215.0,1033.0,313.0,37456.0,14519.0,51975.0,1286.0,463.0,1660.0,665.0,2946.0,1128.0,56.0,187.0,243.0,1842.0,21727.0,0.0,23569.0,4814238.0,260728.0,47770.0,57702.0,5074966.0,105472.0,5180438.0
Sacramento,17932.0,855.0,172.0,16047.0,591.0,382.0,33979.0,1446.0,554.0,56058.0,41413.0,97471.0,2713.0,1401.0,2217.0,1147.0,4930.0,2548.0,603.0,712.0,1315.0,4912.0,32384.0,0.0,37296.0,7971719.0,333247.0,116444.0,90181.0,8304966.0,206625.0,8511591.0
San Benito,292.0,5.0,0.0,552.0,21.0,8.0,844.0,26.0,8.0,876.0,1287.0,2163.0,12.0,5.0,52.0,25.0,64.0,30.0,0.0,8.0,8.0,969.0,0.0,0.0,969.0,181606.0,5797.0,1646.0,779.0,187403.0,2425.0,189828.0
