,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,307222.0,4015.0,132.0,471627.0,7653.0,4287.0,778849.0,11668.0,4419.0,820118.0,1148755.0,1968873.0,8913.0,4895.0,21829.0,9617.0,30742.0,14512.0,346.0,5516.0,5862.0,0.0,0.0,321.0,913654.0,913975.0,0.0,193462531.57,1731468.5,195194000.07
Alameda,15812.0,104.0,0.0,10682.0,89.0,166.0,26494.0,193.0,166.0,40479.0,27346.0,67825.0,221.0,108.0,233.0,113.0,454.0,221.0,0.0,229.0,229.0,0.0,0.0,0.0,26853.0,26853.0,0.0,5702080.0,49086.0,5751166.0
Alpine,5.0,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0.0,16.0,61.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,5815.0,0.0,5815.0
Amador,155.0,0.0,0.0,341.0,0.0,0.0,496.0,0.0,0.0,401.0,740.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,538.0,0.0,112305.0,0.0,112305.0
Butte,2214.0,1.0,0.0,4496.0,3.0,6.0,6710.0,4.0,6.0,6070.0,11001.0,17071.0,2.0,1.0,10.0,3.0,12.0,4.0,0.0,9.0,9.0,0.0,0.0,0.0,7369.0,7369.0,0.0,1618816.0,1321.0,1620137.0
Calaveras,207.0,0.0,0.0,564.0,0.0,0.0,771.0,0.0,0.0,562.0,1131.0,1693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,771.0,0.0,166421.0,0.0,166421.0
Colusa,90.0,0.0,0.0,375.0,11.0,3.0,465.0,11.0,3.0,255.0,990.0,1245.0,0.0,0.0,28.0,13.0,28.0,13.0,0.0,4.0,4.0,0.0,0.0,0.0,514.0,514.0,0.0,112167.0,1309.0,113476.0
Contra Costa,7000.0,47.0,0.0,4429.0,30.0,15.0,11429.0,77.0,15.0,19495.0,9147.0,28642.0,120.0,50.0,87.0,33.0,207.0,83.0,0.0,21.0,21.0,0.0,0.0,0.0,12718.0,12718.0,0.0,2731995.0,5979.0,2737974.0
Del Norte,529.0,0.0,1.0,1087.0,1.0,1.0,1616.0,1.0,2.0,1522.0,2296.0,3818.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,1619.0,1619.0,0.0,355587.0,241.0,355828.0
El Dorado,566.0,1.0,0.0,1245.0,9.0,7.0,1811.0,10.0,7.0,1504.0,2580.0,4084.0,3.0,1.0,19.0,10.0,22.0,11.0,0.0,7.0,7.0,0.0,0.0,0.0,2083.0,2083.0,0.0,406249.0,1295.0,407544.0
Fresno,21555.0,124.0,5.0,19185.0,289.0,18.0,40740.0,413.0,23.0,69732.0,47701.0,117433.0,345.0,153.0,946.0,313.0,1291.0,466.0,21.0,29.0,50.0,0.0,0.0,0.0,44795.0,44795.0,0.0,10871620.0,32044.0,10903664.0
Glenn  a/,230.0,0.0,0.0,632.0,3.0,0.0,862.0,3.0,0.0,651.0,1711.0,2362.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,952.0,0.0,203187.5,390.5,203578.0
Humboldt,1218.0,1.0,0.0,3788.0,3.0,3.0,5006.0,4.0,3.0,3124.0,7631.0,10755.0,2.0,1.0,8.0,4.0,10.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5451.0,5451.0,0.0,1096122.0,929.0,1097051.0
Imperial,1422.0,0.0,0.0,4344.0,84.0,9.0,5766.0,84.0,9.0,4262.0,12498.0,16760.0,0.0,0.0,236.0,85.0,236.0,85.0,0.0,10.0,10.0,0.0,0.0,0.0,5859.0,5859.0,0.0,1558693.0,6170.0,1564863.0
Inyo,87.0,0.0,0.0,360.0,0.0,0.0,447.0,0.0,0.0,253.0,728.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,462.0,0.0,84858.0,0.0,84858.0
Kern ,7168.0,5.0,0.0,19905.0,286.0,77.0,27073.0,291.0,77.0,20443.0,56785.0,77228.0,16.0,5.0,886.0,314.0,902.0,319.0,0.0,101.0,101.0,0.0,0.0,0.0,29779.0,29779.0,0.0,7110659.0,41880.0,7152539.0
Kings,1289.0,1.0,0.0,3869.0,19.0,5.0,5158.0,20.0,5.0,3666.0,10009.0,13675.0,5.0,1.0,52.0,19.0,57.0,20.0,0.0,7.0,7.0,0.0,0.0,0.0,5497.0,5497.0,0.0,1203465.0,2112.0,1205577.0
Lake,1013.0,2.0,0.0,1427.0,0.0,0.0,2440.0,2.0,0.0,2197.0,3493.0,5690.0,7.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.0,2667.0,0.0,557930.0,167.0,558097.0
Lassen,313.0,0.0,0.0,564.0,2.0,0.0,877.0,2.0,0.0,898.0,1244.0,2142.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,932.0,0.0,195661.0,147.0,195808.0
Los Angeles,90866.0,2050.0,30.0,183389.0,3574.0,2282.0,274255.0,5624.0,2312.0,209907.0,429194.0,639101.0,4333.0,2480.0,9858.0,4454.0,14191.0,6934.0,47.0,2815.0,2862.0,0.0,0.0,0.0,357693.0,357693.0,0.0,69585346.0,915179.0,70500525.0
Madera,1247.0,0.0,0.0,4198.0,14.0,2.0,5445.0,14.0,2.0,3652.0,10861.0,14513.0,0.0,0.0,52.0,15.0,52.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,5803.0,5803.0,0.0,1308022.0,1516.0,1309538.0
Marin,516.0,0.0,1.0,1770.0,19.0,7.0,2286.0,19.0,8.0,1228.0,2858.0,4086.0,0.0,0.0,44.0,25.0,44.0,25.0,1.0,7.0,8.0,0.0,0.0,0.0,2313.0,2313.0,0.0,407785.0,2054.0,409839.0
Mariposa,100.0,0.0,0.0,265.0,0.0,0.0,365.0,0.0,0.0,271.0,569.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,398.0,0.0,79431.0,0.0,79431.0
Mendocino,859.0,0.0,0.0,2678.0,11.0,2.0,3537.0,11.0,2.0,2261.0,5386.0,7647.0,0.0,0.0,39.0,11.0,39.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,3722.0,3722.0,0.0,744549.0,1085.0,745634.0
Merced  ,4583.0,42.0,1.0,5664.0,113.0,9.0,10247.0,155.0,10.0,13149.0,16382.0,29531.0,128.0,42.0,394.0,127.0,522.0,169.0,1.0,12.0,13.0,0.0,0.0,0.0,12358.0,12358.0,0.0,2688664.0,11915.0,2700579.0
Modoc,105.0,0.0,0.0,185.0,0.0,0.0,290.0,0.0,0.0,286.0,456.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,290.0,0.0,63419.0,0.0,63419.0
Mono,28.0,0.0,0.0,98.0,0.0,0.0,126.0,0.0,0.0,85.0,172.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,23756.0,0.0,23756.0
