,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,306356.0,3980.0,136.0,483821.0,7742.0,4386.0,790177.0,11722.0,4522.0,812359.0,1176382.0,1988741.0,8899.0,4812.0,22272.0,9863.0,31171.0,14675.0,350.0,5733.0,6083.0,0.0,0.0,290.0,925322.0,925612.0,0.0,196914133.11,1660199.5,198574332.61
Alameda,16100.0,102.0,0.0,11187.0,89.0,178.0,27287.0,191.0,178.0,41216.0,28639.0,69855.0,224.0,103.0,232.0,113.0,456.0,216.0,0.0,247.0,247.0,0.0,0.0,0.0,27656.0,27656.0,0.0,5832742.0,50930.0,5883672.0
Alpine,3.0,0.0,0.0,28.0,0.0,0.0,31.0,0.0,0.0,11.0,65.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,5663.0,0.0,5663.0
Amador,159.0,0.0,0.0,330.0,0.0,0.0,489.0,0.0,0.0,413.0,700.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,524.0,0.0,111646.0,0.0,111646.0
Butte,2160.0,1.0,0.0,4561.0,3.0,7.0,6721.0,4.0,7.0,5925.0,11170.0,17095.0,2.0,1.0,9.0,3.0,11.0,4.0,0.0,11.0,11.0,0.0,0.0,0.0,7566.0,7566.0,0.0,1625583.0,1567.0,1627150.0
Calaveras,211.0,0.0,0.0,566.0,0.0,0.0,777.0,0.0,0.0,587.0,1137.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,777.0,0.0,170868.0,0.0,170868.0
Colusa,75.0,0.0,0.0,385.0,10.0,3.0,460.0,10.0,3.0,210.0,1001.0,1211.0,0.0,0.0,24.0,12.0,24.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,495.0,495.0,0.0,105582.0,1283.0,106865.0
Contra Costa ,7086.0,50.0,0.0,4501.0,40.0,17.0,11587.0,90.0,17.0,19663.0,9347.0,29010.0,124.0,55.0,117.0,44.0,241.0,99.0,0.0,22.0,22.0,0.0,0.0,0.0,13174.0,13174.0,0.0,2812813.0,6280.0,2819093.0
Del Norte,525.0,1.0,1.0,1098.0,1.0,1.0,1623.0,2.0,2.0,1497.0,2325.0,3822.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1627.0,1627.0,0.0,361982.0,609.0,362591.0
El Dorado,570.0,0.0,0.0,1285.0,7.0,4.0,1855.0,7.0,4.0,1500.0,2672.0,4172.0,0.0,0.0,14.0,8.0,14.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,2168.0,2168.0,0.0,421578.0,1072.0,422650.0
Fresno,21644.0,118.0,5.0,20155.0,317.0,20.0,41799.0,435.0,25.0,69981.0,49683.0,119664.0,341.0,141.0,1047.0,352.0,1388.0,493.0,21.0,31.0,52.0,0.0,0.0,0.0,46212.0,46212.0,0.0,11180799.0,29392.0,11210191.0
Glenn  a/,218.0,0.0,0.0,649.0,3.0,0.0,867.0,3.0,0.0,639.0,1748.0,2387.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,981.0,0.0,209033.5,444.5,209478.0
Humboldt,1175.0,1.0,0.0,4012.0,4.0,3.0,5187.0,5.0,3.0,3010.0,8014.0,11024.0,2.0,1.0,9.0,5.0,11.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,5752.0,5752.0,0.0,1136542.0,975.0,1137517.0
Imperial,1410.0,0.0,0.0,4382.0,52.0,11.0,5792.0,52.0,11.0,4240.0,12432.0,16672.0,0.0,0.0,249.0,85.0,249.0,85.0,0.0,12.0,12.0,0.0,0.0,0.0,5855.0,5855.0,0.0,1541935.0,5235.0,1547170.0
Inyo,67.0,0.0,0.0,384.0,0.0,0.0,451.0,0.0,0.0,186.0,773.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,470.0,0.0,85707.0,0.0,85707.0
Kern ,6928.0,5.0,0.0,20787.0,297.0,75.0,27715.0,302.0,75.0,19767.0,59040.0,78807.0,16.0,5.0,899.0,325.0,915.0,330.0,0.0,99.0,99.0,0.0,0.0,0.0,30571.0,30571.0,0.0,7270996.0,43071.0,7314067.0
Kings,1279.0,1.0,0.0,3977.0,21.0,5.0,5256.0,22.0,5.0,3641.0,10245.0,13886.0,5.0,1.0,58.0,22.0,63.0,23.0,0.0,7.0,7.0,0.0,0.0,0.0,5663.0,5663.0,0.0,1226442.0,1901.0,1228343.0
Lake,983.0,1.0,0.0,1479.0,0.0,0.0,2462.0,1.0,0.0,2162.0,3512.0,5674.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2703.0,2703.0,0.0,562387.0,140.0,562527.0
Lassen,300.0,0.0,0.0,582.0,1.0,0.0,882.0,1.0,0.0,859.0,1297.0,2156.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,942.0,0.0,200918.0,106.0,201024.0
Los Angeles,91577.0,2072.0,33.0,185414.0,3614.0,2299.0,276991.0,5686.0,2332.0,211129.0,431609.0,642738.0,4386.0,2463.0,10122.0,4491.0,14508.0,6954.0,51.0,2817.0,2868.0,0.0,0.0,0.0,359482.0,359482.0,0.0,70578368.0,834677.0,71413045.0
Madera,1213.0,1.0,0.0,4290.0,12.0,0.0,5503.0,13.0,0.0,3620.0,11025.0,14645.0,2.0,1.0,42.0,13.0,44.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,5956.0,5956.0,0.0,1327002.0,1131.0,1328133.0
Marin,499.0,2.0,0.0,1820.0,22.0,9.0,2319.0,24.0,9.0,1198.0,2955.0,4153.0,3.0,2.0,50.0,30.0,53.0,32.0,0.0,10.0,10.0,0.0,0.0,0.0,2352.0,2352.0,0.0,418706.0,3030.0,421736.0
Mariposa,92.0,0.0,0.0,272.0,0.0,0.0,364.0,0.0,0.0,247.0,555.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,399.0,0.0,76649.0,0.0,76649.0
Mendocino,858.0,0.0,0.0,2747.0,13.0,3.0,3605.0,13.0,3.0,2283.0,5524.0,7807.0,0.0,0.0,45.0,13.0,45.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,3826.0,3826.0,0.0,764587.0,1307.0,765894.0
Merced  ,4671.0,36.0,2.0,5789.0,101.0,10.0,10460.0,137.0,12.0,13434.0,16670.0,30104.0,108.0,36.0,355.0,111.0,463.0,147.0,4.0,13.0,17.0,0.0,0.0,0.0,11607.0,11607.0,0.0,2733139.0,11076.0,2744215.0
Modoc,110.0,0.0,0.0,184.0,0.0,0.0,294.0,0.0,0.0,308.0,443.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,294.0,0.0,66197.0,0.0,66197.0
Mono,29.0,0.0,0.0,93.0,0.0,0.0,122.0,0.0,0.0,89.0,178.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,24878.0,0.0,24878.0
