,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,295311.0,3766.0,134.0,491853.0,7708.0,4346.0,787164.0,11474.0,4480.0,771951.0,1208502.0,1980453.0,8284.0,4560.0,21799.0,9543.0,30083.0,14103.0,362.0,5583.0,5945.0,0.0,0.0,197.0,920545.0,920742.0,0.0,197772348.32,1607914.0,199380262.32
Alameda,16017.0,83.0,0.0,11054.0,88.0,156.0,27071.0,171.0,156.0,41004.0,28298.0,69302.0,189.0,83.0,208.0,110.0,397.0,193.0,0.0,219.0,219.0,0.0,0.0,0.0,27398.0,27398.0,0.0,5796954.0,45192.0,5842146.0
Alpine,3.0,0.0,0.0,23.0,0.0,0.0,26.0,0.0,0.0,7.0,47.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,5831.0,0.0,5831.0
Amador,168.0,0.0,0.0,311.0,0.0,0.0,479.0,0.0,0.0,444.0,653.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,533.0,0.0,112996.0,0.0,112996.0
Butte,2147.0,1.0,0.0,4540.0,6.0,7.0,6687.0,7.0,7.0,5731.0,11229.0,16960.0,2.0,1.0,15.0,6.0,17.0,7.0,0.0,12.0,12.0,0.0,0.0,0.0,7387.0,7387.0,0.0,1604124.0,1860.0,1605984.0
Calaveras,213.0,0.0,0.0,554.0,0.0,0.0,767.0,0.0,0.0,579.0,1146.0,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,767.0,0.0,174122.0,0.0,174122.0
Colusa,73.0,0.0,0.0,397.0,8.0,4.0,470.0,8.0,4.0,195.0,1004.0,1199.0,0.0,0.0,20.0,10.0,20.0,10.0,0.0,6.0,6.0,0.0,0.0,0.0,518.0,518.0,0.0,105997.0,1347.0,107344.0
Contra Costa  ,7011.0,48.0,1.0,4707.0,45.0,22.0,11718.0,93.0,23.0,19372.0,9663.0,29035.0,109.0,55.0,116.0,55.0,225.0,110.0,1.0,30.0,31.0,0.0,0.0,0.0,13000.0,13000.0,0.0,2789907.0,5958.0,2795865.0
Del Norte,518.0,0.0,1.0,1112.0,2.0,2.0,1630.0,2.0,3.0,1472.0,2371.0,3843.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,1635.0,1635.0,0.0,360792.0,464.0,361256.0
El Dorado,582.0,0.0,0.0,1232.0,17.0,8.0,1814.0,17.0,8.0,1532.0,2525.0,4057.0,0.0,0.0,50.0,20.0,50.0,20.0,0.0,12.0,12.0,0.0,0.0,0.0,2075.0,2075.0,0.0,413733.0,1590.0,415323.0
Fresno  ,15410.0,51.0,1.0,26129.0,304.0,16.0,41539.0,355.0,17.0,43526.0,76342.0,119868.0,147.0,58.0,1084.0,336.0,1231.0,394.0,4.0,23.0,27.0,0.0,0.0,0.0,45251.0,45251.0,0.0,11025015.0,23257.0,11048272.0
Glenn  a/,245.0,0.0,0.0,626.0,3.0,0.0,871.0,3.0,0.0,701.0,1697.0,2398.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,950.0,0.0,205992.5,284.5,206277.0
Humboldt,1194.0,0.0,0.0,4003.0,1.0,3.0,5197.0,1.0,3.0,3108.0,7989.0,11097.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,5738.0,5738.0,0.0,1138598.0,569.0,1139167.0
Imperial,1415.0,1.0,0.0,4328.0,85.0,13.0,5743.0,86.0,13.0,4218.0,12307.0,16525.0,2.0,1.0,255.0,85.0,257.0,86.0,0.0,14.0,14.0,0.0,0.0,0.0,5842.0,5842.0,0.0,1551974.0,6014.0,1557988.0
Inyo,96.0,0.0,0.0,332.0,0.0,0.0,428.0,0.0,0.0,317.0,634.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,438.0,0.0,85523.0,0.0,85523.0
Kern ,7062.0,3.0,0.0,20461.0,286.0,74.0,27523.0,289.0,74.0,20174.0,57902.0,78076.0,11.0,3.0,889.0,313.0,900.0,316.0,0.0,95.0,95.0,0.0,0.0,0.0,30074.0,30074.0,0.0,7140631.0,39382.0,7180013.0
Kings,1263.0,1.0,0.0,4052.0,27.0,8.0,5315.0,28.0,8.0,3572.0,10455.0,14027.0,5.0,1.0,69.0,28.0,74.0,29.0,0.0,8.0,8.0,0.0,0.0,0.0,5479.0,5479.0,0.0,1242239.0,2890.0,1245129.0
Lake,936.0,0.0,0.0,1460.0,2.0,0.0,2396.0,2.0,0.0,1798.0,3232.0,5030.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.0,2594.0,0.0,538965.0,1270.0,540235.0
Lassen,272.0,0.0,0.0,562.0,1.0,0.0,834.0,1.0,0.0,761.0,1301.0,2062.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,895.0,0.0,191234.0,119.0,191353.0
Los Angeles,89354.0,2000.0,37.0,187127.0,3626.0,2241.0,276481.0,5626.0,2278.0,205649.0,435791.0,641440.0,4205.0,2394.0,9861.0,4318.0,14066.0,6712.0,66.0,2734.0,2800.0,0.0,0.0,0.0,359112.0,359112.0,0.0,71950682.0,806290.0,72756972.0
Madera,1198.0,1.0,0.0,4333.0,16.0,4.0,5531.0,17.0,4.0,3465.0,11261.0,14726.0,2.0,1.0,59.0,17.0,61.0,18.0,0.0,5.0,5.0,0.0,0.0,0.0,5903.0,5903.0,0.0,1324812.0,1397.0,1326209.0
Marin,525.0,2.0,0.0,1834.0,23.0,9.0,2359.0,25.0,9.0,1259.0,2970.0,4229.0,3.0,2.0,49.0,33.0,52.0,35.0,0.0,10.0,10.0,0.0,0.0,0.0,2393.0,2393.0,0.0,428791.0,2954.0,431745.0
Mariposa,102.0,0.0,0.0,266.0,0.0,0.0,368.0,0.0,0.0,261.0,564.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,0.0,78020.0,0.0,78020.0
Mendocino,826.0,0.0,0.0,2783.0,13.0,2.0,3609.0,13.0,2.0,2182.0,5567.0,7749.0,0.0,0.0,50.0,14.0,50.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,3838.0,3838.0,0.0,767430.0,1336.0,768766.0
Merced  ,4631.0,32.0,3.0,5887.0,80.0,8.0,10518.0,112.0,11.0,13291.0,16904.0,30195.0,94.0,32.0,300.0,88.0,394.0,120.0,5.0,10.0,15.0,0.0,0.0,0.0,11355.0,11355.0,0.0,2715756.0,8634.0,2724390.0
Modoc,114.0,0.0,0.0,194.0,0.0,0.0,308.0,0.0,0.0,310.0,428.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,308.0,0.0,68257.0,0.0,68257.0
Mono,30.0,0.0,0.0,110.0,0.0,0.0,140.0,0.0,0.0,84.0,196.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,158.0,0.0,26426.0,0.0,26426.0
