,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,271986.0,3898.0,231.0,518029.0,8097.0,4248.0,790015.0,11995.0,4479.0,688991.0,1264638.0,1953629.0,8826.0,4807.0,22755.0,9509.0,31581.0,14316.0,449.0,5709.0,6158.0,0.0,0.0,0.0,890400.0,890400.0,2.0,198766537.95,1755269.29,200521807.24
Alameda  ,14268.0,443.0,122.0,15892.0,126.0,50.0,30160.0,569.0,172.0,35117.0,31550.0,66667.0,1178.0,332.0,471.0,57.0,1649.0,389.0,281.0,61.0,342.0,0.0,0.0,0.0,30901.0,30901.0,0.0,6541178.0,59944.0,6601122.0
Alpine,3.0,0.0,0.0,30.0,0.0,0.0,33.0,0.0,0.0,5.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,6596.0,0.0,6596.0
Amador,154.0,0.0,0.0,370.0,0.0,0.0,524.0,0.0,0.0,424.0,736.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,0.0,121571.0,0.0,121571.0
Butte ,1972.0,1.0,1.0,5438.0,6.0,6.0,7410.0,7.0,7.0,5194.0,12647.0,17841.0,1.0,1.0,14.0,7.0,15.0,8.0,1.0,9.0,10.0,0.0,0.0,0.0,8147.0,8147.0,0.0,1769410.0,1278.0,1770688.0
Calaveras,200.0,0.0,0.0,564.0,0.0,0.0,764.0,0.0,0.0,525.0,1173.0,1698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,764.0,0.0,173374.0,0.0,173374.0
Colusa,84.0,0.0,0.0,407.0,8.0,7.0,491.0,8.0,7.0,273.0,1126.0,1399.0,0.0,0.0,23.0,8.0,23.0,8.0,0.0,10.0,10.0,0.0,0.0,0.0,543.0,543.0,0.0,117367.0,1350.0,118717.0
Contra Costa  ,5407.0,26.0,1.0,7533.0,77.0,32.0,12940.0,103.0,33.0,13189.0,17681.0,30870.0,56.0,27.0,182.0,114.0,238.0,141.0,1.0,48.0,49.0,0.0,0.0,0.0,14922.0,14922.0,0.0,3154525.0,20684.0,3175209.0
Del Norte,492.0,0.0,0.0,1218.0,4.0,1.0,1710.0,4.0,1.0,1410.0,2489.0,3899.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1715.0,1715.0,0.0,385627.0,430.0,386057.0
El Dorado,550.0,0.0,0.0,1320.0,10.0,5.0,1870.0,10.0,5.0,1417.0,2731.0,4148.0,0.0,0.0,28.0,13.0,28.0,13.0,0.0,7.0,7.0,0.0,0.0,0.0,2104.0,2104.0,0.0,432375.0,1556.0,433931.0
Fresno,14759.0,44.0,0.0,25712.0,190.0,7.0,40471.0,234.0,7.0,41516.0,76662.0,118178.0,128.0,51.0,689.0,201.0,817.0,252.0,0.0,9.0,9.0,0.0,0.0,0.0,44751.0,44751.0,0.0,11385772.0,16646.0,11402418.0
Glenn  ,234.0,0.0,0.0,634.0,1.0,0.0,868.0,1.0,0.0,651.0,1726.0,2377.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0,974.0,0.0,215103.4,99.6,215203.0
Humboldt,1147.0,2.0,0.0,3746.0,8.0,4.0,4893.0,10.0,4.0,2899.0,7609.0,10508.0,7.0,2.0,17.0,8.0,24.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,3760.0,3760.0,0.0,1083646.0,892.0,1084538.0
Imperial,1355.0,0.0,0.0,4267.0,103.0,16.0,5622.0,103.0,16.0,3942.0,12018.0,15960.0,0.0,0.0,286.0,104.0,286.0,104.0,0.0,16.0,16.0,0.0,0.0,0.0,5741.0,5741.0,0.0,1547036.0,6558.0,1553594.0
Inyo,92.0,0.0,0.0,359.0,0.0,0.0,451.0,0.0,0.0,256.0,737.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,457.0,0.0,87604.0,0.0,87604.0
Kern ,6524.0,2.0,0.0,21037.0,221.0,58.0,27561.0,223.0,58.0,18490.0,58902.0,77392.0,3.0,2.0,662.0,240.0,665.0,242.0,0.0,75.0,75.0,0.0,0.0,0.0,29966.0,29966.0,0.0,7364971.0,32864.0,7397835.0
Kings,1151.0,1.0,0.0,4321.0,29.0,7.0,5472.0,30.0,7.0,3263.0,10812.0,14075.0,4.0,1.0,76.0,32.0,80.0,33.0,0.0,7.0,7.0,0.0,0.0,0.0,5867.0,5867.0,0.0,1312036.0,2851.0,1314887.0
Lake,893.0,1.0,0.0,1401.0,1.0,1.0,2294.0,2.0,1.0,1689.0,3524.0,5213.0,2.0,1.0,5.0,1.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2522.0,2522.0,0.0,526491.0,243.0,526734.0
Lassen  ,260.0,0.0,0.0,585.0,3.0,0.0,845.0,3.0,0.0,754.0,1387.0,2141.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,904.0,0.0,209052.0,373.0,209425.0
Los Angeles,81290.0,1787.0,26.0,189079.0,3666.0,1899.0,270369.0,5453.0,1925.0,183716.0,436707.0,620423.0,3722.0,2137.0,10149.0,4310.0,13871.0,6447.0,35.0,2314.0,2349.0,0.0,0.0,0.0,317276.0,317276.0,0.0,67110385.0,785742.0,67896127.0
Madera,1042.0,0.0,0.0,4441.0,27.0,2.0,5483.0,27.0,2.0,2991.0,11341.0,14332.0,0.0,0.0,89.0,27.0,89.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0,5928.0,5928.0,0.0,1386776.0,1417.0,1388193.0
Marin,514.0,2.0,0.0,1824.0,24.0,9.0,2338.0,26.0,9.0,1222.0,2945.0,4167.0,3.0,2.0,54.0,33.0,57.0,35.0,0.0,9.0,9.0,0.0,0.0,0.0,2388.0,2388.0,0.0,421560.0,2595.0,424155.0
Mariposa,101.0,0.0,0.0,278.0,0.0,0.0,379.0,0.0,0.0,275.0,595.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,419.0,0.0,85901.0,0.0,85901.0
Mendocino,813.0,1.0,0.0,2967.0,12.0,2.0,3780.0,13.0,2.0,2134.0,5763.0,7897.0,3.0,1.0,37.0,13.0,40.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,4003.0,4003.0,0.0,813562.0,1093.0,814655.0
Merced,4610.0,27.0,0.0,5850.0,48.0,5.0,10460.0,75.0,5.0,12804.0,16855.0,29659.0,78.0,27.0,174.0,56.0,252.0,83.0,0.0,6.0,6.0,0.0,0.0,0.0,11396.0,11396.0,0.0,2783418.0,5917.0,2789335.0
Modoc,110.0,0.0,0.0,238.0,1.0,0.0,348.0,1.0,0.0,313.0,535.0,848.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,348.0,0.0,78104.0,3.0,78107.0
Mono,19.0,0.0,0.0,97.0,0.0,0.0,116.0,0.0,0.0,45.0,183.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,20541.0,0.0,20541.0
