,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,265510.0,3705.0,144.0,529400.0,8141.0,4412.0,794910.0,11846.0,4556.0,669105.0,1288551.0,1957656.0,8364.0,4538.0,22841.0,9579.0,31205.0,14117.0,293.0,5891.0,6184.0,0.0,0.0,388.0,890652.0,891040.0,0.0,199373144.51,1777620.96,201150765.47
Alameda  ,12514.0,273.0,75.0,17193.0,186.0,89.0,29707.0,459.0,164.0,30813.0,35188.0,66001.0,634.0,283.0,535.0,128.0,1169.0,411.0,187.0,116.0,303.0,0.0,0.0,0.0,30330.0,30330.0,0.0,6704810.0,63239.0,6768049.0
Alpine,5.0,0.0,0.0,29.0,0.0,0.0,34.0,0.0,0.0,11.0,55.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,6557.0,0.0,6557.0
Amador,134.0,0.0,0.0,378.0,0.0,0.0,512.0,0.0,0.0,340.0,803.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,0.0,120813.0,0.0,120813.0
Butte,1924.0,0.0,0.0,5669.0,5.0,8.0,7593.0,5.0,8.0,5004.0,13202.0,18206.0,0.0,0.0,10.0,6.0,10.0,6.0,0.0,9.0,9.0,0.0,0.0,0.0,8341.0,8341.0,0.0,1791235.0,2729.0,1793964.0
Calaveras,188.0,0.0,0.0,580.0,0.0,0.0,768.0,0.0,0.0,495.0,1178.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,768.0,0.0,176732.0,0.0,176732.0
Colusa,87.0,0.0,0.0,388.0,4.0,6.0,475.0,4.0,6.0,271.0,1054.0,1325.0,0.0,0.0,12.0,4.0,12.0,4.0,0.0,7.0,7.0,0.0,0.0,0.0,508.0,508.0,0.0,107599.0,1081.0,108680.0
Contra Costa  ,5417.0,34.0,0.0,7578.0,72.0,34.0,12995.0,106.0,34.0,13292.0,17667.0,30959.0,75.0,40.0,178.0,99.0,253.0,139.0,0.0,49.0,49.0,0.0,0.0,0.0,14651.0,14651.0,0.0,3149034.0,20028.0,3169062.0
Del Norte  ,502.0,0.0,1.0,1235.0,3.0,5.0,1737.0,3.0,6.0,1426.0,2525.0,3951.0,0.0,0.0,12.0,8.0,12.0,8.0,2.0,8.0,10.0,0.0,0.0,0.0,1746.0,1746.0,0.0,392593.0,715.0,393308.0
El Dorado,537.0,0.0,0.0,1380.0,9.0,4.0,1917.0,9.0,4.0,1374.0,2951.0,4325.0,0.0,0.0,17.0,10.0,17.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,2157.0,2157.0,0.0,446871.0,1114.0,447985.0
Fresno,14808.0,47.0,0.0,26065.0,172.0,8.0,40873.0,219.0,8.0,41699.0,77371.0,119070.0,123.0,53.0,621.0,183.0,744.0,236.0,0.0,11.0,11.0,0.0,0.0,0.0,45557.0,45557.0,0.0,11465731.0,14250.0,11479981.0
Glenn  ,228.0,0.0,0.0,625.0,1.0,0.0,853.0,1.0,0.0,654.0,1691.0,2345.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,925.0,0.0,206267.8,74.2,206342.0
Humboldt  ,1074.0,1.0,0.0,3990.0,9.0,2.0,5064.0,10.0,2.0,2684.0,8105.0,10789.0,2.0,1.0,17.0,9.0,19.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,3099.0,3099.0,0.0,1126204.0,1102.0,1127306.0
Imperial,1343.0,0.0,0.0,4470.0,101.0,15.0,5813.0,101.0,15.0,3891.0,12529.0,16420.0,0.0,0.0,274.0,104.0,274.0,104.0,0.0,15.0,15.0,0.0,0.0,0.0,5929.0,5929.0,0.0,1622206.0,7498.0,1629704.0
Inyo,82.0,0.0,0.0,360.0,0.0,0.0,442.0,0.0,0.0,237.0,735.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,458.0,0.0,88069.0,0.0,88069.0
Kern ,6291.0,0.0,0.0,21281.0,213.0,58.0,27572.0,213.0,58.0,17722.0,59278.0,77000.0,0.0,0.0,645.0,227.0,645.0,227.0,0.0,74.0,74.0,0.0,0.0,0.0,29668.0,29668.0,0.0,7339038.0,30492.0,7369530.0
Kings,1115.0,2.0,1.0,4321.0,35.0,13.0,5436.0,37.0,14.0,3113.0,10846.0,13959.0,6.0,2.0,98.0,38.0,104.0,40.0,1.0,13.0,14.0,0.0,0.0,0.0,5831.0,5831.0,0.0,1312980.0,2873.0,1315853.0
Lake,863.0,0.0,0.0,1389.0,3.0,2.0,2252.0,3.0,2.0,1630.0,3528.0,5158.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,2403.0,2403.0,0.0,499196.0,600.0,499796.0
Lassen,260.0,0.0,0.0,599.0,2.0,0.0,859.0,2.0,0.0,757.0,1366.0,2123.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,934.0,0.0,211395.0,247.0,211642.0
Los Angeles,80480.0,1772.0,28.0,190582.0,3598.0,1898.0,271062.0,5370.0,1926.0,181764.0,436657.0,618421.0,3689.0,2125.0,10006.0,4229.0,13695.0,6354.0,40.0,2308.0,2348.0,0.0,0.0,0.0,316220.0,316220.0,0.0,66868923.0,793974.0,67662897.0
Madera,1069.0,1.0,0.0,4420.0,31.0,2.0,5489.0,32.0,2.0,3031.0,11378.0,14409.0,3.0,1.0,95.0,31.0,98.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,6004.0,6004.0,0.0,1403658.0,1603.0,1405261.0
Marin,492.0,1.0,0.0,1968.0,21.0,18.0,2460.0,22.0,18.0,1158.0,3197.0,4355.0,3.0,1.0,44.0,24.0,47.0,25.0,0.0,19.0,19.0,0.0,0.0,0.0,2460.0,2460.0,0.0,452038.0,4009.0,456047.0
Mariposa,80.0,0.0,0.0,304.0,0.0,0.0,384.0,0.0,0.0,224.0,644.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,0.0,85723.0,0.0,85723.0
Mendocino,755.0,1.0,0.0,2930.0,14.0,3.0,3685.0,15.0,3.0,1928.0,5561.0,7489.0,3.0,1.0,45.0,15.0,48.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0,4043.0,4043.0,0.0,808777.0,1010.0,809787.0
Merced,4545.0,26.0,0.0,6152.0,45.0,6.0,10697.0,71.0,6.0,12644.0,17637.0,30281.0,76.0,26.0,157.0,51.0,233.0,77.0,0.0,7.0,7.0,0.0,0.0,0.0,11597.0,11597.0,0.0,2852829.0,6499.0,2859328.0
Modoc,105.0,0.0,0.0,207.0,0.0,0.0,312.0,0.0,0.0,305.0,477.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,312.0,0.0,67641.0,0.0,67641.0
Mono,14.0,0.0,0.0,109.0,0.0,0.0,123.0,0.0,0.0,32.0,190.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,0.0,20764.0,0.0,20764.0
