,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,283872.0,3715.0,275.0,509362.0,7593.0,4415.0,793234.0,11308.0,4690.0,734587.0,1252885.0,1987472.0,7953.0,4857.0,20893.0,9270.0,28846.0,14127.0,877.0,5813.0,6690.0,0.0,0.0,190.0,972280.0,972470.0,0.0,200876916.33,1832184.34,202709100.67
Alameda,15637.0,64.0,0.0,12073.0,82.0,136.0,27710.0,146.0,136.0,40031.0,30907.0,70938.0,123.0,64.0,203.0,101.0,326.0,165.0,0.0,184.0,184.0,0.0,0.0,0.0,27992.0,27992.0,0.0,6134947.0,40830.0,6175777.0
Alpine,4.0,0.0,0.0,29.0,0.0,0.0,33.0,0.0,0.0,11.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,6882.0,0.0,6882.0
Amador,158.0,0.0,0.0,365.0,0.0,0.0,523.0,0.0,0.0,432.0,744.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,580.0,0.0,119162.0,0.0,119162.0
Butte,2128.0,1.0,0.0,4932.0,8.0,7.0,7060.0,9.0,7.0,5640.0,11799.0,17439.0,2.0,1.0,17.0,9.0,19.0,10.0,0.0,12.0,12.0,0.0,0.0,0.0,7732.0,7732.0,0.0,1690108.0,1981.0,1692089.0
Calaveras,197.0,0.0,0.0,567.0,0.0,0.0,764.0,0.0,0.0,532.0,1145.0,1677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,764.0,0.0,167421.0,0.0,167421.0
Colusa,86.0,0.0,0.0,348.0,4.0,2.0,434.0,4.0,2.0,228.0,820.0,1048.0,0.0,0.0,8.0,6.0,8.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,480.0,480.0,0.0,94301.0,665.0,94966.0
Contra Costa ,5950.0,33.0,13.0,6503.0,65.0,40.0,12453.0,98.0,53.0,15401.0,14783.0,30184.0,60.0,57.0,167.0,77.0,227.0,134.0,44.0,93.0,137.0,0.0,0.0,0.0,15804.0,15804.0,0.0,3053191.0,32512.0,3085703.0
Del Norte,538.0,0.0,0.0,1121.0,5.0,1.0,1659.0,5.0,1.0,1506.0,2330.0,3836.0,0.0,0.0,12.0,5.0,12.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1665.0,1665.0,0.0,376953.0,146.0,377099.0
El Dorado,565.0,0.0,0.0,1316.0,6.0,4.0,1881.0,6.0,4.0,1435.0,2698.0,4133.0,0.0,0.0,20.0,8.0,20.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,2166.0,2166.0,0.0,430413.0,1103.0,431516.0
Fresno,14555.0,52.0,0.0,25637.0,188.0,12.0,40192.0,240.0,12.0,40920.0,76636.0,117556.0,135.0,60.0,682.0,197.0,817.0,257.0,0.0,13.0,13.0,0.0,0.0,0.0,47391.0,47391.0,0.0,11128171.0,16464.0,11144635.0
Glenn  ,241.0,0.0,0.0,631.0,3.0,0.0,872.0,3.0,0.0,669.0,1676.0,2345.0,0.0,0.0,10.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,957.0,0.0,211604.5,171.5,211776.0
Humboldt  ,1257.0,1.0,0.0,3908.0,3.0,2.0,5165.0,4.0,2.0,3210.0,7815.0,11025.0,5.0,1.0,5.0,3.0,10.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,5680.0,5680.0,0.0,1162495.0,708.0,1163203.0
Imperial,1404.0,1.0,0.0,4667.0,108.0,15.0,6071.0,109.0,15.0,4186.0,13238.0,17424.0,2.0,1.0,304.0,112.0,306.0,113.0,0.0,15.0,15.0,0.0,0.0,0.0,6195.0,6195.0,0.0,1708893.0,7989.0,1716882.0
Inyo,88.0,0.0,0.0,330.0,0.0,0.0,418.0,0.0,0.0,263.0,663.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,440.0,0.0,86941.0,0.0,86941.0
Kern  ,7004.0,4.0,0.0,20333.0,200.0,69.0,27337.0,204.0,69.0,19852.0,56613.0,76465.0,13.0,4.0,596.0,210.0,609.0,214.0,0.0,94.0,94.0,0.0,0.0,0.0,29746.0,29746.0,0.0,7147154.0,32813.0,7179967.0
Kings,1238.0,1.0,0.0,3946.0,23.0,6.0,5184.0,24.0,6.0,3453.0,9911.0,13364.0,2.0,1.0,56.0,25.0,58.0,26.0,0.0,7.0,7.0,0.0,0.0,0.0,5599.0,5599.0,0.0,1226381.0,2461.0,1228842.0
Lake,871.0,0.0,0.0,1409.0,1.0,2.0,2280.0,1.0,2.0,1724.0,3518.0,5242.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2477.0,2477.0,0.0,521939.0,437.0,522376.0
Lassen,253.0,0.0,0.0,558.0,2.0,0.0,811.0,2.0,0.0,698.0,1275.0,1973.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,886.0,0.0,195524.0,198.0,195722.0
Los Angeles,83763.0,1850.0,24.0,195193.0,3771.0,2190.0,278956.0,5621.0,2214.0,190022.0,454412.0,644434.0,3853.0,2208.0,10310.0,4467.0,14163.0,6675.0,34.0,2675.0,2709.0,0.0,0.0,0.0,380562.0,380562.0,0.0,69916220.0,858272.0,70774492.0
Madera,1095.0,0.0,0.0,4168.0,20.0,3.0,5263.0,20.0,3.0,3190.0,10655.0,13845.0,0.0,0.0,60.0,20.0,60.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,5657.0,5657.0,0.0,1265631.0,1447.0,1267078.0
Marin  ,534.0,1.0,0.0,1877.0,23.0,10.0,2411.0,24.0,10.0,1267.0,3076.0,4343.0,1.0,1.0,50.0,30.0,51.0,31.0,0.0,10.0,10.0,0.0,0.0,0.0,2445.0,2445.0,0.0,450784.0,1910.0,452694.0
Mariposa,100.0,0.0,0.0,277.0,0.0,0.0,377.0,0.0,0.0,266.0,575.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,0.0,82435.0,0.0,82435.0
Mendocino,863.0,0.0,0.0,2850.0,13.0,3.0,3713.0,13.0,3.0,2312.0,5582.0,7894.0,0.0,0.0,43.0,14.0,43.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,3944.0,3944.0,0.0,782750.0,1193.0,783943.0
Merced  ,4349.0,22.0,0.0,5956.0,48.0,2.0,10305.0,70.0,2.0,12391.0,16941.0,29332.0,60.0,22.0,177.0,54.0,237.0,76.0,0.0,2.0,2.0,0.0,0.0,0.0,11114.0,11114.0,0.0,2726118.0,5494.0,2731612.0
Modoc,119.0,0.0,0.0,199.0,0.0,0.0,318.0,0.0,0.0,331.0,460.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,318.0,0.0,71227.0,0.0,71227.0
Mono,40.0,0.0,0.0,111.0,0.0,0.0,151.0,0.0,0.0,112.0,187.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,183.0,0.0,28194.0,0.0,28194.0
