,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,283926.0,3998.0,482.0,506233.0,7647.0,4416.0,790159.0,11645.0,4898.0,738091.0,1245394.0,1983485.0,8326.0,5541.0,21128.0,9335.0,29454.0,14876.0,1588.0,5785.0,7373.0,0.0,0.0,274.0,919070.0,919344.0,0.0,196481007.74,1965098.41,198446106.15
Alameda,15638.0,74.0,0.0,11975.0,82.0,145.0,27613.0,156.0,145.0,40033.0,30656.0,70689.0,152.0,74.0,197.0,102.0,349.0,176.0,0.0,197.0,197.0,0.0,0.0,0.0,27914.0,27914.0,0.0,5970457.0,42500.0,6012957.0
Alpine,4.0,0.0,0.0,30.0,0.0,0.0,34.0,0.0,0.0,11.0,76.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,7048.0,0.0,7048.0
Amador,151.0,0.0,0.0,357.0,0.0,0.0,508.0,0.0,0.0,403.0,738.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,567.0,0.0,112266.0,0.0,112266.0
Butte,2087.0,2.0,0.0,4961.0,8.0,6.0,7048.0,10.0,6.0,5521.0,11908.0,17429.0,3.0,2.0,20.0,9.0,23.0,11.0,0.0,10.0,10.0,0.0,0.0,0.0,7666.0,7666.0,0.0,1651655.0,2136.0,1653791.0
Calaveras,191.0,0.0,0.0,566.0,0.0,0.0,757.0,0.0,0.0,515.0,1173.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,757.0,0.0,168854.0,0.0,168854.0
Colusa,70.0,0.0,0.0,356.0,4.0,3.0,426.0,4.0,3.0,199.0,846.0,1045.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,458.0,458.0,0.0,89503.0,846.0,90349.0
Contra Costa  ,6272.0,40.0,22.0,6026.0,62.0,35.0,12298.0,102.0,57.0,16626.0,13146.0,29772.0,78.0,63.0,155.0,70.0,233.0,133.0,63.0,71.0,134.0,0.0,0.0,0.0,14154.0,14154.0,0.0,2941101.0,28457.0,2969558.0
Del Norte,506.0,0.0,0.0,1143.0,2.0,2.0,1649.0,2.0,2.0,1421.0,2444.0,3865.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1653.0,1653.0,0.0,366213.0,212.0,366425.0
El Dorado,565.0,0.0,0.0,1315.0,8.0,6.0,1880.0,8.0,6.0,1445.0,2718.0,4163.0,0.0,0.0,31.0,10.0,31.0,10.0,0.0,8.0,8.0,0.0,0.0,0.0,2072.0,2072.0,0.0,407013.0,1472.0,408485.0
Fresno,14666.0,44.0,0.0,25521.0,204.0,15.0,40187.0,248.0,15.0,41145.0,76270.0,117415.0,117.0,52.0,742.0,213.0,859.0,265.0,0.0,17.0,17.0,0.0,0.0,0.0,44535.0,44535.0,0.0,10782155.0,15798.0,10797953.0
Glenn  ,240.0,0.0,0.0,635.0,3.0,0.0,875.0,3.0,0.0,669.0,1702.0,2371.0,0.0,0.0,10.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,953.0,0.0,205438.92,222.08,205661.0
Humboldt,1202.0,0.0,0.0,3879.0,2.0,3.0,5081.0,2.0,3.0,3125.0,7868.0,10993.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,5539.0,5539.0,0.0,1112295.0,691.0,1112986.0
Imperial,1310.0,2.0,0.0,4577.0,107.0,13.0,5887.0,109.0,13.0,3884.0,13078.0,16962.0,6.0,2.0,298.0,109.0,304.0,111.0,0.0,13.0,13.0,0.0,0.0,0.0,6009.0,6009.0,0.0,1636849.0,7583.0,1644432.0
Inyo,82.0,0.0,0.0,319.0,0.0,0.0,401.0,0.0,0.0,248.0,667.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,424.0,0.0,82921.0,0.0,82921.0
Kern ,6768.0,2.0,0.0,20434.0,220.0,78.0,27202.0,222.0,78.0,19372.0,57068.0,76440.0,8.0,3.0,682.0,229.0,690.0,232.0,0.0,104.0,104.0,0.0,0.0,0.0,29704.0,29704.0,0.0,6984212.0,35070.0,7019282.0
Kings,1220.0,2.0,0.0,3945.0,21.0,6.0,5165.0,23.0,6.0,3412.0,9951.0,13363.0,7.0,2.0,55.0,22.0,62.0,24.0,0.0,7.0,7.0,0.0,0.0,0.0,5500.0,5500.0,0.0,1183141.0,1927.0,1185068.0
Lake,903.0,0.0,0.0,1430.0,2.0,2.0,2333.0,2.0,2.0,1743.0,3624.0,5367.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,2490.0,2490.0,0.0,509133.0,792.0,509925.0
Lassen,274.0,0.0,0.0,543.0,1.0,0.0,817.0,1.0,0.0,771.0,1224.0,1995.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,927.0,0.0,194626.0,119.0,194745.0
Los Angeles,84135.0,1840.0,29.0,194613.0,3759.0,2213.0,278748.0,5599.0,2242.0,191530.0,454588.0,646118.0,3818.0,2195.0,10310.0,4447.0,14128.0,6642.0,39.0,2715.0,2754.0,0.0,0.0,0.0,341816.0,341816.0,0.0,69239754.0,857841.0,70097595.0
Madera,1094.0,0.0,0.0,4211.0,18.0,4.0,5305.0,18.0,4.0,3185.0,10770.0,13955.0,0.0,0.0,50.0,18.0,50.0,18.0,0.0,5.0,5.0,0.0,0.0,0.0,5632.0,5632.0,0.0,1228815.0,1438.0,1230253.0
Marin,489.0,0.0,0.0,1712.0,20.0,10.0,2201.0,20.0,10.0,1178.0,2781.0,3959.0,0.0,0.0,43.0,28.0,43.0,28.0,0.0,10.0,10.0,0.0,0.0,0.0,2231.0,2231.0,0.0,369203.0,2496.0,371699.0
Mariposa,101.0,0.0,0.0,273.0,0.0,0.0,374.0,0.0,0.0,269.0,584.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.0,80839.0,0.0,80839.0
Mendocino  ,837.0,0.0,0.0,2839.0,14.0,6.0,3676.0,14.0,6.0,2213.0,5609.0,7822.0,0.0,0.0,44.0,15.0,44.0,15.0,0.0,9.0,9.0,0.0,0.0,0.0,3870.0,3870.0,0.0,759414.0,1753.0,761167.0
Merced  ,4393.0,26.0,0.0,5931.0,54.0,3.0,10324.0,80.0,3.0,12598.0,16848.0,29446.0,69.0,27.0,202.0,60.0,271.0,87.0,0.0,3.0,3.0,0.0,0.0,0.0,11107.0,11107.0,0.0,2650381.09,6270.91,2656652.0
Modoc,104.0,0.0,0.0,203.0,0.0,0.0,307.0,0.0,0.0,289.0,469.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,307.0,0.0,66751.0,0.0,66751.0
Mono,20.0,0.0,0.0,107.0,0.0,0.0,127.0,0.0,0.0,55.0,198.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,0.0,22696.0,0.0,22696.0
