,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,255823.0,3735.0,52.0,609565.0,8977.0,4071.0,865388.0,12712.0,4123.0,646790.0,1457318.0,2104108.0,8647.0,4603.0,24737.0,10811.0,33384.0,15414.0,77.0,5233.0,5310.0,0.0,0.0,0.0,990465.0,990465.0,0.0,241817929.22,1902305.28,243720234.5
Alameda,10932.0,209.0,2.0,22148.0,324.0,188.0,33080.0,533.0,190.0,25909.0,45166.0,71075.0,473.0,240.0,771.0,402.0,1244.0,642.0,4.0,237.0,241.0,0.0,0.0,0.0,33803.0,33803.0,0.0,8136058.0,90394.0,8226452.0
Alpine,3.0,0.0,0.0,37.0,0.0,0.0,40.0,0.0,0.0,9.0,79.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,8398.0,0.0,8398.0
Amador,150.0,0.0,0.0,508.0,0.0,0.0,658.0,0.0,0.0,381.0,960.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,708.0,0.0,155439.0,0.0,155439.0
Butte,1838.0,1.0,0.0,6256.0,16.0,10.0,8094.0,17.0,10.0,4717.0,14023.0,18740.0,1.0,1.0,51.0,20.0,52.0,21.0,0.0,12.0,12.0,0.0,0.0,0.0,8942.0,8942.0,0.0,2104150.0,2692.0,2106842.0
Calaveras,254.0,0.0,0.0,740.0,0.0,0.0,994.0,0.0,0.0,666.0,1516.0,2182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,994.0,0.0,244596.0,0.0,244596.0
Colusa,75.0,0.0,0.0,407.0,11.0,2.0,482.0,11.0,2.0,252.0,1158.0,1410.0,0.0,0.0,35.0,13.0,35.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,552.0,552.0,0.0,131616.0,861.0,132477.0
Contra Costa,5087.0,41.0,0.0,9631.0,102.0,45.0,14718.0,143.0,45.0,12269.0,22193.0,34462.0,96.0,52.0,275.0,125.0,371.0,177.0,0.0,53.0,53.0,0.0,0.0,0.0,16629.0,16629.0,0.0,3990831.0,23370.0,4014201.0
Del Norte,442.0,0.0,0.0,1332.0,3.0,2.0,1774.0,3.0,2.0,1262.0,2716.0,3978.0,0.0,0.0,6.0,3.0,6.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,1779.0,1779.0,0.0,441326.89,385.0,441711.89
El Dorado,467.0,0.0,0.0,1533.0,6.0,3.0,2000.0,6.0,3.0,1233.0,3274.0,4507.0,0.0,0.0,15.0,6.0,15.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,2204.0,2204.0,0.0,511808.0,941.0,512749.0
Fresno  ,15420.0,104.0,1.0,32304.0,326.0,31.0,47724.0,430.0,32.0,42364.0,86800.0,129164.0,297.0,114.0,996.0,351.0,1293.0,465.0,3.0,32.0,35.0,0.0,0.0,0.0,53360.0,53360.0,0.0,14680678.0,38873.0,14719551.0
Glenn,205.0,0.0,0.0,648.0,2.0,0.0,853.0,2.0,0.0,560.0,1692.0,2252.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0,948.0,0.0,232003.0,223.0,232226.0
Humboldt,1086.0,4.0,0.0,3605.0,2.0,4.0,4691.0,6.0,4.0,2824.0,7187.0,10011.0,8.0,5.0,4.0,2.0,12.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,5249.0,5249.0,0.0,1139581.0,1107.0,1140688.0
Imperial,1681.0,2.0,0.0,5413.0,140.0,16.0,7094.0,142.0,16.0,5122.0,14216.0,19338.0,9.0,2.0,395.0,145.0,404.0,147.0,0.0,18.0,18.0,0.0,0.0,0.0,7252.0,7252.0,0.0,2234816.0,11990.0,2246806.0
Inyo,65.0,0.0,0.0,407.0,0.0,0.0,472.0,0.0,0.0,177.0,795.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,488.0,0.0,105059.0,0.0,105059.0
Kern ,6590.0,4.0,0.0,23895.0,228.0,69.0,30485.0,232.0,69.0,18383.0,65184.0,83567.0,12.0,4.0,678.0,254.0,690.0,258.0,0.0,109.0,109.0,0.0,0.0,0.0,58476.0,58476.0,0.0,9138174.0,36171.0,9174345.0
Kings,1058.0,2.0,0.0,4452.0,45.0,39.0,5510.0,47.0,39.0,2992.0,11053.0,14045.0,4.0,2.0,121.0,47.0,125.0,49.0,0.0,39.0,39.0,0.0,0.0,0.0,6120.0,6120.0,0.0,1495120.0,7870.0,1502990.0
Lake,895.0,0.0,0.0,1591.0,1.0,0.0,2486.0,1.0,0.0,1535.0,4019.0,5554.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,2671.0,0.0,622702.0,136.0,622838.0
Lassen,261.0,0.0,0.0,659.0,0.0,2.0,920.0,0.0,2.0,742.0,1419.0,2161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1007.0,1007.0,0.0,244256.0,324.0,244580.0
Los Angeles,72193.0,1552.0,22.0,202495.0,3420.0,1619.0,274688.0,4972.0,1641.0,164843.0,453533.0,618376.0,3225.0,1873.0,9364.0,4119.0,12589.0,5992.0,32.0,1921.0,1953.0,0.0,0.0,0.0,314000.0,314000.0,0.0,74900244.0,788938.0,75689182.0
Madera,983.0,1.0,0.0,4620.0,22.0,2.0,5603.0,23.0,2.0,2856.0,12011.0,14867.0,7.0,1.0,82.0,22.0,89.0,23.0,0.0,3.0,3.0,0.0,0.0,0.0,6181.0,6181.0,0.0,1624698.0,1725.0,1626423.0
Marin,465.0,1.0,0.0,2023.0,37.0,48.0,2488.0,38.0,48.0,1095.0,3299.0,4394.0,1.0,1.0,82.0,41.0,83.0,42.0,0.0,48.0,48.0,0.0,0.0,0.0,2740.0,2740.0,0.0,520892.0,8536.0,529428.0
Mariposa,81.0,0.0,0.0,291.0,0.0,0.0,372.0,0.0,0.0,210.0,634.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,416.0,0.0,97385.0,0.0,97385.0
Mendocino,662.0,1.0,0.0,3046.0,12.0,3.0,3708.0,13.0,3.0,1675.0,5395.0,7070.0,3.0,1.0,41.0,16.0,44.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,4164.0,4164.0,0.0,901844.0,1898.0,903742.0
Merced,4421.0,21.0,0.0,7202.0,36.0,4.0,11623.0,57.0,4.0,12222.0,19735.0,31957.0,55.0,22.0,121.0,41.0,176.0,63.0,0.0,5.0,5.0,0.0,0.0,0.0,12732.0,12732.0,0.0,3456445.0,4133.0,3460578.0
Modoc,75.0,0.0,0.0,199.0,1.0,0.0,274.0,1.0,0.0,207.0,469.0,676.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,274.0,0.0,73343.0,21.0,73364.0
Mono,16.0,0.0,0.0,112.0,0.0,0.0,128.0,0.0,0.0,43.0,219.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,153.0,0.0,30823.0,0.0,30823.0
