,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,296864.0,4696.0,68.0,916460.0,14418.0,5788.0,1213324.0,19114.0,5856.0,746644.0,2092800.0,2839444.0,10670.0,5877.0,40033.0,17087.0,50703.0,22964.0,78.0,7348.0,7426.0,0.0,0.0,0.0,1735433.0,1735433.0,0.0,425339396.59,3643588.18,428982984.77
Alameda,11216.0,309.0,2.0,30624.0,537.0,276.0,41840.0,846.0,278.0,26217.0,60185.0,86402.0,686.0,376.0,1307.0,685.0,1993.0,1061.0,2.0,348.0,350.0,0.0,0.0,0.0,42964.0,42964.0,0.0,13447866.0,181425.0,13629291.0
Alpine,4.0,0.0,0.0,46.0,0.0,0.0,50.0,0.0,0.0,7.0,113.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,16432.0,0.0,16432.0
Amador,168.0,0.0,0.0,827.0,0.0,0.0,995.0,0.0,0.0,451.0,1597.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,1091.0,0.0,316444.0,0.0,316444.0
Butte,1750.0,1.0,0.0,8698.0,27.0,11.0,10448.0,28.0,11.0,4391.0,18583.0,22974.0,4.0,2.0,100.0,33.0,104.0,35.0,0.0,13.0,13.0,0.0,0.0,0.0,11382.0,11382.0,0.0,3371152.0,7766.0,3378918.0
Calaveras,306.0,0.0,0.0,1245.0,5.0,0.0,1551.0,5.0,0.0,843.0,2517.0,3360.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,1556.0,0.0,499419.0,375.0,499794.0
Colusa,66.0,0.0,0.0,469.0,9.0,1.0,535.0,9.0,1.0,196.0,1302.0,1498.0,0.0,0.0,28.0,9.0,28.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,584.0,584.0,0.0,193955.0,762.0,194717.0
Contra Costa,6270.0,70.0,1.0,15779.0,166.0,54.0,22049.0,236.0,55.0,15331.0,33146.0,48477.0,152.0,85.0,466.0,199.0,618.0,284.0,1.0,75.0,76.0,0.0,0.0,0.0,24708.0,24708.0,0.0,7364893.82,44749.05,7409642.87
Del Norte,437.0,7.0,0.0,1665.0,5.0,2.0,2102.0,12.0,2.0,1211.0,3385.0,4596.0,7.0,8.0,15.0,6.0,22.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,2255.0,2255.0,0.0,668472.0,1269.0,669741.0
El Dorado,471.0,0.0,0.0,2925.0,10.0,8.0,3396.0,10.0,8.0,1234.0,5851.0,7085.0,0.0,0.0,22.0,11.0,22.0,11.0,0.0,10.0,10.0,0.0,0.0,0.0,3712.0,3712.0,0.0,1062755.0,2574.0,1065329.0
Fresno,17563.0,101.0,1.0,49642.0,453.0,87.0,67205.0,554.0,88.0,47009.0,123613.0,170622.0,246.0,112.0,1429.0,506.0,1675.0,618.0,1.0,106.0,107.0,0.0,0.0,0.0,74205.0,74205.0,0.0,25059244.0,83266.0,25142510.0
Glenn,229.0,0.0,0.0,860.0,4.0,0.0,1089.0,4.0,0.0,607.0,2192.0,2799.0,0.0,0.0,12.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,1195.0,0.0,386620.0,619.0,387239.0
Humboldt,1051.0,0.0,0.0,4960.0,8.0,7.0,6011.0,8.0,7.0,2693.0,9214.0,11907.0,0.0,0.0,22.0,10.0,22.0,10.0,0.0,8.0,8.0,0.0,0.0,0.0,6728.0,6728.0,0.0,1783378.0,2393.0,1785771.0
Imperial,1676.0,2.0,0.0,7740.0,214.0,34.0,9416.0,216.0,34.0,5036.0,20140.0,25176.0,5.0,2.0,594.0,225.0,599.0,227.0,0.0,40.0,40.0,0.0,0.0,0.0,9666.0,9666.0,0.0,3830638.0,28874.0,3859512.0
Inyo,119.0,0.0,0.0,561.0,0.0,0.0,680.0,0.0,0.0,377.0,1061.0,1438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,712.0,0.0,191475.0,0.0,191475.0
Kern ,6977.0,5.0,0.0,34502.0,364.0,76.0,41479.0,369.0,76.0,19380.0,90107.0,109487.0,9.0,6.0,1062.0,402.0,1071.0,408.0,0.0,98.0,98.0,0.0,0.0,0.0,44734.0,44734.0,0.0,15569052.0,66527.0,15635579.0
Kings,1141.0,1.0,0.0,5818.0,65.0,49.0,6959.0,66.0,49.0,3149.0,13990.0,17139.0,2.0,1.0,193.0,70.0,195.0,71.0,0.0,49.0,49.0,0.0,0.0,0.0,7490.0,7490.0,0.0,2401719.0,14873.0,2416592.0
Lake,966.0,0.0,0.0,2470.0,16.0,3.0,3436.0,16.0,3.0,1501.0,5985.0,7486.0,0.0,0.0,46.0,16.0,46.0,16.0,0.0,4.0,4.0,0.0,0.0,0.0,3680.0,3680.0,0.0,1111367.0,1908.0,1113275.0
Lassen,272.0,3.0,0.0,886.0,1.0,4.0,1158.0,4.0,4.0,756.0,1900.0,2656.0,8.0,3.0,3.0,1.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1273.0,1273.0,0.0,386021.0,1119.0,387140.0
Los Angeles  a/,82443.0,1801.0,32.0,273492.0,4665.0,2082.0,355935.0,6466.0,2114.0,188027.0,590932.0,778959.0,3788.0,2267.0,12685.0,5501.0,16473.0,7768.0,39.0,2551.0,2590.0,0.0,0.0,0.0,792985.0,792985.0,0.0,122406180.0,1336997.0,123743177.0
Madera,1045.0,1.0,0.0,6234.0,14.0,1.0,7279.0,15.0,1.0,2917.0,16227.0,19144.0,3.0,1.0,58.0,15.0,61.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,7780.0,7780.0,0.0,2700077.0,2274.0,2702351.0
Marin,515.0,0.0,0.0,3321.0,63.0,92.0,3836.0,63.0,92.0,1176.0,5279.0,6455.0,0.0,0.0,127.0,66.0,127.0,66.0,0.0,96.0,96.0,0.0,0.0,0.0,4161.0,4161.0,0.0,1025154.0,14044.0,1039198.0
Mariposa,104.0,0.0,0.0,428.0,0.0,0.0,532.0,0.0,0.0,281.0,848.0,1129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,570.0,0.0,169440.0,0.0,169440.0
Mendocino,721.0,0.0,0.0,4636.0,25.0,9.0,5357.0,25.0,9.0,1885.0,8422.0,10307.0,0.0,0.0,81.0,26.0,81.0,26.0,0.0,11.0,11.0,0.0,0.0,0.0,5683.0,5683.0,0.0,1545075.0,4495.0,1549570.0
Merced,4950.0,18.0,1.0,10642.0,80.0,4.0,15592.0,98.0,5.0,13452.0,27740.0,41192.0,50.0,21.0,285.0,87.0,335.0,108.0,1.0,4.0,5.0,0.0,0.0,0.0,16686.0,16686.0,0.0,5852263.0,12311.0,5864574.0
Modoc,71.0,0.0,0.0,312.0,0.0,0.0,383.0,0.0,0.0,199.0,749.0,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,383.0,0.0,122521.0,0.0,122521.0
Mono,20.0,0.0,0.0,247.0,1.0,0.0,267.0,1.0,0.0,54.0,400.0,454.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,70837.0,64.0,70901.0
